Svetasvatara-Upanisad (Svetasvataropanisad)
Based on the electronic text available from "Sanskrit Documents" (http://sanskrit.gde.to).


Input by S. H., proofread by John Manetta



This GRETIL version has been checked against the edition
by V.P. Limaye and R.D. Vadekar (Eighteen Principal Upanisads, vol. 1, 
Poona 1958), and the electronic version available on TITUS. 
In cases of divergence, preference has usually been given to the printed 
edition.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





agnir yatrÃbhimathyate  SvetUp_2.6a
agner jyotir nicÃyya  SvetUp_2.1c
aghorÃpÃpakÃÓinã  SvetUp_3.5b
aÁgu«ÂhamÃtra÷ puru«o 'ntarÃtmÃ  SvetUp_3.13a
aÁgu«ÂhamÃtro ravitulyarÆpa÷  SvetUp_5.8a
ajaæ dhruvaæ sarvatattvair viÓuddhaæ  SvetUp_2.15c
ajÃta ity evaæ kaÓcid  SvetUp_4.21a
ajÃm ekÃæ lohitaÓuklak­«¤Ãæ  SvetUp_4.5a
ajo hy eko ju«amÃ¤o 'nuÓete  SvetUp_4.5c
a¤or a¤ãyÃn mahato mahãyÃn  SvetUp_3.20a
atyati«Âhad daÓÃÁgulam  SvetUp_3.14d
atyÃÓramibhya÷ paramaæ pavitraæ  SvetUp_6.21c
atrÃntaraæ brahmavido viditvÃ  SvetUp_1.7c
athetare du÷kham evÃpiyanti  SvetUp_3.10d
adhi«ÂhitÃ÷ kena sukhetare«u  SvetUp_1.1c
anantaÓ cÃtmÃ viÓvarÆpo hy akartÃ  SvetUp_1.9c
anaÓnann anyo abhicÃkaÓãti  SvetUp_4.6d
anÃdimÃæs tvaæ vibhutvena vartase  SvetUp_4.4c
anÃdyanantaæ kalilasya madhye  SvetUp_5.13a
anãÓayÃ Óocati muhyamÃna÷  SvetUp_4.7b
anãÓaÓ cÃtmÃ badhyate bhokt­bhÃvÃj  SvetUp_1.8c
apÃ¤ipÃdo javano grahãtÃ  SvetUp_3.19a
am­tasya paraæ setuæ  SvetUp_6.19c
a«Âakai÷ «a¬bhir viÓvarÆpaikapÃÓaæ  SvetUp_1.4c
asmÃn mÃyã s­jate viÓvam etat  SvetUp_4.9c
asmin k«etre saæharaty e«a deva÷  SvetUp_5.3b
asya mahimÃnam iti vãtaÓoka÷  SvetUp_4.7d
ÃtmavidyÃtapomÆlaæ  SvetUp_1.16c
ÃtmÃ guhÃyÃæ nihito 'sya janto÷  SvetUp_3.20b
ÃtmÃ hy anãÓa÷ sukhadu÷khaheto÷  SvetUp_1.2d
