Svetasvatara-Upanisad (Svetasvataropanisad)
Based on two editions:
1. Isadi nau upanisad. Ed. by Harikrsnadas Goendaka. (Gorakhpur : Gita Press, 2038 samvat)
2. Sri Sri Sruti-ratna-mala. Ed. by Bhakti Sudhakar. (Dhaka : 'Manjusa Printing Works) n.d



Input by Jan Brzezinski



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




agnir yatràbhimathyate  SvetUp_2.6a
agner jyotir nicàyya  SvetUp_2.1 c
aghoràpàpa-kà÷inã  SvetUp_3.5 b
aïguùñha-màtraþ puruùo 'ntaràtmà  SvetUp_3.13a
aïguùñha-màtro ravi-tulya-råpaþ  SvetUp_5.8a
ajaü dhruvaü sarva-tattvair vi÷uddhaü  SvetUp_2.15c
ajàta ity evaü ka÷cid  SvetUp_4.21a
ajàm ekàü lohita-÷ukla-kçùõàü  SvetUp_4.5a
ajà hy ekà bhoktç-bhogyàrtha-yuktà  SvetUp_1.9b
ajo hy eko juùamàõo 'nu÷ete  SvetUp_4.5c
aõor aõãyàn mahato mahãyàn  SvetUp_3.20 a
[a]tyatiùñhad da÷àïgulam  SvetUp_3.14d
atyà÷ramibhyaþ paramaü pavitraü  SvetUp_6.21c
atràntaraü brahma-vido viditvà  SvetUp_1.7c
athetare duþkham evàpi yanti  SvetUp_3.10d
adhiùñhitàþ kena sukhetareùu  SvetUp_1.1c
ananta÷ càtmà vi÷va-råpo hy akartà  SvetUp_1.9c
ana÷nann anyo abhicàka÷ãti [*17]  SvetUp_4.6 d
anàdimat tvaü vibhutvena vartase  SvetUp_4.4c
anàdy-anantaü kalilasya madhye  SvetUp_5.13a
anã÷a÷ càtmà badhyate bhoktç-bhàvàj  SvetUp_1.8c
apàõi-pàdo javano grahãtà  SvetUp_3.19a
amçtasya paraü setuü  SvetUp_6.19c
aùñakaiþ ùaóbhir vi÷va-råpaika-pà÷aü  SvetUp_1.4c
asmàn màyã sçjate vi÷vam etat  SvetUp_4.9c
asmin kùetre saüharaty eùa devaþ  SvetUp_5.3b
asmin haüso bhràmyate brahma-cakre  SvetUp_1.6b
asya mahimànam iti vãta-÷okaþ  SvetUp_4.7d
àtma-vidyà-tapo-målaü  SvetUp_1.16c
àtmà guhàyàü nihito 'sya jantoþ  SvetUp_3.20 b
àtmàpy anã÷aþ sukha-duþkha-hetoþ  SvetUp_1.2d
àditya-varõaü tamasaþ parastàt  SvetUp_3.8 b
àdiþ sa saüyoga-nimitta-hetuþ  SvetUp_6.5a
àpaþ srotaþsv araõãùu càgniþ  SvetUp_1.15b
à ye dhàmàni divyàni tasthuþ  SvetUp_2.5 d
àrabhya karmàõi guõànvitàni  SvetUp_6.4a
àràgra-màtro 'py aparo 'pi dçùñaþ  SvetUp_5.8d
inmahã devasya savituþ pariùñutiþ  SvetUp_2.4 d
ã÷aü taü j¤àtvàmçtà bhavanti  SvetUp_3.7d
ã÷àno jyotir avyayaþ  SvetUp_3.12d
utàmçtatvasye÷àno  SvetUp_3.15 c
udgãtam etat paramaü tu brahma  SvetUp_1.7a
çco akùare parame vyoman  SvetUp_4.8 a
çùiü prasåtaü kapilaü yas tam agre  SvetUp_5.2c
ekaü bãjaü bahudhà yaþ karoti  SvetUp_6.12b
ekaþ kçtàrtho bhavate vãta-÷okaþ  SvetUp_2.14d
ekena dvàbhyàü tribhir aùñabhir và  SvetUp_6.3c
ekaika-jàlaü bahudhà vikurvann  SvetUp_5.3a
eko devaþ sarva-bhåteùu gåóhaþ  SvetUp_6.11a
eko bahånàü yo vidadhàti kàmàn  SvetUp_6.13b
eko va÷ã niùkriyàõàü bahånàm  SvetUp_6.12a
eko haüso bhuvanasyàsya madhye  SvetUp_6.15a
eko hi rudro na dvitãyàya tasthur  SvetUp_3.2a
etaj j¤eyaü nityam evàtma-saüsthaü  SvetUp_1.12a
etàni råpàõi puraþ-saràõi  SvetUp_2.11c
evam àtmàtmani gçhyate 'sau  SvetUp_1.15c
evaü vidur amçtàste bhavanti  SvetUp_4.20d
evaü sa devo bhagavàn vareõyo  SvetUp_5.4c
eùa devo vi÷va-karmà mahàtmà  SvetUp_4.17a
eùa ha devaþ pradi÷o 'nu sarvàþ  SvetUp_2.16a
karma-kùaye yàti sa tattvato 'nyaþ  SvetUp_6.4d
karmàdhyakùaþ sarva-bhåtàdhivàsaþ  SvetUp_6.11c
karmànugàny anukrameõa dehã  SvetUp_5.11c
kalà-sarga-karaü devaü  SvetUp_5.14c
kasmai devàya haviùà vidhema  SvetUp_4.13d
kàlaü tathànye parimuhyamànàþ  SvetUp_6.1b
kàlaþ svabhàvo niyatir yadçcchà  SvetUp_1.2a
kàlàtma-yuktàny adhitiùñhaty ekaþ  SvetUp_1.3d
kàlena caivàtma-guõai÷ ca såkùmaiþ  SvetUp_6.3d
kiü kàraõaü brahma kutaþ sma jàtà  SvetUp_1.1a
kçtasya tasyaiva sa copabhoktà  SvetUp_5.7b
kriyà-guõair àtma-guõai÷ ca teùàü  SvetUp_5.12c
kùaraü tv avidyà hy amçtaü tu vidyà  SvetUp_5.1c
kùaraü pradhànam amçtàkùaraü haraþ  SvetUp_1.10a
kùaràtmànàv ã÷ate deva ekaþ  SvetUp_1.10b
kùãõe pràõe nàsikayocchvasãta  SvetUp_2.9b
kùãõaiþ kle÷air janma-mçtyu-prahàõiþ  SvetUp_1.11b
kùãre sarpir ivàrpitam  SvetUp_1.16b
khadyota-vidyut-sphañika-÷a÷ãnàm  SvetUp_2.11b
gandhaþ ÷ubho måtra-purãùam alpaü  SvetUp_2.13c
giri÷antàbhicàka÷ãhi  SvetUp_3.5 d
guõànvayo yaþ phala-karma-kartà  SvetUp_5.7a
guõàü÷ ca sarvàn viniyojayed yaþ  SvetUp_5.5d
guhà-nivàtà÷rayaõe prayojayet  SvetUp_2.10d
gràsàmbu-vçùñyàtma-vivçddhi-janma  SvetUp_5.11b
ghçtàt paraü maõóam ivàtisåkùmaü  SvetUp_4.16a
chandàüsi yaj¤àþ kratavo vratàni  SvetUp_4.9a
janma-nirodhaü pravadanti yasya  SvetUp_3.21c
jahàty enàü bhukta-bhogàm ajo 'nyaþ  SvetUp_4.5d
jãvàma kena kva ca saüpratiùñhàþ  SvetUp_1.1b
juùeta brahma pårvyam  SvetUp_2.7b
juùñas tatas tenàmçtatvam eti  SvetUp_1.6d
juùñaü yadà pa÷yaty anyam ã÷am  SvetUp_4.7c
j¤aþ kàla-kàlo guõã sarva-vid yaþ  SvetUp_6.2b
j¤aþ kàla-kàlo guõã sarva-vid yaþ  SvetUp_6.16b
j¤aþ sarvago bhuvanasyàsya goptà  SvetUp_6.17b
j¤àj¤au dvàv ajàv ã÷anã÷àv  SvetUp_1.9a
