Brahma-Purana, Adhyayas 1 - 246

Input by Peter Schreiner and Renate Soehnen-Thieme
for the Tuebingen Purana Project
For further details see www.indologie.unizh.ch/text/text.html

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot kiü mahàdeva  BrP_38.21c
akarot putrakàmas tu  BrP_7.3a
akarot pçthivãm imàm  BrP_7.20b
akarot priyayà saha  BrP_111.3b
akarot sa pçthusvaram  BrP_108.73b
akarot saünatiü dakùe  BrP_34.11c
akarod àtmanaþ putraü  BrP_104.83c
akarod çùibhir vçtaþ  BrP_118.9d
akarod dhayamedhàü÷ ca  BrP_123.82a
akarmaõaþ karma puõyaü  BrP_88.13c
akarmaõaivàpyata iti  BrP_88.11c
akalpayaü tathà cedhmaü  BrP_161.36a
akalpaþ kalpasaütuùñaþ  BrP_220.104a
akaùàyakçta÷ caiva  BrP_224.15c
akasmàc ca mçtaü bàlaü  BrP_59.17c
akasmàd yadi và kasmàd  BrP_237.62c
akàrayad aghàntakam  BrP_154.32d
akàraü hçdaye dhyàtvà  BrP_61.4c
akàraþ sarvavarõànàü  BrP_69.27a
akàrã tasya karmaõaþ  BrP_16.29b
akàrpaõyaü dvijottamàþ  BrP_222.17b
akàlajajaràdãnàü  BrP_146.42c
akàlaü kàlam àtmanaþ  BrP_242.49d
akàlikamanoharam  BrP_178.51d
akiücanebhyaþ sàdhubhyo  BrP_76.22a
akutsanà ca patite  BrP_231.9c
akurvanta mahàyatnaü  BrP_160.10c
akurvann abhiùecanam  BrP_96.22b
akulãnàþ kulãnà÷ ca  BrP_224.42c
akçtaj¤as tato hi saþ  BrP_197.16d
akçte ÷ràddhakarmaõi  BrP_7.49d
akçtvàgràõi bhokùyanti  BrP_231.39c
akçtvà pàdayoþ ÷aucaü  BrP_3.118a
akç÷à÷vakç÷à÷vau tu  BrP_7.89c
