Skandapurana (Adhyayas 1 - 31.14; to be continued)
Based on the edition by Rob Adriaensen, Hans T. Bakker and Harunaga Isaacson,
Groningen : Egbert Forsten 1998-
(Groningen Oriental Studies)


Input by R. Adriaensen, H.T. Bakker and H. Isaacson


The transliteration emulates the conventions of Nagari script.
Therefore, many word boundaries are not marked by blanks.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarotkiæ mahÃdeva  SkP_26.2c
akasmÃdatha taæ devÅ  SkP_13.30a
akasmÃdabhavatsarvaæ  SkP_29.61a
akÃryÃïi kari«yantu  SkP_29.228c
ak«atÃstaï¬ulayavÃ÷  SkP_27.29a
ak«ayatvaæ ca vaæÓasya  SkP_15.29e
ak«ayatvaæ ca sarvadÃ  SkP_15.34b
ak«ayaÓcÃvyayaÓcaiva  SkP_22.5c
ak«ayaæ tacca te 'vyayam  SkP_29.150b
ak«ayaæ balameva ca  SkP_12.45d
ak«ayaæ sarvakÃmikam  SkP_15.31d
ak«ayÃyÃm­tÃyaiva  SkP_24.55a
ak«ayÃyÃvyayÃyaiva  SkP_21.48a
ak«asÆtrakaraæ caiva  SkP_8.34c
ak«asÆtrakarÃya ca  SkP_9.6d
ak«ïÃæ sahasraæ surarÃÂ sa bibhrad  SkP_13.9a
agamadbrahmasadanaæ  SkP_6.13c
agaruæ daÓasÃhasraæ  SkP_27.28a
agastyasya ca mÃhÃtmyaæ  SkP_2.13c
agÃttatra pitÃmaha÷  SkP_8.2d
agÃdhena tadÃ reje  SkP_13.94c
agnerdÆtatvameva ca  SkP_2.16d
agnyaÇgÃrakanetraÓca  SkP_23.7c
agrato 'gniæ samÃdhÃya  SkP_24.16a
agre surebhavinipÃtitavaæÓagulmam  SkP_30.39b
acintyÃyÃgrajÃya ca  SkP_3.18d
acireïa trilocanam  SkP_20.62b
acireïaiva kÃlena  SkP_3.11c
ajayyatvaæ ca yogibhi÷  SkP_29.124b
ajayyaÓcÃpi sarve«Ãæ  SkP_31.11a
ajayyaÓcaiva jetÃ ca  SkP_25.19a
ajaraÓcÃmaraÓcaiva  SkP_29.115a
