Kalpadrumavadanamala

Based on the text appended to P.L. Vaidya's edition of the Avadanasataka
(Darbhanga 1958, Buddhist Sanskrit Texts ; 19)

Input by Klaus Wille, G”ttingen


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarod brahmavittamaþ  KDA_465d
agamyagamanàc caivam  KDA_248c
agamyagamanàc caivaü  KDA_243c
agnikalpaþ sutãkùõadhãþ  KDA_38b
agnikalpo mahàtãkùõaþ  KDA_83a
agneþ ÷abda÷ ca spar÷a÷ ca  KDA_103a
agro 'raõàvihàriõàm*  KDA_454d
agro 'raõàvihàriõàm*  KDA_455d
atãva roùasaükruùño  KDA_79c
atyayàd bodhimànasaþ  KDA_351b
atha te bhikùavaþ sarve  KDA_456a
atharvam apy adhãtuü sa  KDA_36c
atharvàdhãtasaüratam*  KDA_37b
atha ÷rãbhagavàn buddhaþ  KDA_452a
atha saïge 'pi gràmeùu  KDA_344a
atha subhåtir àyuùmàn  KDA_329a
atha so 'rhaüs trimàsànàm  KDA_351a
atha svarddhibalenaiva  KDA_358a
athà÷oko mahàràjaþ  KDA_1a
adattaü naiva gçhõàti  KDA_254c
adyàgreõa jagadbandho  KDA_321a
adyàpi cet tathà càtra  KDA_341a
adhamottamam adhyamàþ  KDA_97b
adharma eva saübhavet*  KDA_248d
adharmapraõayà÷ivam*  KDA_414d
adhãtya caturo vedàn  KDA_112a
adhairyatvàd bhaven måóho  KDA_406a
adhyåùur dhyànatatparàþ  KDA_18d
anapekùya svajãve 'pi  KDA_434c
anàdçtya bhayaü pàpà  KDA_382c
anu÷ocan muhu÷ càpi  KDA_435c
anena ku÷alenàhaü  KDA_466a
anena ruùñacittena  KDA_473a
anyathàpi ca no bhåtà  KDA_480a
anye 'pi bahavaþ santi  KDA_229a
anyonyaü vigrahaü kçtvà  KDA_389c
apa÷yat sa tata÷ ceti  KDA_330a
aprameyaü yudhiùñhira  KDA_264d
