Kalpadrumavadanamala

Based on the text appended to P.L. Vaidya's edition of the Avadanasataka
(Darbhanga 1958, Buddhist Sanskrit Texts ; 19)

Input by Klaus Wille, G”ttingen


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarod brahmavittama÷  KDA_465d
agamyagamanÃc caivam  KDA_248c
agamyagamanÃc caivaæ  KDA_243c
agnikalpa÷ sutÅk«ïadhÅ÷  KDA_38b
agnikalpo mahÃtÅk«ïa÷  KDA_83a
agne÷ ÓabdaÓ ca sparÓaÓ ca  KDA_103a
agro 'raïÃvihÃriïÃm*  KDA_454d
agro 'raïÃvihÃriïÃm*  KDA_455d
atÅva ro«asaækru«Âo  KDA_79c
atyayÃd bodhimÃnasa÷  KDA_351b
atha te bhik«ava÷ sarve  KDA_456a
atharvam apy adhÅtuæ sa  KDA_36c
atharvÃdhÅtasaæratam*  KDA_37b
atha ÓrÅbhagavÃn buddha÷  KDA_452a
atha saÇge 'pi grÃme«u  KDA_344a
atha subhÆtir Ãyu«mÃn  KDA_329a
atha so 'rhaæs trimÃsÃnÃm  KDA_351a
atha svarddhibalenaiva  KDA_358a
athÃÓoko mahÃrÃja÷  KDA_1a
adattaæ naiva g­hïÃti  KDA_254c
adyÃgreïa jagadbandho  KDA_321a
adyÃpi cet tathÃ cÃtra  KDA_341a
adhamottamam adhyamÃ÷  KDA_97b
adharma eva saæbhavet*  KDA_248d
adharmapraïayÃÓivam*  KDA_414d
adhÅtya caturo vedÃn  KDA_112a
adhairyatvÃd bhaven mÆ¬ho  KDA_406a
adhyÆ«ur dhyÃnatatparÃ÷  KDA_18d
anapek«ya svajÅve 'pi  KDA_434c
anÃd­tya bhayaæ pÃpÃ  KDA_382c
anuÓocan muhuÓ cÃpi  KDA_435c
