Nagnajit: Citralaksana (= NCit)
Based on the ed. by Asoke Chatterjee Sastri: The Citralakùaõa : An Old Text of Indian Art, 
Sanskrit, Tibetan and English Version. Calcutta 1987 (Bibliotheca Indica Series, 315)



Input by members of the Sanskrit Buddhist Input Project.
With kind permission of the Digital Sanskrit Buddhist Canon Project
of Nagarjuna Institute, Nepal
and University of the West, Rosemead, California, USA
(www.uwest.edu/sanskritcanon)
Version: 2009-03-19 13:29:40
Proof Reader: Milan Shakya



The transliteration emulates the conventions of Nagari script.
Therefore, many word boundaries are not marked by blanks.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarod bhayajid ràjà  NCit_1.39c
akàlamçtyunà kasmàt  NCit_1.22c
akàlamçtyuhãnàstàþ  NCit_1.11c
akuñilamavakraü ca  NCit_3.83a
akùikoùasya vistàraþ  NCit_3.16c
agre samunnatà kàryà  NCit_3.66a
aïgàni màüsapårõàni  NCit_3.142a
aïgulirmaõibandhaþ syàt  NCit_3.90a
aïgulistu tribhàgaþ syàt  NCit_3.71a
aïguliþ syàd yavàùñakam  NCit_3.6b
aïgulãnàü tu jàlà÷ca  NCit_3.68a
aïgulãnàü vidhàtavyà  NCit_3.159c
aïgulãnàü vidhànataþ  NCit_3.88d
aïgulãnàü hi mànataþ  NCit_3.14d
aïguùñasya tathàyàmo  NCit_3.65c
aïguùñhapàr÷vamàüsaü tvà-  NCit_3.79a
aïguùñhasya pramàõaü tu  NCit_3.77c
aïguùñhasya sadoraho÷  NCit_3.76a
aïguùñhàttu caturbhàgà  NCit_3.78a
aïguùñhàntaü tu karabhàt  NCit_3.79c
aïguùñhàpekùayà sthålà  NCit_3.66c
aïguùñhe dve tu parvaõã  NCit_3.76c
ajaiùãstvaü yato balàt  NCit_1.74b
aõóajànàü khagàdhipaþ  NCit_1.92b
ata ådhrvaü pravakùyàmi  NCit_3.47a
atikramya ca sarveùàm  NCit_3.123b
atiguhyaü mahad vàkyaü  NCit_1.88c
atã j¤eya¤ca paõóitaiþ  NCit_3.146a
ato 'nyomànaniyamo  NCit_3.160a
ato buddhayà suni÷citya  NCit_3.157a
atyantasradç÷aü tathà  NCit_2.8d
atha brahmà nçpaü pràha  NCit_1.70a
athàsau bràhmaõastuùñaþ  NCit_1.83a
adya prabhçti taccitra  NCit_1.77c
adya prabhçti sarvatra  NCit_2.12c
adya manuùyalokeùu  NCit_2.19c
adharo 'rdhàïgulistasya  NCit_3.36a
adharoùñhasya càroha÷  NCit_3.36c
adhastàccaturaïguliþ  NCit_3.52f
adhaþ syàt caturaïgulam  NCit_3.41b
adhàdhaþ kaõñhade÷aya  NCit_3.39a
