Rahulabhadra: Prajnaparamitastotra
Based on the edition in:
Michael Hahn: "Bemerkungen zu zwei Texten aus dem Phudrag-Kanjur",
Indology and Indo-Tibetology. Thirty Years of Indian and Indo-Tibetan Studies in Bonn,
ed. by H. Eimer, Bonn 1988 (Indica et Tibetica 13), S. 53-80.


Input by Lennart and Jens-Uwe Hartmann (27.02.2006)



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





atulaü bhaktivatsale  RahPps_4d
anuyàtàsi sarvadà  RahPps_8d
apa÷yann api badhyate  RahPps_15b
apa÷yann api mucyate  RahPps_15d
ava÷yàyodabindavaþ  RahPps_10b
aho vismayanãyàsi  RahPps_16a
àkà÷am iva nirlepàü  RahPps_2a
à÷vàsajananã càsi  RahPps_11c
ucyase ca na cocyase  RahPps_18d
kçpayà lokanàthais tvam  RahPps_18c
kçpàtmakàþ prapadya tvàü  RahPps_4a
gambhãràsi ya÷asvini  RahPps_16b
candracandrikayor iva  RahPps_3d
candralekheva tàràbhir  RahPps_8c
tatra tatra tathàgataiþ  RahPps_9b
tad idaü mahad adbhutam  RahPps_14d
tava càrye guõàóhyàyà  RahPps_3a
tasyàmba katham anyatra  RahPps_12c
tuùñåùantaþ sunirvçtàþ  RahPps_20d
tena tvam api kalyàõi  RahPps_7c
tenàpi niyataü siddhiþ  RahPps_5c
tenàstv à÷u jagat kçtsnaü  RahPps_21c
tvannàthasya na vidyate  RahPps_12b
tvam eva tràsajananã  RahPps_11a
tvàm astutyàm api satãü  RahPps_20c
tvàm eva badhyate pa÷yann  RahPps_15a
tvàm eva mucyate pa÷yann  RahPps_15c
tvàü pràpya pralayaü yànti  RahPps_10c
dç÷yase na ca dç÷yase  RahPps_16d
doùà vàdà÷ ca vàdinàm  RahPps_10d
na ca kva cana gacchasi  RahPps_13b
na pa÷yanty antaraü santa÷  RahPps_3c
nàgacchasi kuta÷ cit tvaü  RahPps_13a
nànànàmabhir ãóyase  RahPps_9d
nàsty anya iti ni÷cayaþ  RahPps_17d
niravadyair nirãkùyase  RahPps_1d
nirnimittàü nira¤janàm  RahPps_19b
nirmalàbhir anindite  RahPps_8b
nirvikalpe namas tubhyaü  RahPps_1a
niùprapa¤càü nirakùaràm  RahPps_2b
