Vagisvarakirti: Mrtyuvancanopadesa
Based on the ed. by Johannes Schneider: VÃgÅÓvarakÅrtis M­tyuva¤canopadeÓa, eine buddhistische Lehrschrift zur Abwehr des Todes.
Wien : Verlag der ™sterreichischen Akademie der Wissenschaften 2010.
(Beitr„ge zur Kultur- und Geistesgeschichte Asiens ; 66) (Denkschriften der philosophisch-historischen Klasse ; 394)
ISBN 978-3-7001-6722-8


Input by Johannes Schneider



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akasmÃj jÃyate sthÆla÷  VMv_1.61a
akasmÃt k­«ïarekhÃ syÃj  VMv_1.58a
akasmÃt puru«aæ paÓyet  VMv_1.86a
akasmÃd dh­dayaæ nimnaæ  VMv_1.57a
akasmÃn nÃsikÃ vakrÃ  VMv_1.56a
ak«arai÷ paripÆritam  VMv_4.31b
ak«obhyÃditathÃgatÃn  VMv_4.21b
agatvÃ kÃryÃntaæ vi«aya-salilÃvartapatitÃ  VMv_4.97c
agh­ïamaraïabhÅter yatnata÷ saævidheyaæ  VMv_4.98c
acintyaÓaktiyuktatvaæ  VMv_3.38c
acintyaÓakter mantrasya  VMv_3.49c
acintyahetusÃmarthyÃc  VMv_4.47c
acintyaæ mantrasÃmarthyaæ  VMv_3.65c
acintyÃæ naiva cintayet  VMv_4.77b
acintyau«adhisÃmarthyaæ  VMv_3.82c
ajarÃmarakÃrakam  VMv_1.2b
ajarÃmaratÃprÃptyai  VMv_1.2c
ajarÃmaratÃæ prÃptam  VMv_1.2a
ajarÃmaratÃæ vrajet  VMv_4.50d
ato bhedena lak«ayet  VMv_1.13d
ato viparyayÃt kalpyaæ  VMv_2.7c
atyarthaæ m­tyudarÓanÃt  VMv_1.25b
athavÃ pa¤cavÃsarai÷  VMv_1.59d
ad­«ÂvÃ lak«aïaæ yatra  VMv_1.19a
adya Óvo vÃ kari«yÃma  VMv_4.96c
adyaiva m­tyur asmÃkam  VMv_1.119c
adhikÃni Óatai÷ «a¬bhi÷  VMv_4.51a
adhigataparamÃrtha÷ ÓrÅghanavyÆha eva  VMv_1.1a
ananu«ÂhÃnado«eïa  VMv_4.95c
ananu«ÂhÃnÃd vi«ÂhÃbhir  VMv_4.94c
anayoÓ ca sadÃbhyÃsÃn  VMv_3.81a
anarghasyendranÅlÃder  VMv_3.37a
anÃmikÃnÃæ mÆle«u  VMv_1.81a
anÃratakriyÃbhyÃsÃn  VMv_4.40c
anulomaparo yogÅ  VMv_4.58c
anu«ÂhÃnapara÷ prÃj¤o  VMv_4.85c
antarÃle«u vÃsarÃ÷  VMv_2.41b
anyathÃ syÃc chrama÷ para÷  VMv_3.3d
anyasyÃpi mahÃmaïe÷  VMv_3.37b
anyÃ ca vÃ¤chitÃ siddhiÓ  VMv_4.37c
