Haribhadrasuri: Sastravartasamuccaya, 
Based on the ed. by K. K. Dixit,
Ahmedabad : Lalbhai Dalpatbhai Bharatiya 1969
(L. D. Series, 22)


Input by Yasunori Harada



PADA INDEX



The text has a number of metrical irregularities.
Pada boundaries frequently cut through compounds, and sometimes through words.



REFERENCE SYSTEM:
The reference includes the stabaka and section nos. 
of K.K. Dixit's Vi«ayasÆcÅ [bracketed]:

HSvs_[n.n]nnn = [stabaka.section]verse




___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarmakaæ tathÃ caitat  HSvs_[5.1]393c
akalaÇkaæ sanÃtanam  HSvs_[1.1]16b
akli«Âasya viparyayÃt  HSvs_[2.1]121d
ak«atanmÃtravargasya  HSvs_[3.2]212c
ak«ayo 'pratipÃtitvÃt  HSvs_[9.1]576c
ak«ÃdÃv iti cen na tat  HSvs_[5.1]399d
agandhajananavyÃv­tty-  HSvs_[4.4]320a
agamyagamanÃdinÃ  HSvs_[2.1]144b
agamyagamanÃdi«u  HSvs_[2.1]145b
agamyagamanÃdÅnÃæ  HSvs_[2.1]142a
agorasavrato nobhe  HSvs_[7.1]479c
agnij¤Ãnajam etena  HSvs_[4.6]342a
agnyÃdij¤Ãnam eveha  HSvs_[4.6]348a
acintyacic chaktiyukto  HSvs_[3.1]194c
acetanÃni bhÆtÃni  HSvs_[1.2]31a
aj¤o jantur anÅÓo 'yam  HSvs_[3.1]196a
ata eva na yuktimat  HSvs_[11.1]657d
ata evÃgamaj¤asya  HSvs_[11.2]686a
ata evÃnyasadbhÃvÃd  HSvs_[1.2]67c
ata eveti cet tasya  HSvs_[3.2]216c
ata evedamicchantu  HSvs_[4.3]279c
atatsvabhÃvÃt tadbhÃve-  HSvs_[2.2]172a
atadgrahaïabhÃvaiÓ ca  HSvs_[5.1]383a
ataÓ ca kÃle tulye 'pi  HSvs_[2.2]190a
ataÓ caitad apÃrthakam  HSvs_[5.1]401d
atas tatraiva yuktÃsthÃ  HSvs_[1.1]27a
atas tadÃnuguïyena  HSvs_[3.1]206c
atas tad itthaæ no yuktam  HSvs_[5.1]396c
atas tadbheda evÃtra  HSvs_[7.1]525c
atas tadbheda eveti  HSvs_[7.1]527a
atas tadvad asau mukhya÷  HSvs_[1.3]82c
atas tadvedane tasya  HSvs_[5.1]384c
ata÷ katham abÃdhakam  HSvs_[4.6]334d
ata÷ kathaæcid ekena  HSvs_[4.6]343a
ata÷ kathaæ nu tadbhÃva÷  HSvs_[7.1]534c
ata÷ kÃlÃdaya÷ sarve  HSvs_[2.2]191a
ata÷ kimucyate mÃnam  HSvs_[5.1]385c
ata÷ pratyak«asaæsiddha÷  HSvs_[1.3]87a
ata÷ svabhÃvaniyamÃn  HSvs_[4.6]330c
atiprasaægataÓ caiva  HSvs_[4.3]290c
