Cakrapaninatha: Bhavopaharastotra 
(mula text extracted from the commented version)
Based on the ed. by Mukunda Ramashastri
Bombay : Tatva-vivechaka Press 1918
(Kashmir Series of Sanskrit Texts and Studies, 14)


Input by Somadeva Vasudeva,
2003


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akhaõóamaõóalàkàra-  CakBhst_34a
agre granthàrthagarbhiõã  CakBhst_23d
atibhaktirasàve÷a-  CakBhst_5a
advaitàgnau juhomy antaþ  CakBhst_40c
anarghyam arghaü pàdebhyaþ  CakBhst_20c
anàbilaü paràü vyàptiü  CakBhst_31c
anàhatà nadaty antar  CakBhst_23a
antarmànavidhau te 'stu  CakBhst_42c
amandànandaniþùyanda-  CakBhst_19a
amalaü te 'stu ÷ekharam  CakBhst_27d
avalambyonmanàsrucam  CakBhst_41b
a÷eùàvaraõonmukta-  CakBhst_10a
ahaükàraturaïgas te  CakBhst_38c
àkçùyàrkakaraiþ ÷àktair  CakBhst_29a
àtapatram athàsmàbhir  CakBhst_37c
àdatsvàcamanaü vibho  CakBhst_19d
àdyasaüpuñaghaññanàt  CakBhst_32d
àdhàràdheyapãñhàya  CakBhst_1c
àsanaü trijagatpate  CakBhst_11d
àsvàdaya jagatpate  CakBhst_29d
àhvànàdivisarjanam  CakBhst_13d
ittham ã÷ànacaraõa-  CakBhst_45a
indriyeùv indriyàrtheùu  CakBhst_15a
uddãpayàmi bhagavan  CakBhst_24c
udyatà vàk sadà mama  CakBhst_4d
upariùñàn mayà ÷ambhor  CakBhst_34c
uùõãùam astu te rudra  CakBhst_26c
kandànalollasacchakti-  CakBhst_24a
kalaïkojjhitacetasaþ  CakBhst_13b
kalàkamalamàline  CakBhst_2b
kalà candrakalà ca te  CakBhst_28d
ka÷cid vi÷ramya tàpasaþ  CakBhst_47b
kaþ karoti budhaþ sthàõor  CakBhst_13c
kàyakaükàlakandale  CakBhst_8d
kàladehàpahàriõe  CakBhst_1b
kim u bàhyàrthabhàvanaiþ  CakBhst_33d
kiraõair upara¤jitaþ  CakBhst_42b
kçtvà japavidhiü samyak  CakBhst_30c
kriyate te mahàkàla-  CakBhst_8c
galatkaivalyasalilam  CakBhst_19c
girã÷a tisçbhir vàgbhiþ  CakBhst_21c
guptasauùuptamaõóale  CakBhst_10b
gçhàõa mattaþ ÷rãkaõñha!  CakBhst_6c
granthipa¤cakamauktikam  CakBhst_20b
grahaõe candrasåryayoþ  CakBhst_10d
grahaõe vàmitàd dyute  CakBhst_31b
cakre ciccakranàthasya  CakBhst_47c
candramauleþ ÷rayantåccair  CakBhst_44c
candra÷ candrakirãñinaþ  CakBhst_25b
càrucàmaravan mayà  CakBhst_35d
ciccandràmçtaniþùyandam  CakBhst_29c
citàbhåtivibhåùitàt  CakBhst_6b
cittacintàmaõir mama  CakBhst_42d
j¤aptimàtrapratiùñhànam  CakBhst_11c
j¤ànaj¤eyaparityàga-  CakBhst_18a
tat tad dvàràdhipakulaü  CakBhst_9c
tathàpy à hçdayàt stotum  CakBhst_4c
tadgãtam atha te vàdyam  CakBhst_32c
tadviràmarasasnànaü  CakBhst_16c
tava pàdyam anàbilam  CakBhst_18d
tava påjyaü manasvibhiþ  CakBhst_9d
tàõóavàóambaroddhataþ  CakBhst_33b
tàmbålaü te nivedyate  CakBhst_39d
tàlavçntair iva vibho  CakBhst_36c
tàü svadhàmni sadodite  CakBhst_30b
tãrthe yoginiùevite  CakBhst_7b
turãyodyànavikasat-  CakBhst_21a
turyapãñhapratiùñhànaü  CakBhst_12c
trailokyàkarùaõakùamaþ  CakBhst_38b
tvatpàdàbjarajaþpåta-  CakBhst_6a
tvatprerità yato nàtha  CakBhst_5c
dikkàlade÷akalanà-  CakBhst_13a
deyaü candràrdhamaulaye  CakBhst_16d
dveùadoùàd vimucyatàm  CakBhst_45d
dharmàdharmagalatsneha-  CakBhst_41c
dhàryate te mahà÷aya  CakBhst_37d
dhàryate dhårjañer agre  CakBhst_35c
dhåpavartinibhàbhàso  CakBhst_22c
dhåpas te nagajàdhava  CakBhst_22d
naganirjharavisrutam  CakBhst_18b
namaþ pà÷aughasaüghañña-  CakBhst_3a
namaþ ÷i÷uni÷àkànta-  CakBhst_2a
namaþ såryakalàjàla-  CakBhst_1a
nàgavallãdalojjvalam  CakBhst_39b
nàda÷aktyuditaü dhàma  CakBhst_26a
nàparàdho 'sti me kvacit  CakBhst_5d
nàsàpuñakuñãkoñi-  CakBhst_36a
nityoditàntaravyàpti-  CakBhst_28c
nivedayàmi bhagavan  CakBhst_43c
niþ÷eùàrthaparityàge  CakBhst_31a
niþsnehatvaü prabhutvaü ca  CakBhst_15c
nuter yat samupàrjitam  CakBhst_45b
paramànandadaü me 'ntas  CakBhst_18c
paramànandadehàya  CakBhst_2c
paraü pàraü titãrùavaþ  CakBhst_44b
paràmçtarasàbhyaïgaü  CakBhst_14c
pàtre vinyasya saüskçtàm  CakBhst_43b
påjyase nagajàkànta!  CakBhst_10c
pårõàü vahnau juhomy aje  CakBhst_41d
prakà÷àkà÷ahastàbhyàm  CakBhst_41a
prakùàlya dhàraõàmbhobhir  CakBhst_20a
prabhåtabhåtasaübhåta-  CakBhst_8a
prayacchàmi vçùàkape  CakBhst_20d
pràõavahni÷ikhàstreõa  CakBhst_22a
pràõasarvasvadakùiõàm  CakBhst_43d
