Cakrapaninatha: Bhavopaharastotra 
(mula text extracted from the commented version)
Based on the ed. by Mukunda Ramashastri
Bombay : Tatva-vivechaka Press 1918
(Kashmir Series of Sanskrit Texts and Studies, 14)


Input by Somadeva Vasudeva,
2003


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akhaï¬amaï¬alÃkÃra-  CakBhst_34a
agre granthÃrthagarbhiïÅ  CakBhst_23d
atibhaktirasÃveÓa-  CakBhst_5a
advaitÃgnau juhomy anta÷  CakBhst_40c
anarghyam arghaæ pÃdebhya÷  CakBhst_20c
anÃbilaæ parÃæ vyÃptiæ  CakBhst_31c
anÃhatÃ nadaty antar  CakBhst_23a
antarmÃnavidhau te 'stu  CakBhst_42c
amandÃnandani÷«yanda-  CakBhst_19a
amalaæ te 'stu Óekharam  CakBhst_27d
avalambyonmanÃsrucam  CakBhst_41b
aÓe«Ãvaraïonmukta-  CakBhst_10a
ahaækÃraturaÇgas te  CakBhst_38c
Ãk­«yÃrkakarai÷ ÓÃktair  CakBhst_29a
Ãtapatram athÃsmÃbhir  CakBhst_37c
ÃdatsvÃcamanaæ vibho  CakBhst_19d
ÃdyasaæpuÂaghaÂÂanÃt  CakBhst_32d
ÃdhÃrÃdheyapÅÂhÃya  CakBhst_1c
Ãsanaæ trijagatpate  CakBhst_11d
ÃsvÃdaya jagatpate  CakBhst_29d
ÃhvÃnÃdivisarjanam  CakBhst_13d
ittham ÅÓÃnacaraïa-  CakBhst_45a
indriye«v indriyÃrthe«u  CakBhst_15a
uddÅpayÃmi bhagavan  CakBhst_24c
udyatÃ vÃk sadÃ mama  CakBhst_4d
upari«ÂÃn mayÃ Óambhor  CakBhst_34c
u«ïÅ«am astu te rudra  CakBhst_26c
kandÃnalollasacchakti-  CakBhst_24a
kalaÇkojjhitacetasa÷  CakBhst_13b
kalÃkamalamÃline  CakBhst_2b
kalÃ candrakalÃ ca te  CakBhst_28d
