Karatoyamahatmya
Based on the edition included as Appendix I in:
Prabhas Chandra Sen: Mahasthan and Its Environs, 
Rajshahi, Bengal : Varendra Research Society 1929
(Varendra Research Society's Monographs, 2)


Input by Arlo Griffiths
(typed with some normalizations and corrections)



PADA INDEX



PREAMBLE
This work is said to be included in a larger work the Uttara-Pauõóra-khaõóa, was first published in 1298 B.S. (1891 A.D.) with a Bengali translation, by Pandit Rajachandra Nyayapanchanan. It consists of two parts: verses 1 to 60, Paundra-khsetra-màhàtmyam and verses 61 to 85, Karatoyà-màhàtmyam. The text is printed here from that edition.
Verse 41 of this work is quoted in Sarvànanda's Tikà sarvasva (1159 A.D.) in the tikà of sloka 32 in vàrivarga; verses 41 and 64, in the Smritichandrikà of Devanabhañña who is quoted by Hemàdri (12th century); verse 41, in the Vyàkhyàsudhà of Bhanuji Dikshit son of Bhattoji Dikshit; verse 63, in Smritiratnakar of Vedàchàrya who quotes Bhavadeva and Jimutavahana and is quoted by Raghunandanda.

NOTE:
For the above information I am indebted to Mr. Subodh Chandra Banerjee M. A. of the Dacca University Manuscript Library which is in possession of manuscripts of the Karatoya-mahatmyam and the other works referred to. No copy of the Uttara-pauõóra-khaõóa has come to light yet.

Verse 63 is quoted in the Tithi-viveka of Sulapàni (first quarter of the 15th century); verses 30 and 37 in the Kçitya-chintàmani of Vàchaspati Mi÷ra of Mithila (second half of the 15th century) and verses 33 and 63 in the Amàvàsyà-prakaraõa of the Tithitattva of Raghunandanda (first half of the 16th century).



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





(a)j¤ànataþ snàti yo naraþ  KtoM_77b
atiguhyatamaü kùetraü  KtoM_57e
atraiva j¤ànam àsàdya  KtoM_27e
atraiva pauõóranagare puruùàrthasiddhir  KtoM_79a
adbhutà kàrità sçùñiþ  KtoM_17a
adhunàpi yathà tàsàü  KtoM_06a
adhyàsitaü karajalàmbuvidhåtapàpaü  KtoM_24c
anyatra påjanàd devi  KtoM_45c
aparaü kathyatàü deva  KtoM_01a
aruõodayavelàyàü  KtoM_33c
a÷vatthàmà kapivaro  KtoM_67c
a÷vamedhaphalaü labhet  KtoM_52d
a÷vamedham avàpnoti  KtoM_27c
asthike÷àdayo yasya  KtoM_48a
asnàtvà gacchataþ pàraü  KtoM_71a
asmàt khyàtaü sakalajagatàü ÷rãmahàsthànam etat  KtoM_59d
aho kùetrasya màhàtmyàd  KtoM_74e
aho jalasya màhàtmyaü  KtoM_43a
àdau karkañake devi  KtoM_41a
àdyaü bhuvo bhavanaü lakùasapàdavipraiþ  KtoM_24a
àsàü nadãnàü ca jalaü  KtoM_83c
itthaü ràmo racayati padaü lakùaõànyånaviü÷àny  KtoM_59c
iyaü ÷rãsundarã devi  KtoM_42a
uttare bhåtike÷varaþ  KtoM_19d
udarasthena ye mçtàþ  KtoM_46b
çùayo munaya÷ caiva  KtoM_67a
çùibhyo 'py aprakà÷ayat  KtoM_11d
ekaviü÷ativàrataþ  KtoM_13d
ekaþ para÷umàtreõa  KtoM_13a
kathaü và plàvitaü kùetraü  KtoM_03c
kadotpattiþ kathaü tasyàþ  KtoM_02a
kanakasya dinatrayam  KtoM_17b
karajàpa÷cime bhàge  KtoM_25a
karajàyàs tãre deva-  KtoM_45a
karajàyàü tapodhane  KtoM_48b
karatoyàjalaü puõyaü  KtoM_51a
karatoyàjalaü pràpya  KtoM_33a
karatoyàjale j¤ànà-  KtoM_77a
karatoyàjale devi  KtoM_40a
karatoyàjale ÷ubhe  KtoM_63f
karatoyànadãjale  KtoM_38d
karatoyànadãjale  KtoM_39f
karatoyànadãtãre  KtoM_44a
karatoyànadãtãre  KtoM_52a
karatoyànadãü pràpya  KtoM_27a
karatoyàpa÷cime tãre  KtoM_26a
karatoyàpa÷cime tãre  KtoM_49a
karatoyàpa÷cime tãre  KtoM_50a
karatoyàphalaü yathà  KtoM_05d
karatoyàmahàtãrtha-  KtoM_85a
karatoyàmçdà ye ca  KtoM_55a
karatoyàmbuvàhinã  KtoM_41d
karatoyàmbhasi snàtvà  KtoM_32c
karatoyàsarittañe  KtoM_68d
karatoyàsarittañe  KtoM_74d
karatoyàsarinnãra-  KtoM_70a
karatoyàsarinnãraü  KtoM_16c
karatoyàü samàsàdya  KtoM_28a
karatoye sadànãre  KtoM_63a
karimukha÷ ca ùaõmukhaþ  KtoM_68b
kalipàpaharà puõyà  KtoM_06c
kasmàc caiva vi÷eùañaþ  KtoM_02b
kàratoyena toyena  KtoM_46a
kàverã kau÷ikã candra-  KtoM_81a
kiyanto reõavaþ pçthvyàü  KtoM_31a
