CUMULATIVE PADA INDEX OF METRIC SAIVA TEXTS


Contributors:
Dominic Goodall, Reinhold Gruenendahl, Oliver Hellwig, 
Harunaga Isaacson, Nibedita Rout, S.A.S. Sarma,R. Sathyanarayanan, 
Peter Schreiner, Somadeva Vasudeva, Mei Yang
(For details see the files of the individual texts.)

         


Currently comprising the GRETIL versions of:

BhStc_ = Bhatta Narayana: Stavacintamani
CakBhst_ = Cakrapaninatha: Bhavopaharastotra 
Dka_ = Devikalottara-Agama (Devikalottaragama)
GorS(1)_ / GorS(2)_ = Goraksanatha (=Gorakhnath): Goraksasataka (2 versions)
JsSpst_ = Jnanasambhu: Sivapujastava
KubjT_ = Kubjikamatatantra
MrgT_ = Mrgendragama [or Mrgendratantra]
Saul_ = Saundaryalahari (attrib. to Samkara)
SUp_ = Siva-Upanisad
SvaT_ = Svacchandatantra [or Svacchandabhairavatantra]
ToT_ = Todalatantra
VT_ = Vinasikhatantra



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




a-u-ma-kàrasaüyuktaü  KubjT_8.59c
akariùyat sudhãs tadà  BhStc_40d
akartà nirguõa÷càhaü  SvaT_12.49c
akartà nirguõa÷càhaü  SvaT_12.75c
akartà puruùaþ smçtaþ  SvaT_12.76d
akartçbhàvàdbhoktu÷ca  MrgT_1,2.15c
akarmapathavartinàm  SvaT_10.58b
akalkavànsattvavànyo  SvaT_10.71a
akalko j¤àna÷ãlatà  SvaT_10.64d
akalya÷ca na kalyate  SvaT_11.310b
akasmàc chrãr upasthità  KubjT_2.28b
akasmàj jàyate sthålaþ  KubjT_23.37c
akasmàddhåsaracchaviþ  SvaT_7.264b
akasmàdvai bhavetkç÷aþ  SvaT_7.275d
akàmasya kriyà nàsti  SvaT_11.316a
akàmàtkàmataþ kuryàt  MrgT_3.106c
akàmàt kàmato 'pi và  KubjT_5.68d
akàmàtsaüsçjetsarvaü  SvaT_11.3c
akàmànnikùipetpuùpaü  SvaT_4.62a
akàyo nirguõo hyàtmà  Dka_52c
akàra àtmatattvasya  SvaT_5.14c
akàracaturo madhye  KubjT_9.52a
akàra÷ca ukàra÷ca  SvaT_4.255a
akàra÷ca ukàra÷ca  SvaT_4.430c
akàra÷ca ukàra÷ca  SvaT_6.23a
akàra÷ca hakàra÷ca  SvaT_4.349c
akàras tu samàkhyàtaþ  KubjT_11.11c
akàraü hyàtmasambhavam  Stk_2.6d
akàràkùarajaü viduþ  Stk_22.8b
akàràdikùakàràntam  VT_252c
akàràdikùakàràntaü  KubjT_10.119c
akàràdikùakàràntaü  KubjT_22.12a
akàràdikùakàràntaü  KubjT_22.16c
akàràdikùakàràntà  KubjT_22.7a
akàràdilakàràntà  ToT_9.17a
akàràntena sampuñam  KubjT_22.8d
akàreõa yadà yukta  SvaT_4.258a
akàrokàramakàràntam  SvaT_5.61c
akàro brahmavàcakaþ  SvaT_4.263b
akàrpaõyaü càspçhà cety  SvaT_10.411a
akàlenàpi kàlas tu  KubjT_23.124c
akàle vçkùaphalanaü  KubjT_17.42c
aki¤ciccintakasyàsya  MrgT_4.62a
akumàrã ca vij¤eyàn  SvaT_11.156c
akulakramamàrgeõa  KubjT_19.73a
akulavyàptir ity eùà  KubjT_18.100c
akulaü ca kulaü caiva  KubjT_11.5a
akulaü vyàpakaü råpaü  KubjT_19.60a
akulàditrimadhyasthaü  KubjT_8.53a
akulãnakramàntasthaþ  KubjT_19.73c
akulãnatanur baddhaþ  KubjT_18.109a
