Srikantha: Ratnatrayapariksa 
Based on the ed. by Vajravallabha Dvivedi's edition:
Astaprakaranam
Varanasi : Sampurnanand Sanskrit University, 1988.
(Yogatantragranthamala, 12)


Input by Dominic Goodall
(not proofread)


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akriyàpi kriyà tathà  SRtp_192b
agçhãtàrthabhedasya  SRtp_228c
aghorahçdayo vàma-  SRtp_282a
aïgàni karaõàni ca  SRtp_132b
acidastãti cetanam  SRtp_140b
acintyamahimà yathà  SRtp_194b
ajaóatvàcca yat punaþ  SRtp_196b
aj¤o janturanã÷o 'yam  SRtp_151c
aõutvea sati kartçtvàd  SRtp_62a
aõuvaiùamyadar÷anàt  SRtp_50b
aõånàmarthadar÷ane  SRtp_259d
aõånàmavikàro 'pi  SRtp_314c
aõånàmeva bandhanàt  SRtp_241d
aõånàü malahetukaþ  SRtp_247b
aõoreva na sarveùàm  SRtp_249c
atadråpàpi tadråpa-  SRtp_242c
ato 'dhvànaþ kalàdayaþ  SRtp_89b
ato na màyopàdànaü  SRtp_48c
ato nàyaü pçthak ÷akteþ  SRtp_133c
ato bandhastayormataþ  SRtp_249d
ato vimuktàþ sarvaj¤à  SRtp_257c
ato hetubalàkràntàþ  SRtp_225a
atra ca trãõi tattvàni  SRtp_114c
advayeti niùedho 'pi  SRtp_219a
advaitakùapaõakùamaiþ  SRtp_222d
adhikàramalopetàs  SRtp_27a
adhikàro nivartate  SRtp_77d
adhitiùñhati kàraõam  SRtp_117d
adhiùñhàtçtayà bhedam  SRtp_288a
adhvanaþ ùaóapi kramàt  SRtp_123b
adhvà yuktyavi÷eùataþ  SRtp_144d
adhvaitatpràpyate ùoóhà  SRtp_6c
anantaphaladàyinàm  SRtp_321b
anantasyàrthadar÷ane  SRtp_47b
anantaþ kùobhako mataþ  SRtp_47d
anantaþ parame÷varaþ  SRtp_28d
anantàõóasya ùaó bahiþ  SRtp_91d
anantenàpi ÷abdànu-  SRtp_66c
