Srikantha: Ratnatrayapariksa 
Based on the ed. by Vajravallabha Dvivedi's edition:
Astaprakaranam
Varanasi : Sampurnanand Sanskrit University, 1988.
(Yogatantragranthamala, 12)


Input by Dominic Goodall
(not proofread)


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akriyÃpi kriyÃ tathÃ  SRtp_192b
ag­hÅtÃrthabhedasya  SRtp_228c
aghorah­dayo vÃma-  SRtp_282a
aÇgÃni karaïÃni ca  SRtp_132b
acidastÅti cetanam  SRtp_140b
acintyamahimÃ yathÃ  SRtp_194b
aja¬atvÃcca yat puna÷  SRtp_196b
aj¤o janturanÅÓo 'yam  SRtp_151c
aïutvea sati kart­tvÃd  SRtp_62a
aïuvai«amyadarÓanÃt  SRtp_50b
aïÆnÃmarthadarÓane  SRtp_259d
aïÆnÃmavikÃro 'pi  SRtp_314c
aïÆnÃmeva bandhanÃt  SRtp_241d
aïÆnÃæ malahetuka÷  SRtp_247b
aïoreva na sarve«Ãm  SRtp_249c
atadrÆpÃpi tadrÆpa-  SRtp_242c
ato 'dhvÃna÷ kalÃdaya÷  SRtp_89b
ato na mÃyopÃdÃnaæ  SRtp_48c
ato nÃyaæ p­thak Óakte÷  SRtp_133c
ato bandhastayormata÷  SRtp_249d
ato vimuktÃ÷ sarvaj¤Ã  SRtp_257c
ato hetubalÃkrÃntÃ÷  SRtp_225a
atra ca trÅïi tattvÃni  SRtp_114c
advayeti ni«edho 'pi  SRtp_219a
advaitak«apaïak«amai÷  SRtp_222d
adhikÃramalopetÃs  SRtp_27a
adhikÃro nivartate  SRtp_77d
adhiti«Âhati kÃraïam  SRtp_117d
adhi«ÂhÃt­tayÃ bhedam  SRtp_288a
adhvana÷ «a¬api kramÃt  SRtp_123b
adhvÃ yuktyaviÓe«ata÷  SRtp_144d
adhvaitatprÃpyate «o¬hÃ  SRtp_6c
anantaphaladÃyinÃm  SRtp_321b
anantasyÃrthadarÓane  SRtp_47b
ananta÷ k«obhako mata÷  SRtp_47d
ananta÷ parameÓvara÷  SRtp_28d
anantÃï¬asya «a¬ bahi÷  SRtp_91d
anantenÃpi ÓabdÃnu-  SRtp_66c
ananyÃpi tathÃ Óambhor  SRtp_303c
ananyÃpi vibhinnÃta÷  SRtp_304c
ananyÃyÃ÷ kriyÃtmana÷  SRtp_132d
anapek«a÷ k«aïena ca  SRtp_313b
anapek«eïa jÃyate  SRtp_54d
anÃpannavikÃro 'pi  SRtp_311a
anÃsÃdya phalaæ tena  SRtp_97a
anÃhitaviÓe«o 'pi  SRtp_306c
anivÃryÃvati«Âhate  SRtp_159d
anug­hïÃti cÃtmana÷  SRtp_264d
anupÃdÃnarÆpÃïÃæ  SRtp_162c
anumÃnasya sÃphalyam  SRtp_229a
anumÃnaæ ca sÃdhayet  SRtp_222b
anuviddhamiha j¤Ãnaæ  SRtp_85a
anekabhuvanÃvalim  SRtp_134d
anenaiva ÓarÅreïa  SRtp_318a
antarÃ d­¬habandhanam  SRtp_248d
antarÃ ÓaktidÅpikÃm  SRtp_302d
anta÷saæjalparÆpÃ tu  SRtp_75a
anyathÃ nopapadyate  SRtp_228b
anyathaivopalambhanÃt  SRtp_295d
anyathoktaviÓe«aïam  SRtp_63b
anyasyÃnyatra sadbhÃva÷  SRtp_120c
anye tu kathayantyatra  SRtp_164c
anye v­ttiparÅïÃma-  SRtp_62c
anyonyÃdhyÃsasÃdhyatvÃd  SRtp_243c
aparÃ kÃryagocarÃ  SRtp_272d
apare v­ttiÓÃlinÅm  SRtp_285d
api kÃmÃn prayacchati  SRtp_20b
api cÃnyatvamadvaita-  SRtp_230a
api tasyÃvabodhanÃt  SRtp_8b
api tiktaæ vijÃnÃti  SRtp_235c
api binduvadi«yate  SRtp_200d
api bhedagrahe sati  SRtp_229b
aprasiddhasya dharmasya  SRtp_215c
aprÃptaÓivadhÃmÃnas  SRtp_23c
abÃdhita÷ pramÃïaiÓca  SRtp_240c
abhivyÃpta÷ sa bindunÃ  SRtp_118d
abhivyÃptÃæ ca bindunÃ  SRtp_165b
amoghÃ balaÓÃlinÅ  SRtp_190b
arthasÃmarthajaæ j¤Ãnaæ  SRtp_210c
alaukikÃni sÆk«mÃïi  SRtp_18a
alpaj¤ÃnakriyÃnvitÃ÷  SRtp_50d
alpÅyÃæsaæ samÃv­tya  SRtp_256a
avagÃhya parÃnanda-  SRtp_15c
avabodhÃbhimÃnata÷  SRtp_67d
avasÅyeta sÆribhi÷  SRtp_15b
avasthÃntarasamprÃpti÷  SRtp_36a
avasthÃbhedajanmanÃm  SRtp_311d
avasthÃbhedamÃsÃdya  SRtp_309a
avasthÃmapare bindor  SRtp_154a
avikÃro 'pi bhÃskara÷  SRtp_313d
avikÃro 'pi ÓaktimÃn  SRtp_312d
avinÃÓi ca tannityam  SRtp_297c
avibhÃgasvarÆpiïÅ  SRtp_156d
avibhÃgena varïÃnÃæ  SRtp_76a
avivekak­todaya÷  SRtp_243d
avivekena jÃnati  SRtp_246c
aviveko niyantÃ cet  SRtp_253a
aviÓuddhaja¬atvena  SRtp_41c
avyaktamapi varïÃÓca  SRtp_99c
aÓakta÷ kiæ kari«yati  SRtp_303b
aÓuddhayoraÓuddhaiva  SRtp_175a
aÓe«asyÃpi vastuna÷  SRtp_292d
aÓe«ÃrthakriyÃvidhau  SRtp_195b
a«ÂÃdaÓabhiradhvÃyaæ  SRtp_31c
a«ÂÃvanantapÆrvÃste  SRtp_28a
a«ÂÃva«Âau padÃnyeka-  SRtp_101a
a«ÂÃviæÓatisaækhyasitu  SRtp_94a
asata÷ prathayatyasau  SRtp_204b
asÃvapi tathocyate  SRtp_275d
asti Óakti÷ ÓivÃÓrayÃ  SRtp_293b
asmatpre«yo yathÃ jana÷  SRtp_62b
aheturbandhamok«ayo÷  SRtp_205d
ÃkÃradvayasaævittir  SRtp_292c
Ãgama÷ kathamadvaitam  SRtp_222a
Ãgamai÷ sopapattikai÷  SRtp_237b
Ãgamo 'pi padaistaistai÷  SRtp_220c
ÃcÃryaistairaÓe«Ãdhva-  SRtp_164a
Ãïavaæ cinnabho muhu÷  SRtp_188d
ÃtmakÃrye 'pi kÅrtita÷  SRtp_151d
ÃtmÃnamanupaÓyati  SRtp_316d
ÃtmÃ ÓaktiÓca vij¤eyau  SRtp_49c
ÃdimadhyÃntarahitÃ  SRtp_185c
ÃdyÃ tu saævid vij¤Ãnaæ  SRtp_128a
ÃnandavipralabdhÃnÃm  SRtp_14c
ÃnandopahitÃ citi÷  SRtp_14d
ÃptaÓcintÃmaïiryathÃ  SRtp_20d
Ãptastu Óiva evaika÷  SRtp_11c
Ãptoktiratra siddhÃnta÷  SRtp_10a
Ãbhyo viviktamÃtmÃnaæ  SRtp_81c
ÃropyÃtmani cidguïam  SRtp_246b
ÃropyÃtmani tadv­tti-  SRtp_244c
ÃÓÃmÃtravij­mbhitÃ  SRtp_220b
ÃÓÃsvekaikaÓo daÓa  SRtp_92b
ÃhurÃtmavido janÃ÷  SRtp_80d
icchÃkÃryamanicchÃpi  SRtp_191c
icchÃj¤ÃnakriyÃdyÃ yat  SRtp_276c
iti jÃnÃti ya÷ Óakta÷  SRtp_64c
iti tatrÃbhidhÅyate  SRtp_134b
iti bhoga÷ samÃkhyÃta÷  SRtp_148a
ito 'pi lak«yate bindur  SRtp_50a
ityadvaitagrahÃvi«ÂÃ÷  SRtp_213a
ityadvaitaprasiddhaye  SRtp_218b
ityÃkhyÃtÃ mahÃmÃyÃ  SRtp_163c
idamandhatama÷ k­tsnam  SRtp_302c
idamevaæ mayÃ k«ubdham  SRtp_64a
indunÃrkasya sannidhau  SRtp_189b
iyaæ kuï¬alinÅ parÃ  SRtp_127b
iva bhÆtÃdikÃraïam  SRtp_58b
i«ÂamasmÃd vibhidyate  SRtp_297d
i«Âaæ sampÃdayed dhruvam  SRtp_64b
i«yetai«a karoti ca  SRtp_67b
ÅÓÃdhikakriyÃÓaktyor  SRtp_130c
