Sardhatrisatikalottaragama
Based on the edition by N.R. Bhatt:
Sardhatrisatikalottaragama, avec le commentaire de Bhatta Ramakantha.
Pondicherry : Institut Francais d'Indologie 1979.
(Publications de l'Institut Francais d'Indologie, 61)



Input by Dominic Goodall, corrected by Yang Mei



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akàraü hyàtmasambhavam  Stk_2.6d
akàràkùarajaü viduþ  Stk_22.8b
agnikàryavidhiü kramàt  Stk_6.1b
agniü srotasi saüyojya  Stk_21.5a
agnãùomàtmakaü sarvaü  Stk_12.3a
aghorasteja ityukto  Stk_22.12c
aghoraü ca makàrajam  Stk_22.8d
aghoraþ sàmavedaþ syàd  Stk_22.14a
aghoro rudradaivatya  Stk_22.15c
aïkuràkàravatsthità  Stk_12.1d
aïkuràstatra nirgatàþ  Stk_10.1d
aïguùñhaü càpyapa÷cimam  Stk_1.17d
acireõaiva kàlena  Stk_12.5c
aj¤àtvaitàni tattvàni  Stk_8.5a
aõimàdiguõai÷varyaü  Stk_15.2c
aõimàdiprasàdhane  Stk_19.12b
ataþ parataraü nàsti  Stk_20.8e
ataþ paraü pravakùyàmi  Stk_3.1a
ataþ paraü pravakùyàmi  Stk_6.1a
ataþ paraü pravakùyàmi  Stk_7.1a
ataþ paraü pravakùyàmi  Stk_16.1a
ataþ paraü pravakùyàmi  Stk_21.1a
atha dãkùàü pravakùyàmi  Stk_8.1a
atharvaþ puruùaþ smçtaþ  Stk_22.14b
athàtaþ sampravakùyàmi  Stk_1.4a
athàtaþ sampravakùyàmi  Stk_13.1a
adyàpi saü÷ayo deva  Stk_17.1a
adhastàcchiùyamàtmànaü  Stk_22.3c
adhastàvadvyavasthitaþ  Stk_20.2b
adhimàsamçõaü càpi  Stk_11.3c
adhimàso vijçmbhikà  Stk_11.4b
adhivàsaü tataþ kçtvà  Stk_7.2a
adhonàdasya kùãõasya  Stk_19.9a
adhomukhamavasthitam  Stk_11.15d
anagnijvalanaü caiva  Stk_21.1c
anagnijvalane hitam  Stk_21.4d
anantaü càntagaü kuryàt  Stk_5.2a
