Sardhatrisatikalottaragama
Based on the edition by N.R. Bhatt:
Sardhatrisatikalottaragama, avec le commentaire de Bhatta Ramakantha.
Pondicherry : Institut Francais d'Indologie 1979.
(Publications de l'Institut Francais d'Indologie, 61)



Input by Dominic Goodall, corrected by Yang Mei



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akÃraæ hyÃtmasambhavam  Stk_2.6d
akÃrÃk«arajaæ vidu÷  Stk_22.8b
agnikÃryavidhiæ kramÃt  Stk_6.1b
agniæ srotasi saæyojya  Stk_21.5a
agnÅ«omÃtmakaæ sarvaæ  Stk_12.3a
aghorasteja ityukto  Stk_22.12c
aghoraæ ca makÃrajam  Stk_22.8d
aghora÷ sÃmaveda÷ syÃd  Stk_22.14a
aghoro rudradaivatya  Stk_22.15c
aÇkurÃkÃravatsthitÃ  Stk_12.1d
aÇkurÃstatra nirgatÃ÷  Stk_10.1d
aÇgu«Âhaæ cÃpyapaÓcimam  Stk_1.17d
acireïaiva kÃlena  Stk_12.5c
aj¤ÃtvaitÃni tattvÃni  Stk_8.5a
aïimÃdiguïaiÓvaryaæ  Stk_15.2c
aïimÃdiprasÃdhane  Stk_19.12b
ata÷ parataraæ nÃsti  Stk_20.8e
ata÷ paraæ pravak«yÃmi  Stk_3.1a
ata÷ paraæ pravak«yÃmi  Stk_6.1a
ata÷ paraæ pravak«yÃmi  Stk_7.1a
ata÷ paraæ pravak«yÃmi  Stk_16.1a
ata÷ paraæ pravak«yÃmi  Stk_21.1a
atha dÅk«Ãæ pravak«yÃmi  Stk_8.1a
atharva÷ puru«a÷ sm­ta÷  Stk_22.14b
athÃta÷ sampravak«yÃmi  Stk_1.4a
athÃta÷ sampravak«yÃmi  Stk_13.1a
adyÃpi saæÓayo deva  Stk_17.1a
adhastÃcchi«yamÃtmÃnaæ  Stk_22.3c
adhastÃvadvyavasthita÷  Stk_20.2b
adhimÃsam­ïaæ cÃpi  Stk_11.3c
adhimÃso vij­mbhikÃ  Stk_11.4b
adhivÃsaæ tata÷ k­tvÃ  Stk_7.2a
adhonÃdasya k«Åïasya  Stk_19.9a
adhomukhamavasthitam  Stk_11.15d
anagnijvalanaæ caiva  Stk_21.1c
anagnijvalane hitam  Stk_21.4d
anantaæ cÃntagaæ kuryÃt  Stk_5.2a
anirdi«Âamasaæj¤aæ ca  Stk_8.29c
anuktaæ yadbhavetkiæcit  Stk_7.11a
anug­hïÃti vai Óiva÷  Stk_13.22b
anuccÃryamasandigdhaæ  Stk_19.12c
anuccÃryaæ prakÅrtitam  Stk_19.9d
anuj¤Ãto 'bhi«iktaÓca  Stk_9.5e
anusvÃravivarjitam  Stk_1.10d
anusvÃro bhavennetraæ  Stk_1.10a
antarjalagatÃ÷ sattvÃste  Stk_1.7a
antasthaæ taæ vijÃnÅyÃd  Stk_19.9c
antastha÷ sarvata÷ sthita÷  Stk_20.2d
anta÷karaïavinyÃso  Stk_2.1a
anyathÃ tu p­thakp­thak  Stk_8.28b
anyathÃ naiva mucyante  Stk_8.22a
apÃnayatyapÃnastu  Stk_10.9a
apÃnastena kÅrtita÷  Stk_10.9d
apÃno rÃtrirucayte  Stk_11.8b
api nityaæ bruvanti tam  Stk_1.7b
abdamekaæ sa jÅvati  Stk_18.3b
abhimantrya yathÃkramam  Stk_4.1d
abhimantrya sak­tsak­t  Stk_3.2d
abhi«ekaæ tu kÃrayet  Stk_9.4b
abhi«ekaæ tu pa¤cabhi÷  Stk_4.4b
abhi«ekaæ purÃ k­tvÃ  Stk_3.7a
abhi«ekaæ pravak«yÃmi  Stk_9.1a
amÃ caiva t­tÅyakÃ  Stk_11.6d
am­taæ yatparaæ vatsa  Stk_8.23a
am­taæ sarvatomukham  Stk_12.5b
am­taæ sÃdhakottama÷  Stk_12.2d
ayane savyÃsavye dvau puÂakau yugmato vi«uvadÃhu÷  Stk_10.23/a
ayute dve sahasraæ tu  Stk_11.10a
arghyaæ dattvÃ tu mantrasya  Stk_16.8c
arcanaæ ca tata÷ kuryÃd  Stk_8.17a
arcanaæ prok«aïaæ caiva  Stk_8.16a
ardhamÃtrÃ parÃ sÆk«mÃ  Stk_23.9a
alambu«Ã kuhÆÓcaiva  Stk_10.4c
alpagranthaæ mahÃrthaæ ca  Stk_1.3a
alpavÅryÃlpabuddhaya÷  Stk_1.2b
alpasattvÃlpavittÃÓca  Stk_1.2c
alpÃyu«astvime martyÃ  Stk_1.2a
avij¤Ãya tvidaæ samyaÇ  Stk_16.7c
aviditvÃ na mucyeta  Stk_20.3c
avyaktaæ paramaæ sÆk«maæ  Stk_13.15c
a«ÂatriæÓatkalopetaæ  Stk_22.2c
a«ÂadhÃ pratyayo yathÃ  Stk_21.1b
a«Âapatra sakarïikam  Stk_7.3d
a«ÂÃvekaikayÃhutÅ÷  Stk_8.10d
asÃd­Óyaguïai÷ sthitam  Stk_22.16d
astrajaptena bhÃgena  Stk_3.4a
astra dik«vatha vinyasya  Stk_7.8c
astrabÅjena mantraj¤o  Stk_8.11a
astrabÅjena Óodhayet  Stk_1.17b
astrabÅjena «aïmukha  Stk_4.2b
astraæ ca Óivasaæyuktam  Stk_2.3a
astraæ na yojayeddehe  Stk_3.7c
astreïollekhanaæ kuryÃd  Stk_6.1c
asya mudrÃæ pravak«yÃmi  Stk_1.15a
asyÃntaæ te pravak«yÃmi  Stk_23.14a
aharekaæ vrajedyasya  Stk_18.3c
ahorÃtrapracÃreïa  Stk_18.3a
ahorÃtraæ sa jÅvati  Stk_18.4d
ahorÃtrÃyanÃni ca  Stk_11.3b
ahorÃtreïa yogÅndro  Stk_11.10c
Ãkar«ayeddhruvaæ yukto  Stk_16.5c
Ãkar«aæ kurute dhruvam  Stk_16.7b
ÃkÃÓastu bhavedÅÓa÷  Stk_22.13a
ÃkÃÓasthamatha Ó­ïu  Stk_19.6d
ÃkÃÓaæ dhÃrayetsadÃ  Stk_2.3b
ÃkÃÓena tvalaÇk­tam  Stk_19.7d
ÃkrÃnto vÃyureka÷ sa jananamaraïai÷ krÅ¬ati bhrÃntasattvai÷  Stk_10.14d
ÃgopÃlÃÇganÃ bÃlÃ  Stk_1.6c
ÃgneyyÃæ kÃrayetkuï¬aæ  Stk_7.5c
ÃgneyyÃæ h­dayaæ nyasya  Stk_7.7c
ÃcÃryastu mahÅtale  Stk_23.26b
ÃcÃrya÷ pÃÓahÃ bhavet  Stk_9.5f
ÃcÃrya÷ saha Ói«yeïa  Stk_22.4c
ÃcÃrya÷ susamÃhita÷  Stk_7.5b
ÃtmanÃ ca dhanena ca  Stk_16.12d
ÃtmÃdhidevatÃ mantrÃ¤  Stk_8.38a
ÃdÃvante ca h­daya-  Stk_16.5a
ÃdÃvante ca hrasvasya  Stk_16.4c
ÃdÃvante «a¬Ãnana  Stk_14.4b
Ãdityagrahaïaæ budha÷  Stk_11.9d
Ãdimasya dvitÅyena  Stk_8.26c
Ãdimaæ tu punaryojyaæ  Stk_19.11a
Ãdimaæ yojayetpuna÷  Stk_1.12d
Ãdiroæ ca namaÓcÃnte  Stk_21.4c
ÃdyÃ kuï¬alinÅ tu yÃ  Stk_12.1b
ÃdhÃra÷ puramityuktam  Stk_17.3a
ÃdhÃrÃdheyavitprÃj¤a÷  Stk_17.2c
ÃdheyastvÅÓa ucyate  Stk_17.3b
ÃptopadeÓagamyo 'sau  Stk_23.2c
ÃpyÃyanavidhau hye«a  Stk_21.9a
ÃpyÃyane plutaÓcaiva  Stk_16.2c
ÃyÃma÷ kriyate tasya  Stk_11.19c
ÃyÃmÃnte yadÃ cchinnaæ  Stk_8.31a
ÃyÃme ÓaÓina÷ kramÃt  Stk_14.3b
ÃyÃmo dehamadhyastha÷  Stk_11.9a
ÃyÃmo bhÃskarasya tu  Stk_8.41d
Ãlabdho mriyate druma÷  Stk_21.7b
Ãlikhenmaï¬alaæ prÃj¤a÷  Stk_7.2c
ÃvÃhayettato devaæ  Stk_5.4a
ÃhÃraæ ca n­ïÃmadha÷  Stk_10.9b
i¬Ã ca piÇgalÃ caiva  Stk_10.3c
i¬Ã ca piÇgalÃ caiva  Stk_11.6c
i¬Ã vÃme prakÅrtitÃ  Stk_11.7b
iti khalu pudgalacÃro nÃ¬ÅsadhÃnamaï¬alaæ mukhyam  Stk_10.28/b
iti ÓÃstrasya niÓcaya÷  Stk_2.9d
iti ÓÃstrasya niÓcaya÷  Stk_16.11d
iti ÓÃstrasya niÓcaya÷  Stk_18.4b
iti ÓÃstrasya niÓcaya÷  Stk_23.12b
ityÃha bhagavÃ¤Óiva÷  Stk_23.17d
ityetadvÃyuv­ndaæ h­di ca vinihitaæ nÃbhicakraprati«Âhitam  Stk_10.14a
ityevaæ trividho j¤eya  Stk_23.26a
ityevaæ pa¤ca homayet  Stk_8.9d
idaæ ca yo 'bhyasedevam  Stk_12.5a
indraÓcandro b­haspati÷  Stk_22.5b
iyami«Âirna prakÃÓyÃ  Stk_8.12c
i«Âena tu prasÃdena  Stk_22.10c
ÅkÃrÃdi÷ sa hau madhye  Stk_21.10a
ÅkÃrÃdyantasaæyuktaæ  Stk_21.12a
Åk«ate hÃÂakeÓvaram  Stk_16.15d
ÅÓaæ vij¤Ãya medhÃvÅ  Stk_17.3c
ÅÓÃnastu ÓikhÃtmaja÷  Stk_22.9b
ÅÓÃna÷ Óivadaivatyo  Stk_22.16a
ÅÓÃnÃdyÃstu sadyÃntaæ  Stk_2.10c
ÅÓÃnena Óira÷ snÃyÃn  Stk_4.3a
ÅÓÃntaæ vahnito nyaset  Stk_5.3b
ÅÓvarayogÃdvi«uvatsaækrÃntiÓcaiva siddhisaæyogÃt  Stk_10.22/a
ÅÓvara÷ puru«a÷ sm­ta÷  Stk_22.15d
ÅÓvara÷ prabhureva sa÷  Stk_13.19d
ÅÓvara÷ Óiva eva vÃ  Stk_23.9d
ukÃrÃk«arasambhavÃ  Stk_13.4d
uktÃnuktaæ ca yatki¤cit  Stk_5.5c
uktÃnuktÃni karmÃïi  Stk_16.10c
uccÃrayettu praïavaæ  Stk_11.11c
uttaraæ dak«iïaæ j¤eyaæ  Stk_11.5a
utthÃpane prayu¤jÅta  Stk_21.13a
udaraæ pÆrayitvÃ tu  Stk_11.12a
udÃno nÃma mÃruta÷  Stk_10.11d
udÃno vyÃna eva ca  Stk_10.5d
udgÃre nÃga ityukta÷  Stk_10.13a
udghÃtÃ«ÂaÓatena tu  Stk_21.20d
udghÃtÃ«ÂaÓatenaiva  Stk_21.18a
udghÃtÃ«ÂaÓatenaiva  Stk_21.21e
udghÃtairayutena tu  Stk_21.16d
udghÃtai÷ pÆrvavadguha  Stk_8.39d
uddhÃre prok«aïe caiva  Stk_8.19c
udvejayati marmÃïi  Stk_10.11c
uparicarÅ khalu ÓaktistÃsÃæ prÃgbhÃvinÅ Óivasya tata÷  Stk_10.19/a
upari«ÂÃtprasÃdena  Stk_4.4c
upari«ÂÃnnirÃlambÃ  Stk_20.7a
upasthÃnaæ tu kÃrayet  Stk_3.6d
upasp­Óya vidhÃnena  Stk_3.6a
upÃya÷ sakalastadvad  Stk_23.7c
upeyaÓcaiva ni«kala÷  Stk_23.7d
ulkÃhasto yathÃ kaÓcid  Stk_23.5a
ÆnarÃtraæ k«utaæ j¤eyam  Stk_11.4a
ÆnarÃtraæ dhanaæ tathÃ  Stk_11.3d
ÆrdhvanÃdasya k«Åïasya  Stk_19.7a
ÆrdhvanÃlÃ hyadhomukhÃ÷  Stk_8.38d
ÆrdhvaÓÆnyamadha÷ ÓÆnyaæ  Stk_20.7c
Ærdhvasroto bhavetpadmaæ  Stk_11.16c
Ærdhvasrotovyavasthitam  Stk_11.17d
Ærdhvaæ prÃïo hyaha÷ prokta÷  Stk_11.8a
Ærdhvaæ yÃvattu mastakam  Stk_1.15d
­ïaæ ca kÃso vij¤eyo  Stk_11.4c
ekatra samatÃæ yÃnti  Stk_8.28a
ekamastreïa mantrayet  Stk_3.3b
ekamÃtrastathaiva ca  Stk_23.8d
ekameva tridhÃ sthitam  Stk_13.13b
ekahastaæ dvihastaæ vÃ  Stk_7.4a
ekÃvaraïametattu  Stk_5.6a
ekaikasya p­thak p­thak  Stk_14.4d
ekaikasya Óataæ homyam  Stk_8.9c
etattatparamaæ guhyam  Stk_23.16c
etattatparamÃk«aram  Stk_23.16d
etatte ÓivasadbhÃvaæ  Stk_23.19a
etatpÃÓupataæ divyaæ  Stk_1.13c
etanme brÆhi tattvena  Stk_20.1c
ete cÃnye ca bahavo  Stk_22.6c
ete bhedÃ÷ samÃkhyÃtÃ  Stk_19.12a
ebhirmukta÷ Óivaæ vrajet  Stk_17.6f
ebhistu Óodhitairvatsa  Stk_8.21c
evamÃkar«ayetsÃdhyaæ  Stk_16.6a
evamÃpyÃyito mantra÷  Stk_16.10a
evaæ j¤ÃtvÃ tu medhÃvÅ  Stk_23.22c
evaæ j¤ÃtvÃ tu vidhivat  Stk_21.3c
evaæ mantrÃstu pa¤caite  Stk_22.9c
evaæ viditvÃ medhÃvÅ  Stk_16.7a
evaæ vidhividhÃnaj¤o  Stk_7.11c
evaæ viæÓatibhirlak«ai÷  Stk_16.13a
evaæ samÃpyate dÅk«Ã  Stk_8.11c
e«a eva vidhikrama÷  Stk_8.21b
e«a devo 'pi sargastho  Stk_13.18c
e«a saæskÃra uttama÷  Stk_8.13b
e«Ã mudrÃ mahÃmudrÃ  Stk_1.16a
e«u saækrÃntirucyate  Stk_11.7d
aiÓÃnyÃæ tu ÓirastathÃ  Stk_7.7d
omityanena kamalaæ  Stk_2.6a
oækÃraprathamÃæ rekhÃæ  Stk_13.3a
oækÃramÃdita÷ k­tvÃ  Stk_21.19c
oækÃramÆrdhni madhyastha  Stk_13.2c
oækÃramÆrdhni saæyuktÃ  Stk_13.6a
oækÃravyÃpakastathÃ  Stk_13.2d
oækÃrasya ukÃrÃbhÃ  Stk_13.4a
oækÃra÷ sarvato 'dhastÃd  Stk_21.6a
oækÃro haæ yakÃreïa  Stk_21.16a
aukÃramadhyasaæyukta÷  Stk_21.9c
