Astavakragita


Input by John Richards
with corrections by Robert Drecogna



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akartçtvam abhoktçtvaü  Avg_18.51a
akartç spanda-varjitam  Avg_18.30b
akiücana-bhavaü svàsthyaü  Avg_13.1a
akiücanaþ kàma-càro  Avg_18.87a
akurvann api saükùobhàd  Avg_18.58a
akçtrimo 'navacchinne  Avg_18.67c
akùayaü gata-santàpam  Avg_18.74a
agàdha-buddhir akùubdho  Avg_1.17c
aïganàü bhåpatiü priyam  Avg_18.54b
acintyaü cintyamàno 'pi  Avg_12.7a
aj¤ànàd bhàti yatredaü  Avg_2.15c
aj¤ànàn mayi bhàsate  Avg_2.9b
atad-vàdãva kurute  Avg_18.26a
atas tyakto bubhukùubhiþ  Avg_15.3d
ataþ kasya kathaü kutra  Avg_15.12c
ati÷ànto niràkàra  Avg_7.3c
ato mama kathaü kutra  Avg_7.5c
ato mama jagat sarvam  Avg_2.2c
atyarthaü rocayiùyati  Avg_16.2d
atha cintàsahas tasmàd  Avg_12.1c
athavà na ca kiücana  Avg_2.2d
athavà yasya me sarvaü  Avg_2.14c
atha vàyàti saïkocam  Avg_18.32c
adç÷yatvena càtmanaþ  Avg_12.2b
adhunaiva sukhã ÷ànto  Avg_1.4c
anicchann api dhãro hi  Avg_18.37c
anityaü sarvam evedaü  Avg_9.3a
anirvàcya-svabhàvasya  Avg_18.79c
anenaivopade÷ena  Avg_16.3c
antareõa na vidyate  Avg_18.44b
antareõa sukhã bhavet  Avg_18.2d
antar-galita-sarvà÷aþ  Avg_11.2c
antar-galita-sarvà÷aþ  Avg_17.19c
antar yad anubhåyeta  Avg_18.93c
antar-vikalpa-÷ånyasya  Avg_14.4a
antar-viùaya-làlasaþ  Avg_18.76d
antas-tyakta-kaùàyasya  Avg_3.14a
api sannihite mçtyau  Avg_3.11c
aprayatnàt prayatnàd và  Avg_18.34a
abaddhà mukta-buddhayaþ  Avg_18.53d
abhàgyàj jãva-vaõijo  Avg_2.24c
abhàvàd adya he brahmann  Avg_12.4c
abhukteùu niràkàïkùã  Avg_17.4c
amåóhaþ ko 'pi måóhavat  Avg_18.32d
amçtenaiva påritam  Avg_18.81d
ayam eva hi te bandhaþ  Avg_1.15c
ayam eva hi te bandho  Avg_1.7c
ayam eva hi me bandha  Avg_2.22c
ayaü so 'ham ayam nàhaü  Avg_15.15a
ayaü so 'ham ayaü nàham  Avg_18.9a
araõyam iva saüvçttaü  Avg_2.21c
arjayitvàkhilàn arthàn  Avg_18.2a
arthaü cànartha-saïkulam  Avg_10.1b
arthànarthau na me sthityà  Avg_13.5a
alakùya-sphuraõaþ ÷uddhaþ  Avg_18.70c
alam arthena kàmena  Avg_10.7a
alaü tri-varga-kathayà  Avg_19.8a
alaü vij¤àna-kathayà  Avg_19.8c
avadhàryàtidurbalaþ  Avg_3.7b
avidyàpi na kiücit sà  Avg_10.5c
avinà÷inam àtmànam  Avg_3.1a
avihvala-manàþ sva-stho  Avg_17.14c
a÷nan gçhõan vadanvrajan  Avg_17.12b
a÷nann aste yathà sukhaü  Avg_17.8d
a÷nann àste yathà-sukham  Avg_18.47d
a÷nan nistarùa-mànasaþ  Avg_18.65d
asaktaü sarva-dçùñiùu  Avg_8.3d
asaktaþ sarva-bhàveùu  Avg_18.87c
asaïgo nispçhaþ ÷ànto  Avg_1.12c
asaïgo 'si niràkàro  Avg_1.5c
asamàdher avikùepàn  Avg_18.28a
asaüsakta-manà nityaü  Avg_17.17c
asaüsàrasya tu kvàpi  Avg_18.22a
asaüspç÷ya ÷arãreõa  Avg_2.13c
asàraü ninditaü heyam  Avg_9.3c
aham àse yathà-sukham  Avg_13.1d
aham àse yathà-sukham  Avg_13.4d
aham àse yathà-sukham  Avg_13.5d
