Bhamaha: Kavyalamkara
Based on: Kàvyàlaïkàra of Bhàmaha, Paricchedas 1 to 6 With English Translation 
and Notes on Paricchedas 1 to 3 by C. Sankara Rama Sastri. 
Madras, Mylapore : Sri Balamanorama Press, 1956.
(Sri Balamanorama Series, 54)


Input by Dominic Goodall (EFEO)
(The text is not proofread!)



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akaveþ ÷àstravedanam  Bh_1.3d
akena ca na kurvãta  Bh_6.37c
akhaõóamaõóalaþ kvenduþ  Bh_2.44a
agràmya÷abdamarthyaü ca  Bh_1.19c
aïgeùvambhasi yoùitàm  Bh_2.83d
aj¤asyeva pragalbhatvam  Bh_1.3c
aj¤ànasaü÷ayaj¤àna-  Bh_5.52c
a¤mahàrajanàllàkùà-  Bh_6.51c
aõantàdapi ïãbiùño  Bh_6.51a
atadguõakriyàyogàd  Bh_2.91c
ataþ paraü càruranekadhàparo  Bh_2.96c
ati÷ete hyalaükàram  Bh_6.28c
ato nyàyavirodhãùñam  Bh_4.38c
ato 'bhivà¤chatà kãrtiü  Bh_1.8a
atyàjayadyathà ràmaþ  Bh_5.44a
atràpi bahu vaktavyaü  Bh_4.7a
atràrthapunaruktaü yat  Bh_4.15a
atraivàntargatirmatà  Bh_2.10b
atha nityàvinàbhàvi  Bh_5.31a
atha pratij¤àhetvàdi-  Bh_5.1a
atha liïgavacobhedàv  Bh_2.52a
athàbhyupagamapràptiþ  Bh_5.45a
adantaü ghubhç¤oþ ÷atuþ  Bh_6.59b
adantaü nàpyapa¤camã  Bh_6.34b
adya yà mama govinda  Bh_3.5c
adyàrabhya nivatsyàmi  Bh_5.43a
adhanasyeva dàtçtvaü  Bh_1.3a
adharo vidrumaccheda-  Bh_2.56c
adhikàràdapetasya  Bh_3.29a
adhunàtiùñha kevalam  Bh_4.11d
anantaraikàntarayor  Bh_2.16a
ananyamanasàmapi  Bh_2.53b
anayànyad api j¤eyaü  Bh_1.57a
anayàrtho vibhàvyate  Bh_2.85b
analaïkçtakàntaü te  Bh_3.51a
anibaddhaü ca kàvyàdi  Bh_1.18c
anibaddhaü punargàthà-  Bh_1.30a
anuktamapi yatràrthàd  Bh_5.45c
