Bhamaha: Kavyalamkara
Based on: KÃvyÃlaÇkÃra of BhÃmaha, Paricchedas 1 to 6 With English Translation 
and Notes on Paricchedas 1 to 3 by C. Sankara Rama Sastri. 
Madras, Mylapore : Sri Balamanorama Press, 1956.
(Sri Balamanorama Series, 54)


Input by Dominic Goodall (EFEO)
(The text is not proofread!)



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akave÷ ÓÃstravedanam  Bh_1.3d
akena ca na kurvÅta  Bh_6.37c
akhaï¬amaï¬ala÷ kvendu÷  Bh_2.44a
agrÃmyaÓabdamarthyaæ ca  Bh_1.19c
aÇge«vambhasi yo«itÃm  Bh_2.83d
aj¤asyeva pragalbhatvam  Bh_1.3c
aj¤ÃnasaæÓayaj¤Ãna-  Bh_5.52c
a¤mahÃrajanÃllÃk«Ã-  Bh_6.51c
aïantÃdapi ÇÅbi«Âo  Bh_6.51a
atadguïakriyÃyogÃd  Bh_2.91c
ata÷ paraæ cÃruranekadhÃparo  Bh_2.96c
atiÓete hyalaækÃram  Bh_6.28c
ato nyÃyavirodhÅ«Âam  Bh_4.38c
ato 'bhivÃ¤chatÃ kÅrtiæ  Bh_1.8a
atyÃjayadyathÃ rÃma÷  Bh_5.44a
atrÃpi bahu vaktavyaæ  Bh_4.7a
atrÃrthapunaruktaæ yat  Bh_4.15a
atraivÃntargatirmatÃ  Bh_2.10b
atha nityÃvinÃbhÃvi  Bh_5.31a
atha pratij¤ÃhetvÃdi-  Bh_5.1a
atha liÇgavacobhedÃv  Bh_2.52a
athÃbhyupagamaprÃpti÷  Bh_5.45a
adantaæ ghubh­¤o÷ Óatu÷  Bh_6.59b
adantaæ nÃpyapa¤camÅ  Bh_6.34b
adya yÃ mama govinda  Bh_3.5c
adyÃrabhya nivatsyÃmi  Bh_5.43a
adhanasyeva dÃt­tvaæ  Bh_1.3a
adharo vidrumaccheda-  Bh_2.56c
adhikÃrÃdapetasya  Bh_3.29a
adhunÃti«Âha kevalam  Bh_4.11d
anantaraikÃntarayor  Bh_2.16a
ananyamanasÃmapi  Bh_2.53b
