Jayadeva (alias Piyusavarsa): Candraloka
Based on the thesis by R‚ginald Beyaert (forthcoming)


Input by R‚ginald Beyaert, revised by Pierre-Sylvain Filliozat



STRUCTURE OF REFERENCES:
JCand_nn.nn = JayadevaCandràloka_mayåkha.verse


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akramaş kçùõa påjyante  JCand_2.27c
akramàti÷ayokti÷ ced  JCand_5.41a
akùamo vàcyasannibhaş  JCand_2.30b
agåóhaü kalayed arthà-  JCand_8.3a
agràmyatvàt pçthaïmatà  JCand_4.9b
agre màno gataş pa÷càd  JCand_5.42c
aïgabhaïgollasallãlà  JCand_6.27a
aïgamanyad rasàdikam  JCand_8.4b
aïgayaùñidhanurvallãty-  JCand_5.21c
aïgãkaroti yaş kàvyaü  JCand_1.8a
ajaràmaratà kasya  JCand_5.63c
atathyam àropayituü  JCand_5.24a
atyantaü và tiraskçtam  JCand_7.3d
atyantàti÷ayoktis tat-  JCand_5.42a
atyuktir adbhutàtathya-  JCand_5.115a
atra ÷leùodayàn naiva  JCand_2.44c
atra hàsyarasodde÷e  JCand_2.42c
athavàsti priyàmukham  JCand_5.71d
adbhuto vismayasthàyã  JCand_6.12a
adya màdyatu ràvaõaş  JCand_8.10b
adhikaü bodhyam àdhàràd  JCand_5.82a
adhikaü bhavataş ÷atrån  JCand_2.18c
aniùñekùaõaniùñhãva-  JCand_6.11c
anunãtà priyeõa sà  JCand_5.42d
anubhàvaiş kañàkùàdyair  JCand_6.5a
anumànaü ca kàryàdeş  JCand_5.36a
anuråpaü kçtaü sadma  JCand_5.80c
anuùõam analaü kçtã  JCand_1.8d
anekasyàrthayugmasya  JCand_5.16a
anekànvayakalpanam  JCand_5.79b
anenàpi prabhedena  JCand_7.16c
anenàsàv àdyaş sukavijayadevena racite  JCand_1.16c
anaucityaü kãrtilatàü  JCand_2.34a
anaucityà rasàbhàsà  JCand_6.19c
anyataş svaguõodayaş  JCand_5.101b
anyathà tu guõãbhåta-  JCand_8.1c
anyasaïgatam uttuïga-  JCand_2.14c
