Jayadeva (alias Piyusavarsa): Candraloka
Based on the thesis by R‚ginald Beyaert (forthcoming)


Input by R‚ginald Beyaert, revised by Pierre-Sylvain Filliozat



STRUCTURE OF REFERENCES:
JCand_nn.nn = JayadevaCandrÃloka_mayÆkha.verse


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akrama÷ k­«ïa pÆjyante  JCand_2.27c
akramÃtiÓayoktiÓ ced  JCand_5.41a
ak«amo vÃcyasannibha÷  JCand_2.30b
agÆ¬haæ kalayed arthÃ-  JCand_8.3a
agrÃmyatvÃt p­thaÇmatÃ  JCand_4.9b
agre mÃno gata÷ paÓcÃd  JCand_5.42c
aÇgabhaÇgollasallÅlÃ  JCand_6.27a
aÇgamanyad rasÃdikam  JCand_8.4b
aÇgaya«ÂidhanurvallÅty-  JCand_5.21c
aÇgÅkaroti ya÷ kÃvyaæ  JCand_1.8a
ajarÃmaratÃ kasya  JCand_5.63c
atathyam Ãropayituæ  JCand_5.24a
atyantaæ vÃ tirask­tam  JCand_7.3d
atyantÃtiÓayoktis tat-  JCand_5.42a
atyuktir adbhutÃtathya-  JCand_5.115a
atra Óle«odayÃn naiva  JCand_2.44c
atra hÃsyarasoddeÓe  JCand_2.42c
athavÃsti priyÃmukham  JCand_5.71d
adbhuto vismayasthÃyÅ  JCand_6.12a
adya mÃdyatu rÃvaïa÷  JCand_8.10b
adhikaæ bodhyam ÃdhÃrÃd  JCand_5.82a
adhikaæ bhavata÷ ÓatrÆn  JCand_2.18c
ani«Âek«aïani«ÂhÅva-  JCand_6.11c
anunÅtÃ priyeïa sÃ  JCand_5.42d
anubhÃvai÷ kaÂÃk«Ãdyair  JCand_6.5a
anumÃnaæ ca kÃryÃde÷  JCand_5.36a
anurÆpaæ k­taæ sadma  JCand_5.80c
anu«ïam analaæ k­tÅ  JCand_1.8d
anekasyÃrthayugmasya  JCand_5.16a
anekÃnvayakalpanam  JCand_5.79b
anenÃpi prabhedena  JCand_7.16c
anenÃsÃv Ãdya÷ sukavijayadevena racite  JCand_1.16c
anaucityaæ kÅrtilatÃæ  JCand_2.34a
anaucityÃ rasÃbhÃsÃ  JCand_6.19c
anyata÷ svaguïodaya÷  JCand_5.101b
anyathÃ tu guïÅbhÆta-  JCand_8.1c
anyasaÇgatam uttuÇga-  JCand_2.14c
anyasmin vastuyantraïam  JCand_5.94b
anyÃs tisra iti vyaktÃ  JCand_9.6a
anyonyaæ nÃma yatra syÃd  JCand_5.83a
aparasya rasÃdeÓ ced  JCand_8.4a
aparÃdhÅna ityÃdi  JCand_2.14a
api labdhuæ samunnatim  JCand_5.81d
apu«ÂÃrtho viÓe«ye cen  JCand_2.29a
apy andhakÃriïÃnena  JCand_5.74c
apy ambudhe÷ paraæ pÃraæ  JCand_5.66c
aprayuktaæ daivatÃdi-  JCand_2.3a
aprastutapraÓaæsÃ syÃt  JCand_5.65a
abhavanmatayoga÷ syÃn  JCand_2.23a
abhimÃno vicÃraÓ ced  JCand_3.3a
abhÅ«ÂaviprayogÃÓru-  JCand_6.7a
abheda÷ paryavasyati  JCand_5.22b
amatÃrthÃntaraæ mukhye  JCand_2.28a
amandacandanasyanda÷  JCand_5.73c
amandÃnandasandoha-  JCand_5.3c
amÅ daÓa guïÃ÷ kÃvye  JCand_4.10c
am­taæ sÆktam ityÃdau  JCand_9.8a
ambarÃntam upaity asau  JCand_5.7d
ayatnena prahar«aïam  JCand_5.49b
ayam aindrÅmukhaæ paÓya  JCand_5.61c
ayaæ pramattamadhupas  JCand_5.32a
aruïaæ taruïai÷ karai÷  JCand_2.7b
arthagatvÃd dvidhÃ budhÃ÷  JCand_9.3d
arthaÓaktibhuvo bhida÷  JCand_7.11d
arthaÓaktisamutthasya  JCand_7.6c
arthaÓle«o 'rthamÃtrasya  JCand_5.64a
arthasaæstham api dvidhÃ  JCand_9.4d
arthÃnuprÃsa i«yate  JCand_5.6b
arthÃntire saækramitam  JCand_7.3c
arthÃpatti÷ svayaæ sidhyet  JCand_5.37a
arthe 'rtham anyaæ yaæ vakti  JCand_7.17c
arthe vidadhadityÃdau  JCand_2.6c
artho dharma iva tvayi  JCand_5.13d
ardharambhoruvigraham  JCand_2.22d
ardhÃntarapadÃpek«i  JCand_2.22a
alaÇkÃra÷ parikara÷  JCand_5.39a
alaÇkÃrÃÇgatÃæ gate  JCand_5.120d
alaÇkÃrÃn imÃn sapta  JCand_5.117c
alaækÃrapradhÃne«u  JCand_5.123a
alaækÃram alaækÃro  JCand_7.7c
alaækÃras tu vastu yat  JCand_7.7b
alaækÃre«u tathye«u  JCand_5.124a
alaæ vilokayÃdyÃpi  JCand_5.112c
alpÃk«arÃ vicitrÃrtha-  JCand_3.1a
avaj¤Ã varïyate vastu  JCand_5.106a
avahittham athogratÃ  JCand_6.17b
avim­«ÂavidheyÃæÓa÷  JCand_2.13a
avivak«itavÃcyasya  JCand_7.3a
avyaktayoganiryoga-  JCand_1.10a
aÓlÅlaæ trividhaæ vrÅ¬Ã-  JCand_2.8a
asatÅ sÃdhyasÃdhane  JCand_3.7b
asamarthaæ tu hantyÃde÷  JCand_2.3c
asaæbhavo 'rthani«pattÃv  JCand_5.75a
asaæbhÃvyatvavarïanam  JCand_5.75b
asÃv udeti ÓÅtÃæÓur  JCand_3.10c
asundaraæ yadi vyaÇgyaæ  JCand_8.9a
asau na manyate kasmÃd  JCand_1.8c
asau narapurandara÷  JCand_2.38d
asti ki¤cid yadanayÃ  JCand_5.36c
asthÃnasthasamÃsaæ na  JCand_2.24c
asphuÂatvaæ taÂasthatvaæ  JCand_9.5c
asphuÂaæ cÃrthani«ÂhatvÃt  JCand_9.4a
asphuÂaæ stanayor atra  JCand_8.6a
asmÃkaæ tu na nirïaya÷  JCand_5.32d
aho anyaiva lÃvaïya-  JCand_5.45c
aæÓukÃntaæ ÓaÓÅ kurvann  JCand_5.7c
Ãkarïaya paya÷pÆrïa-  JCand_2.26c
Ãk«epas tu prayuktasya  JCand_5.71a
ÃkhyÃte bhinnadeÓatve  JCand_5.78a
Ãturyam Ãsaptamaæ ca  JCand_6.21a
Ãdi rÆpitarÆpakam  JCand_5.21d
ÃdheyÃdhikavarïanam  JCand_5.82b
ÃbhimukhyÃt saænidhÃnÃt  JCand_9.8c
Ãmantrya pratibodhita÷  JCand_7.14b
Ãyur evedam Åd­Óam  JCand_9.12d
Ãyur gh­tam itÅd­Óam  JCand_9.12b
ÃlambanoddÅpanÃtmÃ  JCand_6.1a
Ãlasyaæ caiva dainyaæ ca  JCand_6.15c
Ãlasyer«yÃjugupsÃbhyo  JCand_6.4c
ÃliÇganti samaæ deva  JCand_5.41c
Ãv­ttavarïasampÆrïaæ  JCand_5.3a
Ãv­ttavarïastabakaæ  JCand_5.8a
Ãv­tte dÅpakapade  JCand_5.53a
Ãvego ja¬atÃ tathÃ  JCand_6.16b
ÃsvÃdyamÃnaikatanu÷  JCand_6.3c
Ãhur vÃkyakadambakam  JCand_1.15d
ÃhlÃdasÃdhanaæ vÃyu÷  JCand_2.8c
ity anvarthavicÃraïÃt  JCand_5.122b
ity a«ÂadhÃ guïÅbhÆta-  JCand_8.10c
ityÃdi lak«aïaæ bhÆri  JCand_3.11a
ity Æhonyaprasiddhaye  JCand_5.48b
ityevamÃde÷ saæbandhÃt  JCand_9.9c
ityevaæ boddh­vaicitryÃd  JCand_7.15a
indur indurivetyÃdau  JCand_5.12c
indur evedam Åd­Óam  JCand_9.11d
indur evai«a tadvaktram  JCand_9.6c
indur mukham itÅd­Óam  JCand_9.11b
indur mukham ivetyÃdau  JCand_5.14c
indur yadi kathaæ tÅvra÷  JCand_3.3c
iyam adbhutaÓÃkhyagra-  JCand_2.5c
iva vÃcyena sÃmyabh­t  JCand_8.8b
ivÃdikapadÃbhÃve  JCand_5.30a
ivÃhlÃdaæ vikÃsayan  JCand_6.2d
i«yamÃïaviruddhÃrtha-  JCand_5.50a
Åd­ÓaiÓ caritai rÃjan  JCand_3.6c
uktir vyÃjastutir nindÃ-  JCand_5.70a
uccairasyati mandatÃmarasatÃæ jÃgratkalaÇkairava-  JCand_1.1a
ucchaladbhÆrikÅlÃla÷  JCand_5.62c
utkaïÂhitÃæ ca kalayan  JCand_5.97c
utkar«o lak«yate mukhe  JCand_9.6d
utpalÃbhyÃm adha÷k­tau  JCand_5.98d
utprek«onnÅyate yatra  JCand_5.29a
utsÃhÃkhyasthÃyibhÃva÷  JCand_6.9a
utsiktak«itibh­llak«ya-  JCand_5.19c
udÃttam ­ddheÓ caritaæ  JCand_5.114a
udÃratÃ tu vaidagdhyam  JCand_4.9a
udÃrasÃraÓ ced bhÃti  JCand_5.90a
udety ambudhibÃndhava÷  JCand_2.21d
unmÃdÃdyair yathÃkramam  JCand_6.5b
upakÃra÷ parasparam  JCand_5.83b
upamÃne tu lÅlÃdi-  JCand_5.15a
upamÃnopameyatve  JCand_5.12a
upamÃnopameyayo÷  JCand_5.58b
upamÃ yatra sÃd­Óya-  JCand_5.11a
upameyamayÅ bhittis  JCand_5.18c
upameyopamÃnÃdÃv  JCand_5.6a
upameyopamÃ matÃ  JCand_5.13b
upÃdÃnÃrpaïadvÃre  JCand_9.13a
upÃdhi÷ kvacid udbhinna÷  JCand_5.119c
upek«ÃnihnavÃbhyÃæ ca  JCand_7.15c
ullasattanutÃæ nÅte  JCand_4.2a
ullasatpa¤caÓÃkhas te  JCand_5.20c
ullÃsÃya vicÃravÅcinicayÃlaÇkÃravÃrÃm nidheÓ  JCand_1.2c
ullÃso 'nyamahimnÃ ced  JCand_5.100a
u«ÃkÃntenÃnugata÷  JCand_3.1c
ÆhitÃrthani«edhak­t  JCand_3.3b
ekasyaivÃnyatocyate  JCand_5.45b
ekasyollekhitÃ matÃ  JCand_5.23b
ekaæ me cumbanaæ dehi  JCand_2.33a
ekÃk«araæ vinÃ bhÆbhrÆ-  JCand_2.7c
ekaikaæ p­thagarthatÃ  JCand_5.62b
ete bhavanti vinyÃsÃ÷  JCand_5.121c
ete«Ãm eva vinyÃsÃn  JCand_5.118c
e«a pÅyÆ«abhÃjanam  JCand_2.21b
e«u saptadaÓasv ekaæ  JCand_7.10c
aikyÃropo nidarÓanÃ  JCand_5.57b
aiyaru÷ ku¤jarÃ÷ puram  JCand_2.19d
-aiva cet p­thagarthatÃ  JCand_5.63b
oja÷ syÃt prau¬hir arthasya  JCand_4.7a
kajjaleneva bhÆ«yate  JCand_1.5d
kaÂÃk«a iva lolÃk«yÃ  JCand_7.2c
kaÂÃk«Ãn Óatruyo«itÃm  JCand_5.93d
kaÂÃk«Ã÷ kÃminÃæ h­di  JCand_2.13d
kaÂÃk«Ã÷ kuntalÃÓ ca te  JCand_5.64d
kaÂÃk«Ã÷ kha¤janatvi«a÷  JCand_2.29d
kaÂÃk«airapi nÅlatÃm  JCand_5.105d
kathaæ jÃtÃ kalÃÇkitÃ  JCand_2.43b
kathitaæ punaruktÃ vÃk  JCand_2.19a
kapÃkrÃntas tavarga÷ syÃt  JCand_6.24c
kamalai÷ kamalÃvÃsai÷  JCand_5.66a
karïotpalÃni dadhate  JCand_5.105c
karïau dormÆladolinau  JCand_5.87d
kalindajÃtÅraruhÃ÷  JCand_5.47c
kavÅnÃæ samayÃd vidyÃ-  JCand_2.43c
kaver vÃ prau¬hinirmita÷  JCand_7.8b
kave÷ prau¬hivaÓena vÃ  JCand_5.1b
kaÓcit taÂastha÷ kaÓcic ca  JCand_7.14c
kaÓcit sÃdhÃraïa÷ kaÓcid  JCand_7.14a
ka«Âa÷ spa«ÂÃvabodhÃrtham  JCand_2.30a
kaste viveko nayasi  JCand_5.70c
kasyÃpy atiÓayasyokter  JCand_5.122a
kaæ saæhinasti kaæsÃrir  JCand_10.3c
kaæsÃrir yatra pÆjyate  JCand_3.2d
kÃkusthaæ praïato 'mbhodhir  JCand_8.10a
kÃ¤cÅratnair aharmaha÷  JCand_5.103d
kÃnta÷ kiæ na hi nÆpura÷  JCand_5.27d
kÃnta÷ kuÂilakuntala÷  JCand_2.4b
kÃntÃ candreïa rÃjate  JCand_2.25d
kÃntÃcitte 'dhare vÃpi  JCand_5.95c
kÃntÃ talpam akalpayat  JCand_5.108d
kÃntÃd­kpÃtakaitavÃt  JCand_5.28d
kÃntÃnÃÓe bhavet katham  JCand_2.8d
kÃnte tvadÃnanarucÃ  JCand_8.8c
kÃntena p­«ÂÃ rahasi  JCand_5.22c
kÃntyarthavyaktisaægraha÷  JCand_4.10b
kÃntyÃ bhÃti ravis tvi«Ã  JCand_5.53d
kÃminÅvadanopamÃ  JCand_5.92d
kÃminÅva bhavet kha¬ga-  JCand_5.10a
kÃraïaæ kÃryajanma cet  JCand_5.76b
kÃraïÃdyavadhÃraïam  JCand_5.36b
kÃraïÃnÃm anÃdara÷  JCand_3.5b
kÃraïÃntarasannidhe÷  JCand_5.97b
kÃram Ãhur atadguïam  JCand_5.104b
kÃryakÃraïabhÃvÃt sÃ  JCand_9.9a
kÃryakÃraïasÃmÃnya-  JCand_5.65c
kÃryasya sati kÃraïe  JCand_5.77b
kÃryahetvor asaægati÷  JCand_5.78b
kÃryaæ phalopalambhaÓ ced  JCand_3.10a
kÃryÃdyai÷ prastutair uktai÷  JCand_5.69a
kÃrye hetuprasaktije  JCand_5.43b
kÃryo 'nubhÃvo bhÃvaÓ ca  JCand_6.1c
kÃla÷ Óatrubhir aik«i sa÷  JCand_5.23d
kÃ vÃrtÃ sarasÅruhÃm  JCand_5.37d
kÃvyavitpravaraiÓcitraæ  JCand_5.9a
kÃvyasya kÃ¤canasyeva  JCand_6.20c
kÃvyasyÃhur mahar«aya÷  JCand_3.11b
kÃvyaæ tatra Óivastava÷  JCand_5.89d
kÃvye nÃÂye ca kÃrye ca  JCand_6.3a
kÃÓmÅrasekÃ raktÃÇgÅ  JCand_5.10c
kÃ hÃnir am­tadyute÷  JCand_5.106d
