Bilhana:
Caurapancasika
Based on the ed. by S.N. Tadpatrikar
Poona : Oriental Book Agency, 1966
(Poona Oriental Series, 86)

Input by Somadeva Vasudeva


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




agàügasaügaparicumbanajàtamohàü  BiCaup_47c
aïgãkçtaü sukçtinaş paripàlayanti  BiCaup_50d
aïgair ahaü samupaguhya tato 'tigàóhaü  BiCaup_6c
adyàpi kopavimukhãkçtagantukàmà  BiCaup_36a
adyàpi tat-kanakakuõóalaghçùñagaõóam  BiCaup_12a
adyàpi tat-kanakagaurakçtàïgaràgaü  BiCaup_10a
adyàpi tat-kanakareõughanorude÷e  BiCaup_15a
adyàpi tat-kamalareõusugandhagandhi  BiCaup_42a
adyàpi tatpraõayabhaïgagurudçùñipàtaü  BiCaup_13a
adyàpi tatsuratakelinirastrayuddhaü  BiCaup_48a
adyàpi tadvadanapaïkajagandhalubdha  BiCaup_34a
adyàpi tannayanakajjalam ujjvalàsyaü  BiCaup_40a
adyàpi tanmanasi saüparivartate me  BiCaup_11a
adyàpi tàm avahitàü manasàcalena  BiCaup_33a
adyàpi tàü kanakakàntimadàlasàïgãü  BiCaup_47a
adyàpi tàü kanakacampakadàmagaurãü  BiCaup_1a
adyàpi tàü kùaõaviyogaviùopameyàü  BiCaup_30a
adyàpi tàü kùititale varakàminãnàü  BiCaup_24a
adyàpi tàü gamanam ity uditaü madãyaü  BiCaup_28a
adyàpi tàü galitabandhanake÷apà÷àü  BiCaup_17a
adyàpi tàü càñu÷atadurlalitocitàrthaü  BiCaup_21a
adyàpi tàü jagati varõayituü na ka÷ cic  BiCaup_38a
adyàpi tàü dhavalave÷mani ratnadãpa  BiCaup_18a
adyàpi tàü nakhapadaü stanamaõóale yad dattaü  BiCaup_35a
adyàpi tàü na khalu vedmi kim ã÷apatnã  BiCaup_39a
