Kalidasa: Rtusamhara
Based on the ed. Kalidasagranthavali, 
Benares: Chaukhamba Surabharati Prakashan, 1980.


Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



agurusurabhidhåpàmoditaü ke÷apà÷aü  KalRs_5.12a
aïgàni nidràlasavibhramàõi  KalRs_6.13a
aïgànyanaïgaþ pramadàjanasya  KalRs_6.10c
ati÷ayaparuùàbhir grãùmavahneþ ÷ikhàbhiþ  KalRs_2.28c
adharakisalayàgraü dantabhinnaü spç÷antyaþ  KalRs_5.15b
adhararucira÷obhàü bandhujãve priyàõàü  KalRs_3.26c
anaïgasaüdãpanamà÷u kurvate  KalRs_1.12c
anupamamukharàgà ràtrimadhye vinodaü  KalRs_3.24c
anyà prakàmasurata÷ramakhinnadehà  KalRs_4.15a
anyà priyeõa paribhuktamavekùya gàtraü  KalRs_4.17a
anyà÷ciraü suratakelipari÷rameõa  KalRs_4.18a
apagatamadaràgà yoùidekà prabhàte  KalRs_5.11a
apahçtamiva cetastoyadaiþ sendracàpaiþ  KalRs_2.23c
abhimatarataveùaü nandayantyastaruõyaþ  KalRs_5.15c
abhimukhamabhivãkùya kùàmadeho 'pi màrge  KalRs_6.30c
abhãkùõamuccair dhvanatà payomucà  KalRs_2.10a
abhya¤janaü vidadhati pramadàþ su÷obhàþ  KalRs_4.18d
ambhoruhair vikasitairmukhacandrakàntiþ  KalRs_3.17b
ayamiti jalasekaistoyadàstoyanamràþ  KalRs_2.28b
alaükriyante stanamaõóalàni  KalRs_6.5d
avàïmukho jihmagatiþ ÷vasanmuhuþ  KalRs_1.13c
avekùamàõaü mahiùãkulaü jalam  KalRs_1.21d
avekùyamàõà hariõekùaõàkùyaþ  KalRs_4.10c
asama÷aravinodaü såcayanti prakàmam  KalRs_3.24b
asahyavàtoddhatareõumaõóalà  KalRs_1.10a
asitanayanalakùmãü lakùayitvotpaleùu  KalRs_3.26a
àkampayankusumitàþ sahakàra÷àkhà  KalRs_6.24a
àkampayan phalabharànata÷àlijàlàn  KalRs_3.10a
àkampitàni hçdayàni manasvinãnàü  KalRs_6.34a
àkrandatãvoùasi ÷ãtakàlaþ  KalRs_4.7d
àdãptavahnisadç÷air marutàvadhåtaiþ  KalRs_6.21a
àdhåyamànà satataü marudbhiþ  KalRs_4.11b
àpakva÷àlirucirànatagàtrayaùñiþ  KalRs_3.1c
àpårayanti vanità navamàlatãbhiþ  KalRs_3.19b
àmålato vidrumaràgatàmraü  KalRs_6.18a
àmrã ma¤julama¤jarã vara÷araþ satkiü÷ukaü yaddhanur  KalRs_6.38a
àyojitàþ ÷irasi bibhrati yoùito 'dya  KalRs_2.21b
àlambihemarasanàþ stanasaktahàràþ  KalRs_6.26a
àlipyate candanam aïganàbhir  KalRs_6.14c
àsàdya tatpãóanajàtakhedaþ  KalRs_4.7b
icchànukålaracitàn avataüsakàü÷ca  KalRs_2.21d
iùubhiriva sutãkùõairmànasaü màninãnàü  KalRs_6.29c
ãùattuùàraiþ kçta÷ãtaharmyaþ  KalRs_6.3a
ucchvàsayantyaþ ÷lathabandhanàni  KalRs_6.9a
utkaõñhayatyatitaràü pavanaþ prabhàte  KalRs_3.15c
utkaõñhayanti sahasà hçdayaü saràüsi  KalRs_3.11d
utkåjitaiþ parabhçtasya madàkulasya  KalRs_6.34c
utplutya bhekastçùitasya bhoginaþ  KalRs_1.18c
utphullapaïkajavanàü nalinãü vidhunvan  KalRs_3.10c
uddyotitànyupavanàni manoharàõi  KalRs_6.25b
uparinihitahàrai÷ candanàrdraiþ stanàntaiþ  KalRs_6.32b
upahasati vasantaþ kàminãnàmidànãm  KalRs_6.31d
uùasi vadanabimbairaüsasaüsaktake÷aiþ  KalRs_5.13c
uùasi ÷ayanamanyà kàminã càru÷obhàm  KalRs_5.12d
kaïkelipuùparucirà navamàlatã ca  KalRs_3.18d
kadambasarjàrjunaketakãvanaü  KalRs_2.17a
kanakakamalakàntairànanaiþ pàõóugaõóair  KalRs_6.32a
kanakakamalakàntai÷ càrutàmràdharoùñhaiþ  KalRs_5.13a
kandarpadarpa÷ithilãkçtagàtrayaùñyaþ  KalRs_6.26b
kandarpabàõapatanavyathitaü hi cetaþ  KalRs_6.20d
kapikulamupayàti klàntamadrer niku¤jam  KalRs_1.23b
kapolade÷à vimalotpalaprabhàþ  KalRs_2.15c
kamalavanacitàmbuþ pàñalàmodaramyaþ  KalRs_1.28a
karakamalamanoj¤àþ kàntasaüsaktahastà  KalRs_3.23a
karakisalayakàntiü pallavairvidrumàbhair  KalRs_6.31c
karoti làvaõyasasaübhramàõi  KalRs_6.10d
karõàntareùu kakubhadrumama¤jarãbhir  KalRs_2.21c
karõeùu ca pravarakà¤canakuõóaleùu  KalRs_3.19c
karõeùu yogyaü navakarõikàraü  KalRs_6.6a
kalàpacakreùu navotpalà÷ayà  KalRs_2.14d
kalàpacakreùu nive÷itànanam  KalRs_1.16d
kalàpinaþ klànta÷arãracetasaþ  KalRs_1.16b
kalpàntaü madanapriyo di÷atu vaþ puùpàgamo maïgalam  KalRs_6.36d
kahlàrapadmakumudàni muhurvidhunvaüs  KalRs_3.15a
kàcidvibhåùayati darpaõasaktahastà  KalRs_4.14a
kà¤cãguõaiþ kà¤canaratnacitrair  KalRs_4.4a
kàdambasàrasakulàkulatãrade÷àþ  KalRs_3.8b
kàntàmukhadyutijuùàmacirodgatànàü  KalRs_6.20a
kàntàviyogaparikheditacittavçttir  KalRs_6.28c
kàntàü ca gàóhamupagåhati ÷ãtalatvàt  KalRs_6.11d
kàmyaü ca haüsavacanaü maõinåpureùu  KalRs_3.27b
kàraõóavànanavighaññitavãcimàlàþ  KalRs_3.8a
kàlàgurupracaracandanacarcitàïgyaþ  KalRs_2.22a
kà÷àü÷ukà vikacapadmamanoj¤avaktrà  KalRs_3.1a
kà÷air mahã ÷i÷iradãdhitinà rajanyo  KalRs_3.2a
kiü karõikàrakusumairna kçtaü nu dagdham  KalRs_6.22b
kiü kiü÷ukaiþ ÷ukamukhacchavibhirna bhinnaü  KalRs_6.22a
kundàpãóavi÷uddhadantanikaraþ protphullapadmànanaþ  KalRs_6.36b
kundaiþ savibhramavadhåhasitàvadàtair  KalRs_6.25a
kumudamapi gate 'staü lãyate candrabimbe  KalRs_3.25c
kumudarucirakàntiþ kàminãvonmadeyaü  KalRs_3.28c
kurvanti kàmaü pavanàvadhåtàþ  KalRs_6.17c
kurvanti kàmimanasàü sahasotsukatvaü  KalRs_6.19c
kurvanti ke÷aracanàmaparàstaruõyaþ  KalRs_4.16d
kurvanti nàryaþ suratotsavàya  KalRs_4.5d
kurvanti nàryo 'pi vasantakàle  KalRs_6.3c
kurvanti haüsavirutaiþ parito janasya  KalRs_3.8c
kurvantya÷okà hçdayaü sa÷okaü  KalRs_6.18c
kuvalayadalanãlair unnatais toyanamrair  KalRs_2.23a
kusumabharanatànàü làsakaþ pàdapànàm  KalRs_2.27b
kusumitasahakàraiþ karõikàrai÷ ca ramyaþ  KalRs_6.29b
kusumbharàgàruõitair dukålair  KalRs_6.5a
kåjaddvirephàpyayam ambujasthaþ  KalRs_6.16c
kåjadbhirunmadakalàni vacàüsi bhçïgaiþ  KalRs_6.23b
kårpàsakaü paridadhàti nakhakùatàïgã  KalRs_4.17c
kçtanibióakucàgrà patyuràliïganena  KalRs_5.11b
kçtaü saraþ sàndravimardakardamam  KalRs_1.19d
kçtàparàdhànapi yoùitaþ priyàn  KalRs_2.11c
kçtàparàdhànbahu÷o 'bhitarjitàn  KalRs_5.6a
kçtàvataüsaiþ kusumaiþ sugandhibhiþ  KalRs_2.18b
ke÷ànnitàntaghananãlaviku¤citàgràn  KalRs_3.19a
kvacit prabhinnà¤janarà÷isaünibhaiþ  KalRs_2.2b
kvacitsagarbhapramadàstanaprabhaiþ  KalRs_2.2c
kvacitsthitakrau¤caninàdaràjitam  KalRs_5.1b
kvacidvicitraü jalayantramandiram  KalRs_1.2b
kvaõitakanakakà¤cãü mattahaüsasvaneùu  KalRs_3.26b
kvàpi prayàti subhagà ÷aradàgama÷rãþ  KalRs_3.27d
kùapàvasàne navayauvanàþ striyaþ  KalRs_5.7d
khedaü gatàþ pra÷ithilãkçtagàtrayaùñyaþ  KalRs_4.18b
gajagavayamçgendrà vahnisaütaptadehàþ  KalRs_1.27a
gaõóeùu pàõóuþ kañhinaþ staneùu  KalRs_6.12b
gabhastibhir bhànumato 'nutàpitàþ  KalRs_1.15b
galitakusumamàlaü ku¤citàgraü vahantã  KalRs_5.12b
gàtràõi kandarpasamàkulàni  KalRs_6.9b
gàtràõi kàlãyakacarcitàni  KalRs_4.5a
gurutarakucayugmaü ÷roõibimbaü tathaiva  KalRs_6.33c
guråõi vàsàüsi vihàya tårõaü  KalRs_6.15a
guråõi vàsàüsyabalàþ sayauvanàþ  KalRs_5.2c
gçhãtatàmbålavilepanasrajaþ  KalRs_5.5a
glapayati mçgavargaü pràntalagno davàgniþ  KalRs_1.25d
ghanàgamaþ kàmijanapriyaþ priye  KalRs_2.1d
ghanàndhakàrãkçta÷arvarãùvapi  KalRs_2.10b
ghràõaü kareõa viruõaddhi virauti coccaiþ  KalRs_6.28b
cakàra kàmaþ pramadàjanànàm  KalRs_6.13d
ca¤canmanoj¤a÷apharãrasanàkalàpàþ  KalRs_3.3a
candro dahatyatitaràü tanumaïganànàm  KalRs_3.9d
caleùu nãleùvalakeùva÷okam  KalRs_6.6b
citàni nãlair hariõãmukhakùataiþ  KalRs_2.8b
cittaü munerapi haranti nivçttaràgaü  KalRs_6.25c
cittaü vidàrayati kasya na kovidàraþ  KalRs_3.6d
cåtadrumàõàü kusumànvitànàü  KalRs_6.4c
cåtadrumàþ puùpitacàru÷àkhàþ  KalRs_6.17b
cåtàmodasugandhimandapavanaþ ÷çïgàradãkùàguruþ  KalRs_6.36c
chàyàü janaþ samabhivà¤chati pàdapànàü  KalRs_6.11a
janasya cittaü kriyate samanmatham  KalRs_1.5d
janasya cittaü ramayanti sàmpratam  KalRs_5.3d
janasya sevyà na bhavanti ràtrayaþ  KalRs_5.4d
janitaruciragandhaþ ketakãnàü rajobhiþ  KalRs_2.27c
jaladasamaya eùa pràõinàü pràõabhåto  KalRs_2.29c
jalabharanamitànàm à÷rayo 'smàkam uccair  KalRs_2.28a
jyà yasyàlikulaü kalaïkarahitaü chattraü sitàü÷uþ sitam  KalRs_6.38b
jyotsnàdukålamamalaü rajanã dadhànà  KalRs_3.7c
jvalati pavanavçddhaþ parvatànàü darãùu  KalRs_1.25a
tañaviñapalatàgràliïganavyàkulena  KalRs_1.24c
taóitpatàko '÷ani÷abdamardalaþ  KalRs_2.1b
taóitprabhàdar÷itamàrgabhåmayaþ  KalRs_2.10c
taóidbhir udvejitacetaso bhç÷am  KalRs_2.11b
taóillatà÷akradhanurvibhåùitàþ  KalRs_2.20a
tatsaügamàdadhika÷ãtalatàmupetaþ  KalRs_3.15b
tanåni pàõóåni madàlasàni  KalRs_6.10a
tanåni làkùàrasara¤jitàni  KalRs_6.15b
tanvaü÷ukaü pãnapayodhareùu  KalRs_4.3d
tanvaü÷ukaiþ kuïkumaràgagaurair  KalRs_6.5c
taruviñapalatànàü bàndhavo nirvikàraþ  KalRs_2.29b
tàmrapravàlastabakàvanamrà÷  KalRs_6.17a
tàràgaõapravarabhåùaõamudvahantã  KalRs_3.7a
tudati kusumamàso manmathoddãpanàya  KalRs_6.29d
tudanti cetaþ prasabhaü pravàsinàm  KalRs_2.4d
tuùàrakundendunibhai÷ ca hàraiþ  KalRs_4.2b
tuùàragauràrpitahàra÷ekharàþ  KalRs_1.6b
tuùàrasaüghàtanipàta÷ãtalàþ  KalRs_5.4a
tçõàgralagnaistuhinaiþ patadbhir  KalRs_4.7c
tçõotkarair udgatakomalàïkurai÷  KalRs_2.8a
tçùàkulaü niþsçtamadrigahvaràd  KalRs_1.21c
tçùàkulai÷càtakapakùiõàü kulaiþ  KalRs_2.3a
tçùà mahatyà pari÷uùkatàlavaþ  KalRs_1.11b
tçùà mahatyà hatavikramodyamaþ  KalRs_1.14a
tyaktàmbubhirlaghutayà ÷ata÷aþ prayàtaiþ  KalRs_3.4b
tyajati gurunitambà nimnanàbhiþ sumadhyà  KalRs_5.12c
dadàti saubhàgyamayaü vasantaþ  KalRs_6.4d
dadhati divasayogyaü ve÷amanyàstaruõyaþ  KalRs_5.14d
dadhati varakucàgrairunnatair hàrayaùñiü  KalRs_2.26a
dantacchadaü priyatamena nipãtasàraü  KalRs_4.14c
dantacchadaiþ savraõadantacihnaiþ  KalRs_4.13a
