Kalidasa: Rtusamhara
Based on the ed. Kalidasagranthavali, 
Benares: Chaukhamba Surabharati Prakashan, 1980.


Input by Oliver Hellwig



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




agurusurabhidhÆpÃmoditaæ keÓapÃÓaæ  KalRs_5.12a
aÇgÃni nidrÃlasavibhramÃïi  KalRs_6.13a
aÇgÃnyanaÇga÷ pramadÃjanasya  KalRs_6.10c
atiÓayaparu«Ãbhir grÅ«mavahne÷ ÓikhÃbhi÷  KalRs_2.28c
adharakisalayÃgraæ dantabhinnaæ sp­Óantya÷  KalRs_5.15b
adhararuciraÓobhÃæ bandhujÅve priyÃïÃæ  KalRs_3.26c
anaÇgasaædÅpanamÃÓu kurvate  KalRs_1.12c
anupamamukharÃgÃ rÃtrimadhye vinodaæ  KalRs_3.24c
anyÃ prakÃmasurataÓramakhinnadehÃ  KalRs_4.15a
anyÃ priyeïa paribhuktamavek«ya gÃtraæ  KalRs_4.17a
anyÃÓciraæ suratakelipariÓrameïa  KalRs_4.18a
apagatamadarÃgÃ yo«idekÃ prabhÃte  KalRs_5.11a
apah­tamiva cetastoyadai÷ sendracÃpai÷  KalRs_2.23c
abhimataratave«aæ nandayantyastaruïya÷  KalRs_5.15c
abhimukhamabhivÅk«ya k«Ãmadeho 'pi mÃrge  KalRs_6.30c
abhÅk«ïamuccair dhvanatÃ payomucÃ  KalRs_2.10a
abhya¤janaæ vidadhati pramadÃ÷ suÓobhÃ÷  KalRs_4.18d
ambhoruhair vikasitairmukhacandrakÃnti÷  KalRs_3.17b
ayamiti jalasekaistoyadÃstoyanamrÃ÷  KalRs_2.28b
alaækriyante stanamaï¬alÃni  KalRs_6.5d
avÃÇmukho jihmagati÷ Óvasanmuhu÷  KalRs_1.13c
avek«amÃïaæ mahi«Åkulaæ jalam  KalRs_1.21d
avek«yamÃïÃ hariïek«aïÃk«ya÷  KalRs_4.10c
asamaÓaravinodaæ sÆcayanti prakÃmam  KalRs_3.24b
asahyavÃtoddhatareïumaï¬alÃ  KalRs_1.10a
asitanayanalak«mÅæ lak«ayitvotpale«u  KalRs_3.26a
ÃkampayankusumitÃ÷ sahakÃraÓÃkhÃ  KalRs_6.24a
Ãkampayan phalabharÃnataÓÃlijÃlÃn  KalRs_3.10a
ÃkampitÃni h­dayÃni manasvinÅnÃæ  KalRs_6.34a
ÃkrandatÅvo«asi ÓÅtakÃla÷  KalRs_4.7d
ÃdÅptavahnisad­Óair marutÃvadhÆtai÷  KalRs_6.21a
