Kalidasa: Raghuvamsa
Based on the ed. by A. Scharp‚: Kalidasa Lexicon, Vol. 1,
Brugge 1964
(Rijksuniversiteit te Gent, Werken uitgegeven door de 
Faculteit van de Letteren en Wijsbegeerte, 134)


Input by N.N.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot pçthivãruhàn api  Ragh_8.70c
akarot sa tadaurdhvadaihikaü  Ragh_8.26a
akarod acire÷varaş kùitau  Ragh_8.20a
akarod indumatãm ivàparàm  Ragh_8.1d
akàmaü tvàü tapasvinam  Ragh_10.20b
akàmopanateneva  Ragh_10.40c
akàryacintàsamakàlam eva  Ragh_6.39a
akàlajaladodayaş  Ragh_4.61d
akàlaj¤o maobhavaş  Ragh_12.33d
akàle bodhito bhràtrà  Ragh_12.81a
akiücanatvaü makhajaü vyanakti  Ragh_5.16b
akçtakavidhi sarvàïgãõam àkalpajàtaü  Ragh_18.52c
akçta÷rãparigrahe  Ragh_12.16b
akùabhãjavalayena nibabhau  Ragh_11.66a
akùoñaiş sàrdham ànatàş  Ragh_4.69d
akùobhyaş sa navo 'py àsãd  Ragh_17.44c
akhilaü càrimaõóalaü  Ragh_4.4d
agacchad aü÷ena guõàbhilàùiõã  Ragh_3.36c
agamat kaitakaü rajaş  Ragh_4.55b
agastyacihnàd ayanàt samãpaü  Ragh_16.44a
agastyàcaritàm à÷àm  Ragh_4.44c
agàdhasattvo magadhapratiùñhaş  Ragh_6.21b
agçdhnur àdade so 'rtham  Ragh_1.21c
agnivarõam abhiùicya ràghavaş  Ragh_19.1a
agnisàkùika ivàtisçùñavàn  Ragh_11.48d
agrajena prayuktà÷ãs  Ragh_15.8a
agresarair vàjibhir utthitàni  Ragh_6.33b
aïkam aïkaparivartanocite  Ragh_19.13a
aïku÷aü dviradasyeva  Ragh_4.39c
aïku÷àkàrayàïgulyà  Ragh_12.41c
aïke nikùiptacaraõam  Ragh_10.8c
aïke nirvi÷atãü bhayàt  Ragh_12.38b
aïgadaü candraketuü ca  Ragh_15.90a
aïganà iva rajasvalà di÷o  Ragh_11.60c
aïganàs tam adhikaü vyalobhayann  Ragh_19.10c
aïgasattvavacanà÷rayaü mithaş  Ragh_19.36a
aïgàra÷eùasya hutà÷anasya  Ragh_7.43c
aïginàü tamasevobhau  Ragh_10.39c
aïgulãkisalayàgratarjanaü  Ragh_19.17a
aïgulãkùaraõasannavartikaş  Ragh_19.19d
aïgulãyaü dadau kapiş  Ragh_12.62b
aïgulãvivaracàriõaü ÷araü  Ragh_11.70c
aïgulãvoragakùatà  Ragh_1.28d
aïguùñhamàulàrpitasåtra÷eùà  Ragh_7.10d
acintanãyas tu tava prabhàvo  Ragh_5.33c
acintayitvà guruõàham uktaş  Ragh_5.21b
aciràd vajvabhir bhàgaü  Ragh_10.46a
aciropanatàü sa medinãü  Ragh_8.7c
ajanmane 'kalpata janmabhãruş  Ragh_18.33d
ajayad ekarathena sa medinãm  Ragh_9.10a
ajasya gçhõato janma  Ragh_10.25a
ajasradãkùàprayatasya madguroş  Ragh_3.44c
ajasradãkùàprayataş sa madguruş  Ragh_3.65c
ajasram àhåtasahasranetraş  Ragh_6.23b
ajitam asti nçpàspadam ity abhåd  Ragh_9.15c
ajitàdhigamàya mantribhir  Ragh_8.17a
ajito jiùõur atyantam  Ragh_10.18c
ajinadaõóabhçtaü ku÷amekhalàü  Ragh_9.17a
ajena màrge vasatãr uùitvà  Ragh_7.33b
aj¤àtapàtaü salile mamajja  Ragh_16.72d
aj¤àtavraõavedanàm  Ragh_12.99d
aj¤ànataş svacaritaü nçpatiş ÷a÷aüsa  Ragh_9.77d
a¤jaseti rurudhuş kacagrahaiş  Ragh_19.31d
atas tadàkhyayà tãrthaü  Ragh_15.101c
atas te na bhaviùyati  Ragh_1.77b
ataş pità brahmaõa eva nàmnà  Ragh_5.36c
ataş saübhàvitàü tàbhyàü  Ragh_10.56c
ataş siddhiü sametàbhyàm  Ragh_17.47c
ataş so 'bhyantaràn nityàn  Ragh_17.45c
atigauravam ãkùitaş  Ragh_15.38d
atithãn à÷ramonmukhàn  Ragh_1.53b
atiprabandhaprahitàstravçùñibhis  Ragh_3.58a
ati÷astranakhanyàsaş  Ragh_12.73c
atiùñhat pratyayàpekùa  Ragh_10.3a
atiùñhad àlãóhavi÷eùa÷obhinà  Ragh_3.52c
atiùñhad ekona÷atakratutve  Ragh_6.74c
atiùñhan màrgam àvçtya  Ragh_12.28c
atãndriyeùv apy upapannadar÷ano  Ragh_3.41c
ato nçpà÷ cakùamire sametàş  Ragh_7.34c
ato 'bhilàùe prathamaü tathàvidhe  Ragh_3.4c
ato 'yam a÷vaş kapilànukàriõà  Ragh_3.50a
atyantam àsãd ruditaü vane 'pi  Ragh_14.69d
atyantaluptapriyadar÷anena  Ragh_14.49d
atyartham eva kùaõadà ca tanvã  Ragh_16.45b
atyarthaü mahataş kçùàş  Ragh_17.72b
atyavàhayad anaïgavàhitaş  Ragh_19.47d
atyàkhaõóalavikramam  Ragh_4.83b
atyàråóhaü ripoş soóhaü  Ragh_10.43c
atyàråóho hi nàrãõàm  Ragh_12.33c
atrasnubhir yuktadhuraü turaügaiş  Ragh_14.47b
atrànugodaü mçgayànivçttas  Ragh_13.35a
atràbhiùekàya tapodhanànàü  Ragh_13.51a
atràviyuktàni rathàïganàmnàm  Ragh_13.31a
atha kà÷cid ajavyapekùayà  Ragh_8.24a
atha càstamità 'sy aho bata  Ragh_8.51c
atha jàtu ruror gçhãtavartmà  Ragh_9.72a
atha jànapado vipraş  Ragh_15.42a
atha tasya kathaücid aïkataş  Ragh_8.71a
atha tasya vivàhakautukaü  Ragh_8.1a
atha tasya vi÷àüpatyur  Ragh_10.51a
atha taü savanàya diùitaş  Ragh_8.75a
atha tena da÷àhataş pare  Ragh_8.73a
atha dhåmàbhitàmràkùaü  Ragh_15.49a
atha nabhasya iva trida÷àyudhaü  Ragh_9.54a
atha nayanasamutthaü jyotir atrer iva dyauş  Ragh_2.75a
atha pathi gamayitvà këparamyopakàrye  Ragh_11.93a
atha prajànmàm adhipaş prabhàte  Ragh_2.1a
atha pradoùe doùaj¤aş  Ragh_1.93a
atha prabhàvopanataiş kumàraü  Ragh_5.52a
atha pràcetasopaj¤aü  Ragh_15.63a
atha madagurupakùair lokapàladvipànàm  Ragh_12.102a
atha madhu vanitàü netranirve÷anãyaü  Ragh_18.52a
atha yathàsukham àrtavam utsavaü  Ragh_9.48a
atha yantàram àdiùya  Ragh_1.54a
atha ràma÷ira÷cheda  Ragh_12.74a
atha rodhasi dakùiõodadheş  Ragh_8.33a
atha và kçtavàgdvàre  Ragh_1.4a
atha và mama bhàgyaviplavàd  Ragh_8.47a
atha và mçdu vastu hiüsituü  Ragh_8.45a
atha vàlmãk÷iùyeõa  Ragh_15.80a
atha vidhim avasàyya ÷àstradçùñaü  Ragh_5.76a
atha vi÷vasya saühartre  Ragh_10.16c
atha vãkùya guõaiş pratiùñhitaü  Ragh_8.9*a
atha vãksya raghuş pratiùñhitaü  Ragh_8.10a
atha velàsamàsanna  Ragh_10.36a
atha vyavasthàpitavàk kathaücit  Ragh_14.53a
atha samàvavçte kusumair navais  Ragh_9.24a
atha sa viùavyàvçttàtmà yathàvidhi sånave  Ragh_3.70a
atha sàvarajo ràmaş  Ragh_15.70a
atha stute bandibhir anvayaj¤aiş  Ragh_6.8a
athàgramahiùã ràj¤aş  Ragh_10.67a
athàïgadà÷liùñabhujaü bhujiùyà  Ragh_6.53a
athàïgaràjàd avatàrya cakùur  Ragh_6.30a
ath' àtharvanidhes tasya  Ragh_1.59a
athàdhikasnigdhavilocanena  Ragh_14.26a
athàdhigamyàbhuvaràjakalpaü  Ragh_6.58*a
athàdhi÷i÷ye prayathaş pradoùe  Ragh_5.28a
athànàthàş prakçtayo  Ragh_12.12a
athànukåla÷ravaõapratãtàm  Ragh_14.47a
athànupoóhàrgalam apy agàraü  Ragh_16.6a
athàndhakàraü girigahvaràõàü  Ragh_2.46a
athàbhiùekaü raghuvaü÷aketoş  Ragh_14.7a
athàbhyarcya vidhàtàraü  Ragh_1.35a
athàmanaş ÷abdaguõaü guõaj¤aş  Ragh_13.1a
athàrdharàtre stimitapradãpe  Ragh_16.4a
athàsya godànavidher anantaraü  Ragh_3.33a
athàsya ratnagrathitottarãyam  Ragh_16.43a
athetare sapta raghupravãrà  Ragh_16.1a
athepsitaü bhartur upasthitodayaü  Ragh_3.1a
athe÷vareõa krathakai÷ikànàü  Ragh_5.39a
athaikadhenor aparàdhacaõóàd  Ragh_2.49a
athainam adres tanayà ÷u÷oca  Ragh_2.37c
athainaü tuùñuvuş stutyam  Ragh_10.15c
athainaü pratyabodhayat  Ragh_1.74d
athainaü samupasthità  Ragh_4.14b
athopanãtaü vidhivad vipa÷cito  Ragh_3.29a
athopayantrà sadç÷ena yuktàü  Ragh_7.1a
athopariùñàd bhramarair bhramadbhiş  Ragh_5.43a
athopa÷alye ripumagna÷alyas  Ragh_16.37a
athoràkhyasya purasya nàthaü  Ragh_6.59a
athormilolonmadaràjahaüse  Ragh_16.54a
athoùñravàmã÷atavàhitàrthaü  Ragh_5.32a
adar÷ayan vaktum a÷aknuvatyaş  Ragh_13.24c
adaş ÷araõyaü ÷arabhaïganàmnas  Ragh_13.45a
adåravartinãü siddhiü  Ragh_1.87a
adåravartãni vilàsinãnàm  Ragh_16.63d
adårojjhitavartmasu  Ragh_1.40b
adç÷yata tvaccaraõàravinda  Ragh_13.23c
adçùñapårvàü vanitàm apa÷yat  Ragh_16.4d
adçùñam abhavat kiücid  Ragh_17.48c
adçùñasadç÷aprajam  Ragh_1.65b
adeyam àsãt trayam eva bhåpateş  Ragh_3.16c
adehabandhàya punar babandha  Ragh_18.7d
adohaü càdiùad gavàm  Ragh_17.19d
addhà ÷riyaü pàlitasaügaràya  Ragh_13.65a
adhàràvarùadurdinam  Ragh_4.82b
adhikaü ÷u÷ubhe ÷ubhaüyunà  Ragh_8.6a
adhigataü vidhivad yad apàlayat  Ragh_9.2a
adhijaydhanvà vicacàra dàvam  Ragh_2.8b
adhijyam àyudhaü kartuü  Ragh_4.15*a
adhityakàyàm iva dhàtumayyàü  Ragh_2.29c
adhivasaüs tanum adhvaradãkùitàm  Ragh_9.17c
adhivàsaspçhayeva màrutaş  Ragh_8.34d
adhivividur amàtyair àhçtàs tasya yånaş  Ragh_18.53c
adhçùya÷ càbhi gamya÷ ca  Ragh_1.16c
adhomukhair årdhvamukhai÷ ca pattribhiş  Ragh_3.57d
adhya÷erata bçhad (?) bhujàntaraü  Ragh_19.32c
adhyàruroheva raja÷chalena  Ragh_16.28d
adhyàsate cãrabhçto yathàsvaü  Ragh_13.22c
adhyàsta kàmagati sàvarajo vimànam  Ragh_13.76b
adhyàsya kanyà parivàra÷obhi  Ragh_6.10b
adhyàsya càmbhaşpçùatokùitàni  Ragh_6.51a
adhyàsya prayataparigrahadvitãyaş  Ragh_1.95b
adhvarasyeva dakùiõà  Ragh_1.31d
adhvasu triùu visçùñamaithilaş  Ragh_11.57c
anakùaravya¤jitadohadena  Ragh_14.26d
anantaraü bhartur arundhatãü ca  Ragh_2.71b
anantarà÷okalatàpravàlaü  Ragh_7.21c
ananyasàdhàraõaràja÷abdo  Ragh_6.38c
ananyasàmànyakalatravçttiş  Ragh_13.9c
ananyasauhàrdarasasya dohadaü  Ragh_3.2Ac
ananyahàneş tasyàsãt  Ragh_15.61c
ananyà÷àsanàm urvãü  Ragh_1.30c
anapàyipadopalabdhaye  Ragh_8.17c
anapoùhasthitis tasthau  Ragh_12.31c
anabhivyaktasaütatiş  Ragh_10.2*b
anamràõàü samuddhartus  Ragh_4.35a
anayat prabhu÷aktisaüpadà  Ragh_8.19a
anayad àsanarajjuparigrahe  Ragh_9.46c
anayor gamyata ivy asàüpratam  Ragh_8.61d
anarthã pràrthanàvahaş  Ragh_10.18b
analakàn alakàdhipavikramaş  Ragh_9.10*d
analakàn alakànavamàü purãm  Ragh_9.14d
analasànyabhçtà 'nalasàn manaş  Ragh_9.42*a
analaso 'nalasomasamadyutiş  Ragh_9.15d
analày' àgurucandanadihase  Ragh_8.71d
anavàptam avàptavyaü  Ragh_10.32a
ana÷nuvànena yugopamànam  Ragh_18.48a
anàkçùñasya viùayair  Ragh_1.23a
anàthadãnàş prakçtãr avekùya  Ragh_18.36c
anà÷àsyajayo yayau  Ragh_4.44d
anigrahatràsavinãtasattvam  Ragh_13.50a
anityàş ÷atravo bàhyà  Ragh_17.45a
anindyà nandinã nàma  Ragh_1.82c
anirvàõasya dantinaş  Ragh_1.71d
anãkinãnàü samare 'grayàyã  Ragh_18.10a
anugatam alivçndair gaõóabhittãr vihàya  Ragh_12.102b
anugçhõãùva nivàpadattibhiş  Ragh_8.86b
anugrahapratyabhinandinãü tàü  Ragh_14.79a
anucità÷ruviluptavi÷eùakàn  Ragh_9.10*b
anudadhyur anudhyeyaü  Ragh_17.36c
anuditànyasitàtapavàraõaş  Ragh_9.15b
anudruto vàyur ivàbhravçndaiş  Ragh_16.25c
anupàsyasi bàùpadåùitaü  Ragh_8.68c
anuprave÷àd àdyasya  Ragh_10.52c
anuprave÷àd iva bàlacandramàş  Ragh_3.22d
anubhavan navadolam çtåtsavaü  Ragh_9.46a
anubhàvaparàkramau  Ragh_10.39b
anubhàvavi÷eùàt tu  Ragh_1.37c
anubhåya vasiùñhasaübhçtaiş  Ragh_8.3a
anuyayau yamapuõyajane÷varau  Ragh_9.6c
anuraõjayituü prajàş prabhur  Ragh_8.18*a
anuvadati ÷ukas te ma¤juvàk pa¤jarasthaş  Ragh_5.74d
anuùñhitaü ÷àsanam agrajàya  Ragh_14.83d
anuùñhitànantarajàvivàhaş  Ragh_7.32b
anusåyàtisçùñena  Ragh_12.27a
anånasàraü niùadhàn nagendràt  Ragh_18.1c
anåparàjasya guõair anånàm  Ragh_6.37b
ançõatvam upeyivàn babhau  Ragh_8.30c
ançõaü kaõñhavartibhiş  Ragh_12.54d
anekaü va÷inà va÷ã  Ragh_17.4d
anena kathità ràj¤o  Ragh_10.54a
anena ced icchasi gçhyamàõaü  Ragh_6.24a
anena paryàsayatàsrabindån  Ragh_6.28a
anena pàõau vidhivad (?) gçhãte  Ragh_6.63a
anena yånà saha pàrthivena  Ragh_6.35a
anena vçttayaş ÷eùà  Ragh_10.30c
anena sàrdhaü viharàmburà÷es  Ragh_6.57a
anokahàkamptapuùpagandhã  Ragh_2.13b
antarà ÷akalãkçtaş  Ragh_15.20b
antare ca viharan divàni÷aü  Ragh_19.6c
antargataphalàrambhàş  Ragh_10.60c
antargataü pràõabhçtàü hi veda  Ragh_2.43c
antargåóhaü kùitir iva babhau bãjamuùñiü dadhànà  Ragh_19.57b
antarniviùñapadam àtmavinà÷ahetuü  Ragh_9.82c
antarmadàvastha iva dvipendraş  Ragh_2.7d
antarvatnã prajàvatã  Ragh_15.13b
antaş÷arãreùv api yaş prajànàü  Ragh_6.39c
ante kàmyasya karmaõaş  Ragh_10.51b
ante vayasy aham iveti tam uktavantam  Ragh_9.79b
antyàü kalàü dar÷a ivauùadhãùu  Ragh_14.80d
annaü pratyagrahãn nçpaş  Ragh_10.53b
anyakàryavimukhaş sa pàrthivaş  Ragh_19.47b
anyatra màlà sitapaïkajànàm  Ragh_13.54c
anyatra rakùobhavanoùitàyàş  Ragh_14.32c
anyatra ÷ubhrà ÷aradabhralekhà  Ragh_13.55c
anyatra ÷ubhrà ÷aradabhralekhà  Ragh_13.56c
anyadà jagati ràma ity ayaü  Ragh_11.73a
anyàn uparurodha yaiş  Ragh_4.83d
anyedyur atha kàkutsthaş  Ragh_15.75a
anyedyur àtmànucarasya bhàvaü  Ragh_2.26a
anyonyakeyåravighaññinãbhiş  Ragh_16.56b
anyonyajayasaürambho  Ragh_12.92c
anyonyadattotpalakesaràõi  Ragh_13.31b
anyonyadar÷anapràpta  Ragh_12.87a
anyonyade÷apravibhàgasãmàü  Ragh_16.2c
anyonyapàvanam abhåd ubhayaü sametya  Ragh_13.78d
anyonyalolàni vilocanàni  Ragh_7.23d
anyonya÷obhàparivçddhaye vàü  Ragh_6.65c
anyonyasaüsaktam ahastriyàmam  Ragh_7.24d
anyonyasåtonmathanàd abhåtàü  Ragh_7.52a
anvagàt kumudànandaü  Ragh_17.6c
anvagàd iva hi svargo  Ragh_10.73c
anvag yayau madhyamalokapàlaş  Ragh_2.16b
anvagrahãt praõamataş ÷ubhadçùñipàtair  Ragh_13.71c
anvanaiùur avadhåtavigrahàs  Ragh_19.43c
anvabhuïkta surata÷ramàpahàü  Ragh_19.39c
anvabhåt parijanàïganàrataü  Ragh_19.23c
anvamãyata kalyàõaü  Ragh_17.11c
anvayuïkta gurum ã÷varaş kùiteş  Ragh_11.62c
anvayuş paurayoùitaş  Ragh_17.35b
anvàsitam arundhatyà  Ragh_1.56c
anvàsya goptà gçhiõãsahàyaş  Ragh_2.24b
anvitaş pativàtsalyàd  Ragh_15.98c
anviyeùa sadç÷ãü sa ca snuùàü  Ragh_11.50a
anveùñuü bhartçcoditàş  Ragh_12.59b
apacàraş pravartate  Ragh_15.47b
apatuùàratayà vi÷adaprabhaiş  Ragh_9.39a
apatyasaüskàramayo vidhis te  Ragh_14.75d
apatyair iva nãvàra  Ragh_1.50c
apathena pravavçte  Ragh_17.54a
apathe padam arpayanti hi  Ragh_9.74c
apanãta÷irastràõàş  Ragh_4.64a
apayodharasaüsargaü  Ragh_12.65c
aparaş praõidhànayogyayà  Ragh_8.19c
aparaş ÷uciviùñarasthitaş  Ragh_8.18*c
aparàdhhe 'pi yadà ciraü mayi  Ragh_8.48b
aparàntajayodyataiş  Ragh_4.53b
aparàntamahãpàla  Ragh_4.58c
aparà vãram ajãjanat sutam  Ragh_8.28d
aparityàgam ayàcatàtmanaş  Ragh_8.12d
aparuùà paruùàkùaram ãrità  Ragh_9.8d
aparo dahane svakarmaõàü  Ragh_8.20c
apavargamahodayàrthayor  Ragh_8.16c
apavàda ivotsargaü  Ragh_15.7c
apaviddha÷ucàv iva  Ragh_10.75d
apa÷ulaü tam àsàdya  Ragh_15.17a
apa÷okamanàş kuñumbinãm  Ragh_8.86a
apa÷yatàü dà÷arathã jananyau  Ragh_14.1c
apa÷yatàü dà÷arathã jananyau  Ragh_14.1*b
apàkçtasvedalavà marudbhiş  Ragh_6.57d
apàrthyakàlàgurupattralekham Vt  Ragh_13.49d
apàü taraïgeùv iva tailabindum  Ragh_14.38b
apàüsulànàü dhuri kãrtanãyà  Ragh_2.2b
api turagasamãpàd utpatantaü mayåraü  Ragh_9.67a
api prabhuş sànu÷ayo 'dhunà syàt  Ragh_14.83a
api prasannena maharùiõà tvaü  Ragh_5.10a
api svadehàt kim utendriyàrthàd  Ragh_14.35c
apãpsitaü kùatrakulàïganànàü  Ragh_14.4c
apunarjananopattaye  Ragh_8.17*c
apunàt savitevobhau  Ragh_17.2c
apuùpaliïgàt phalabandhivçkùam  Ragh_13.50b
apårõam ekena ÷atakratåpamaş  Ragh_3.38c
apy agraõãr mantrakçtàm çùãõàü  Ragh_5.4a
apy arthakàmau tasyàstàü  Ragh_1.25c
apy ardhamàrge parabàõalånà  Ragh_7.45a
apy asupraõayinàü raghoş kule  Ragh_11.2c
apy àj¤ayà ÷àsitur àtmanà và  Ragh_5.11c
aprabodhàya suùvàpa  Ragh_12.50c
apraviùñaviùayasya rakùasàü  Ragh_11.18c
abaddhamaurvãkiõalà¤chanena  Ragh_18.48b
abindhanaü vahnim asau bibharti  Ragh_13.4c
abravãc ca bhagavan mataïgajair  Ragh_11.39a
abhaktibhedena vadhår vavande  Ragh_14.5d
abhagnakàmà munibhiş ku÷eùu  Ragh_5.7b
abhavad asya tato guõavattaraü  Ragh_9.2c
abhavan nàsya vimànanà kvacit  Ragh_8.8d
abhijagmur nidàghàrtà÷  Ragh_10.5c
abhijagmur maharùayaş  Ragh_15.59b
abhitaptam ayo 'pi màrdavaü  Ragh_8.43c
abhinayàn paricetum ivodyatà  Ragh_9.29a
abhinavà iva pattravi÷eùakàş  Ragh_9.32b
abhipede nidàghàrtà  Ragh_12.32c
abhibhavaş kuta eva sapatnajaş  Ragh_9.4b
abhibhåya vibhåtim àrtavãü  Ragh_8.36a
abhiyayuş saraso madhusaübhçtàü  Ragh_9.30c
abhivçùñaü prajà÷rubhiş  Ragh_15.99d
