Nilakantha Diksita:
Kalividambana

Based on :
PIFI 36 , Pondichery 1967
5 NÅl 1 (Trivandrum ed.);
5 misc 34 NSP ed.;
Vani Vilas Press, Srirangaæ;
ed. Sankararama Sastri, Balamanorama Series 35, Madras 1942;
ed. Kalyanasundara Sastri, Sastra Sanjeevinee Press Madras 1920;
ed. Vaidika Vardhini Press Kumbakonam
L = lithograph Bod. 5.D.8, ed. by Keralavarma, Trivandrum 1886


Input by Somadeva Vasudeva


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





agatitvam atiÓraddhÃ  NKv_9a
aj¤ÃtÃ eva g­hiïÃæ  NKv_42c
adÃnam Å«addÃnaæ ca  NKv_95a
adhyÃpanÃv­ttayaÓ ca  NKv_87c
adhyÃpayanti ÓÃstrÃïi  NKv_68a
anugrahÃyate ye«Ãæ  NKv_12c
anumÃne«v ayaæ vidhis  NKv_4d
an­taæ cÃÂuvÃdaÓ ca  NKv_32a
antakÃlam apek«ate  NKv_51b
antako 'pi hi jantÆnÃm  NKv_51a
antato 'nnÃya vastrÃya  NKv_36c
antato 'ÓmÃpi jÅryati  NKv_56d
anyathÃtvam apathyatas  NKv_25d
anyonyak­tasaævidas  NKv_62b
apatyasaæbandhavidhi÷  NKv_96c
api sÃgaraparyantÃ  NKv_20a
abhyÃsyaæ lajjamÃnena  NKv_5a
avaj¤Ã prativÃdini  NKv_2b
avilambena saæsiddhau  NKv_11a
aÓrÃntakalaho nÃma  NKv_48c
asaæbhramo vilajjatvam  NKv_2a
aho nimnonnataæ kiyat  NKv_79d
aho mahad idaæ bhÆtam  NKv_50c
ÃkiæcanyabalÃ¬hyÃnÃm  NKv_56c
ÃcÃro vÃ vilak«aïas  NKv_13b
Ãtmotkar«o nigamanam  NKv_4c
Ãdeham anuvartate  NKv_64d
ÃnandabÃ«paromÃ¤cau  NKv_93a
ÃmadhyÃhnaæ nadÅvÃsa÷  NKv_91a
Ãyu«o 'nte bhaven na vÃ  NKv_6d
ÃyuspraÓne dÅrgham Ãyur  NKv_16a
Ãrogyaæ vaidyamÃhÃtmyÃd  NKv_25c
Ãv­tya ÓrÅmadenÃndhÃn  NKv_62a
iti pÃÂhayatÃæ granthe  NKv_8c
År«yÃyai saæstava÷ punas  NKv_96b
uccair udgho«ya jetavyaæ  NKv_3a
uttamarïÃbhiÓÃbdhitam  NKv_50d
uttamÃrïam avek«yaiva  NKv_52c
uttamÃrïasya vidyate  NKv_51d
ekata÷ sarvaÓÃstrÃïi  NKv_84a
ekaikam arthalÃbhÃya  NKv_31c
ekaikaæ narakÃdhikam  NKv_49d
ekaiva kavitÃ puæsÃæ  NKv_36a
etad dambhasya jÅvitam  NKv_91d
evam ca tathyavyutpattir  NKv_6c
kaïÂ÷e mada÷ kodravajo  NKv_66a
kathaæ tarantu kavaya÷  NKv_39c
kathaæ te taæ laghÆkartuæ  NKv_70c
kadÃ tasyÃstu nirv­tis  NKv_7d
kanyakety eva mÃtari  NKv_15b
kanyÃ nirmÃr«Âi mandiram  NKv_46d
kart­karmavyatÅhÃrÃd  NKv_79c
kalinÃ daÓamÃæÓena  NKv_99c
kaler etad vi¬ambanam  NKv_102b
kavaya÷ stotum udyatÃs  NKv_34b
kavinÃ nÅlakaïÂhena  NKv_102a
kavau daÓa naÂe Óatam  NKv_82b
kÃÂhinyaæ kutra vartate  NKv_8d
kÃtarÃ dÅrgharogÃÓ ca  NKv_23c
kÃtaryaæ durvinÅtatvaæ  NKv_33a
kÃmapÃramyavÃdinas  NKv_39d
kÃmam astu jagat sarvaæ  NKv_101a
kÃrpaïyam avivekatÃm  NKv_33b
kÃrya÷ kolÃhalo mahÃn  NKv_5d
kÃlakÃlaæ prapannÃnÃæ  NKv_101c
kÃlasyÃsya vaÓaævadam  NKv_101b
kÃla÷ kiæ na÷ kari«yati?  NKv_101d
kÃlÃntare hy anarthÃya  NKv_74a
kim upakriyate n­pais  NKv_71b
kimcitkopÃya durdhiyÃm  NKv_95b
kiyatÅ tatra varïanÃ  NKv_35d
kiækarÃ÷ sarvapÃrthivÃs  NKv_93d
kiæ cid astuvatÃm te«Ãæ  NKv_34c
kiæ tasya sÃdhanair anyai÷  NKv_93c
kiæ prak«yatÅti lubdho 'pi  NKv_76c
kiæ vak«yatÅva dhanikÃd  NKv_76a
kÅÂabuddhir manu«ye«u  NKv_60c
kÅta÷ kaÓ cid alir nÃma  NKv_35c
kÅrtanÅyÃ dhanÃrthibhis  NKv_87d
kule 'py avataraty e«a  NKv_67c
ku«ÂhÃpasmÃravat katham  NKv_67d
k­tÃnto lÃlayi«yati  NKv_71d
ke cid ­k«Ãïi jÃnate  NKv_21b
kaupÅnaæ bhasitÃlepo  NKv_86a
k«aïamÃtraæ grahÃveÓo  NKv_64a
k«ÅrapÃæs taskarÃn api  NKv_47d
khalÃnÃm as­jad vidhis  NKv_98d
khalo g­hasamÅpastha÷  NKv_74c
garbhapraÓne«u kathayan  NKv_15c
giraæ skhalantÅæ mÅlantÅæ  NKv_55a
g­dhro gehopari sthitas  NKv_74b
g­hiïÅ bhaginÅ tasyÃ÷  NKv_41a
g­hiïÅ svajanaæ vakti  NKv_47a
Gokarïe Bhadrakarïe ca  NKv_72a
grahacÃraparij¤Ãnaæ  NKv_14c
grÃmÃyÃÓvÃya hastine  NKv_36b
ghaÂakaæ samyagÃrÃdhya  NKv_83a
cÃrÃn vicÃrya daivaj¤air  NKv_14a
cirÃd ÃsÃdya rogiïam  NKv_29b
ce«ÂitvÃ vinivartate  NKv_65b
jantubhir nÃsti kiæ cana  NKv_23b
japayaj¤aÓ ca yaj¤e«u  NKv_75c
japo du«karmanÃÓanas  NKv_72b
jÃmÃtaro bhÃgineyÃ  NKv_42a
jÃmÃtur duhitÃ balam  NKv_43b
jÃmÃtur bhÃgyadhoraïÅ  NKv_45d
jÃmÃtur vakratÃ tÃvad  NKv_44a
jigÅ«unÃ hriyaæ tyaktvÃ  NKv_5c
jihÅr«anti cikitsakÃs  NKv_28d
jihvÃ phuraphurÃyate  NKv_34d
jÅrïau ca mÃtÃpitarÃv  NKv_49c
jÅryanti rÃjavidve«Ã  NKv_56a
jÅryanty avihitÃny api  NKv_56b
jÅvanaæ du÷khaÓÃli«u  NKv_12b
jÅvanto bahumanyante  NKv_16c
j­mbhamÃïe«u roge«u  NKv_27a
j¤Ãteyaæ j¤ÃnahÅnatvaæ  NKv_97a
j¤ÃnÃbhÃsena t­ptatÃ  NKv_9b
jyÃyÃn asaæstavo du«Âair  NKv_96a
jhaÂiti prativaktavyaæ  NKv_1c
ta eva tu vi¬ambyante  NKv_59c
tattvaæ jij¤ÃsunÃ ciram  NKv_5b
tatronmada÷ pravartatÃm  NKv_67b
tathÃ dharmaæ caret sarvaæ  NKv_89c
tathÃpi dhaniko janas  NKv_63d
tathÃpy udvejite manas  NKv_52d
tad diÓe 'pi namo namas  NKv_97d
tasmai ÓrÅkalaye namas  NKv_100d
tÃmbÆlÃya ca kalpate  NKv_36d
tÃvatsaæk«ipyate sarvaæ  NKv_92c
tÃvad arthÃ÷ prasiddhyanti  NKv_83c
tÃvad udvijate tatas  NKv_76d
tÃvad dÅrghaæ nityakarma  NKv_92a
tÃvan mÃhÃtmyarÆpeïa  NKv_13c
tÃval loko na m­«yati  NKv_69d
ti«ÂhÃsur atithiÓ ciram  NKv_81d
tulasÅkÃ«Âham ekatas  NKv_84b
tulasyÃ÷ paÂhatÃ guïan  NKv_85b
t­ïÅkurvanti paï¬itÃn  NKv_68b
te dhanyÃ÷ khalu mÃntrikÃs  NKv_12d
te vÃcaspataya÷ svayam  NKv_21d
te«Ãm ÃvaÓyakaæ yatas  NKv_14d
traya÷ Ói«yaguïÃ hy ete  NKv_9c
tritayaæ ye vijÃnanti  NKv_21c
daï¬yamÃnÃ vikurvanti  NKv_94a
dattÃæ vÃ deyam arthi«u  NKv_69b
datte svÃminy upasthite  NKv_78b
