Padmagupta (alias Parimala):
Navasahasankacarita

Based on the edition by Vamanasastri Islampurakara,
Bombay : Govt. Central Book Depot
(Bombay Sanskrit Series, 53)

Input by Somadeva Vasudeva, 2001

PADA-INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________






Padmagupta (alias Parimala):
NavasÃhasÃÇkacarita



akaÇkaïam akeyÆram  Pnc_11.90a
akaroc ca kilÃruïÃÇgulir  Pnc_12.78c
akarot padaæ p­thunitamba-  Pnc_15.31a
akalaÇkÃk­tes tasya  Pnc_6.25a
akÃri kÃpeyam idaæ tvayed­Óaæ  Pnc_13.56a
akÃri yajvanÃ yena  Pnc_11.78c
akÃlakalpÃtyayayaÓÃÇkitÃni  Pnc_17.10c
akÃlakalpÃntapayodharÃïÃm  Pnc_14.9d
ak­tÃtithyam etasya  Pnc_11.106a
ak­trimatyÃgasamudgatÃni  Pnc_1.83a
ak­trimapraÓrayapeÓalaæ vaca÷  Pnc_13.15c
ak­trimaÓrÅnilayena rÃgiïÃ  Pnc_13.22a
ak­trimo 'yaæ guïavatsu jÃne  Pnc_9.10a
ak­tvÃ bhavata÷ praÓnaæ  Pnc_11.45a
ak«amÃlÃæ dadhat kare  Pnc_11.34b
ak«asÆtrÃÇkita÷ kara÷  Pnc_11.97d
ak«ipat taÂaÓilÃviÂaÇkata÷  Pnc_8.38a
akhaï¬amaï¬alenÃpya  Pnc_11.87a
akhilabhuvanakoÓarÃjalak«myÃ  Pnc_3.62c
agamat trayasya samam eva  Pnc_15.58a
agalan kusumavyÃjÃt  Pnc_11.7a
agÃd anaÇgasya ÓaÓiprÃbhÃæ prati  Pnc_4.36d
agÃdhapÃtÃlatalÃvagÃhibhi÷  Pnc_13.38b
agÃdhapÃtÃlatalodgatÃni  Pnc_9.62a
agÃdhalÃvaïyasarit sumadhyamÃ  Pnc_7.5d
agÅyateva devasya  Pnc_2.81c
agrajo 'syÃgraïÅ÷ satÃm  Pnc_11.92b
agraïÅr agarudhÆpagandhinÃ  Pnc_8.48b
agrataÓ cakitam uktavartmabhi÷  Pnc_8.43b
agrata÷ k­tapayodharaÓriyÃ  Pnc_8.18a
agrata÷ saÓ ca yaÓobhaÂo 'viÓat  Pnc_8.65a
agrato 'tha bilakalpavin n­pa÷  Pnc_8.58b
agrahÅc ca saÓaraæ kareïa tad  Pnc_8.33c
agre tathÃbhraælihabhÆruhaæ na÷  Pnc_14.27c
agre dadarÓa maïimandiram indumaule÷  Pnc_18.14d
agre babhÆva puru«o 'sya sahemavetra÷  Pnc_18.41d
agre 'bhavat tasya sa ratnacÆ¬a÷  Pnc_17.45d
agresarai÷ sambhramamuktamÃrga÷  Pnc_14.28b
aÇkÃd apÃsya sahasÃ maïivallakÅæ ca  Pnc_18.3b
aÇgÃd asiprÃsap­«atkabhinnÃt-  Pnc_17.21a
aÇgena pu«paÓarabhaÇgitaraÇgitena  Pnc_18.48b
aÇge«u sÃraÇgad­ÓÃm ­tuÓrÅ÷  Pnc_14.70d
AcalendraguhÃsu lÅyate  Pnc_12.55c
AcalendrasutÃsmitacchavi-  Pnc_12.48c
acale vicaya÷ patatriïo 'yaæ  Pnc_5.41a
acÃmaro 'py e«a sateva vÅjyate  Pnc_4.31c
acintayat seti ca pÃÂalÃdhara÷  Pnc_4.28a
acetaneva ÓÆnyeva  Pnc_6.48c
acchinnadÃnani«yandam  Pnc_16.62c
ajÃtapÃkasya navÃtapÃdhikÃæ  Pnc_13.23a
ajÃyatÃnta÷karaïena tÃmyatÃ  Pnc_13.9a
ajÃyatÃmbhojad­ÓÃ viyogo  Pnc_9.9c
ajÃyatÃripramadÃlatÃnÃæ  Pnc_1.75c
ajÃyatendÅvarapatranetrÃ  Pnc_9.36b
ajÃyanta bhayodbhrÃnta-  Pnc_2.15c
aj¤ÃtasvaparÃntare  Pnc_16.106b
aj¤Ãnam asmin vi«aye kim anyat  Pnc_9.34a
atasÅkusumopamaæ mukhe  Pnc_12.41a
atas tadÃsyai kathita÷ savistaraæ  Pnc_7.63c
ata÷ kim etat pihitaæ prakÃÓyatÃm  Pnc_7.53c
ata÷ kim evaæ pratipattimÆ¬hatÃæ  Pnc_7.46c
ata÷ sakhÅbhÃvagatasya gopanaæ  Pnc_7.61c
ata÷ saæprati vÅk«ante  Pnc_11.28a
atÃd­ÓÃnÃæ stutaya÷ prak­tyÃ  Pnc_13.63c
atikampam ÆrmikuÂilabhru  Pnc_15.30a
atikÃntaguïÃbhirÃmamÆrtir  Pnc_5.17a
atikÃntÃyatahÃramaï¬alÃm  Pnc_12.14b
atikramyaiva pÃÂalÃm  Pnc_6.101b
atigÃ¬hadino«ïajanmabhi÷  Pnc_12.47c
atigÆ¬haæ yathÃ yathÃ  Pnc_6.65b
atitÃmradyuti kÃladantinÃ  Pnc_12.25b
atithir nÃma pÃrthiva÷  Pnc_11.35d
atidurlabhasÆryabhÃsi yasmiæs  Pnc_5.8a
atidÆrato d­Óyate 'yaæ  Pnc_5.55a
atidÆravik­«ÂanÃgakanyÃ-  Pnc_5.36c
atidÆraæ kuraÇgeïa  Pnc_2.41c
atid­¬ham anuraktayÃ vitÅrïaæ  Pnc_3.59a
atipÃÂalÃdharam avÃ¤citaæ hriyÃ  Pnc_10.56a
atibhÃsuraratnakuï¬alÃm  Pnc_12.14a
atimÃtram upo¬hasaukumÃrye  Pnc_5.3a
atimÃtravismayarasÃrdramÃnasa÷  Pnc_10.1b
atiraktam Ãyatatareïa  Pnc_15.57a
atirÃgiïi praïayiïÅva  Pnc_15.54a
ativatsalayÃ samaæ sakhÅbhir  Pnc_5.28a
ativÃcÃlavihaÇganÆpuram  Pnc_12.37d
ativitataguïaikadhÃmni tasmin  Pnc_3.51a
ativitataruciæ vahantam antas  Pnc_3.56a
ativelam uttaradigantavartinÃ  Pnc_10.20a
