Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarmakatve saty evaü  BVaky_3,14.67a
akurvàõo 'tha và kiü cit  BVaky_3,8.34c
akçta÷ ceti saüghàtaş  BVaky_3,14.266c
akçte và kçtàsaïgàd  BVaky_3,14.267c
akçtrimo hi saübandho  BVaky_2.369c
akçtsnaviùayàbhàsaü  BVaky_3,3.54a
akramas tu vitatyeva  BVaky_2.19c
akramasyàpi vi÷vasya  BVaky_3,9.46c
akramaş kramaråpeõa  BVaky_1.49c
akramàs teùu bhàvànàü  BVaky_3,9.52c
akrame kramanirbhàse  BVaky_2.33c
akriyàõàü nivçttyarthà,  BVaky_3,14.497a
akriyàrthena yogena  BVaky_3,14.556c
akùàdãnàm iva pràhur  BVaky_2.409c
akùàdeùu yathà bhinnà  BVaky_2.465a
akùiõàü tantriõàü tantram  BVaky_2.466a
agur a÷va iti vyàptir  BVaky_3,14.304c
agçhãtavi÷eùeõa  BVaky_3,14.103a
agçhãtàvadhau ÷abde  BVaky_2.95c
agçhãtàş prakà÷akàş  BVaky_1.57d
agor acitrago÷ caiva  BVaky_3,14.215a
agnidattas tu yo 'gniş syàt  BVaky_2.282a
agni÷abdanibandhanaş  BVaky_1.61b
agni÷abdas tathaivàyam  BVaky_1.61a
agni÷abdàbhidheyayà  BVaky_1.61d
agni÷rutyaiti saübandham  BVaky_1.61c
agnisomàdayaş ÷abdà  BVaky_2.281a
agniş prakà÷adàhàbhyàm  BVaky_2.477c
agnyartham upapàditam  BVaky_2.300b
aghoùà ca pravartate  BVaky_1.164b
aïgatvena pratãtànàü  BVaky_3,1.59a
aïgadã kuõóalã ceti  BVaky_3,14.569a
aïgavan nopalabhyate  BVaky_3,14.591d
aïgànàm aprayojakam  BVaky_2.81b
aïgãkçte tu keùàü cit  BVaky_2.416a
aïgãkçtopamànena  BVaky_3,14.301c
aïgopàïganibandhanàş  BVaky_1.10b
acetaneùu caitanyaü  BVaky_3,14.326a
acver iti yathà liïgam  BVaky_3,14.433c
ajanmani tathà nitye  BVaky_3,2.18a
ajasravçttir yaş ÷abdaş  BVaky_1.120a
ajasraü sarvabhàvànàü  BVaky_3,13.16c
ajà÷vàdiùu saübandhàd  BVaky_3,14.26c
ajihmà ràjapaddhatiş  BVaky_1.16d
añkupvàïàdibhis tathà  BVaky_2.387b
aóàdãnàü vyavasthàrthaü  BVaky_2.180a
aõavaş sarva÷aktitvàd  BVaky_1.113a
ata evaü samarthyate  BVaky_3,14.337d
atattvam iti manyante  BVaky_3,2.7c
atadguõo 'ta÷ chàgaş syàn  BVaky_3,1.80c
ataddharmasu bhàveùu  BVaky_3,6.12c
atadråpeõa saüsargàt  BVaky_3,11.13c
atas taü pratijànate  BVaky_2.46d
atas tàü jàtim icchanti  BVaky_3,13.5c
atas te jàtivàcinaş  BVaky_3,1.12d
atas taiş karmabhir dhàtur  BVaky_3,7.69a
ataş kriyàntaràbhàve  BVaky_3,9.78c
ataş pårveõa bhidyate  BVaky_3,14.294d
ataş sarvasya nirde÷e  BVaky_3,1.51c
ataş sarvo 'rtha iùyate  BVaky_3,1.13d
ataş saüyogide÷ànàü  BVaky_3,1.18a
ataş so 'py abhidhãyate  BVaky_3,14.575d
atiïgrahaõam evaü tu  BVaky_3,14.447a
atidåre vyavasthitam  BVaky_3,14.75d
atãtam api keùàü cit  BVaky_3,9.53c
atãtaş sarvalakùaõaş  BVaky_3,3.11b
atãtàkhyà tu yà ÷aktis  BVaky_3,9.51c
atãtànàgataj¤ànaü  BVaky_1.37c
atãndriyàn asaüvedyàn  BVaky_1.38a
ato jàtyabhidhàne 'pi  BVaky_3,1.4c
ato dravyà÷ritàü saükhyàm  BVaky_3,11.12a
ato na vacanàntaram  BVaky_3,14.283d
ato 'nirj¤àtaråpatvàt  BVaky_1.58a
ato bhàvavikàreùu  BVaky_3,8.28c
ato bhàùitapuüskatvàt  BVaky_3,6.10a
ato bhàùya udàhçtaş  BVaky_3,14.167d
ato 'yuktataraü viduş  BVaky_3,6.16d
ato 'rthàntaravàcitvaü  BVaky_2.169c
ato vàkyaü prayujyate  BVaky_2.427d
atyajantau prapadyete  BVaky_3,9.101c
atyadbhutà tv iyaü vçttir  BVaky_3,3.81a
atyantaparatantratvàd  BVaky_3,3.4c
atyantabhinnayor eva  BVaky_3,14.358a
atyantabhinnayor và syàt  BVaky_2.474a
atyantabhedaş sarveùàü  BVaky_2.260c
atyantabhede tattvasya  BVaky_2.21c
atyantabhede nànàtvaü  BVaky_3,14.393c
atyantam atathàbhåte  BVaky_1.142a
atyantam atadàtmakam  BVaky_3,2.9d
atyantam atra viùaye  BVaky_3,14.551a
atyantam anavasthitàş  BVaky_3,6.1d
atyantayata÷aktitvàc  BVaky_2.437c
atyantaviparãto 'pi  BVaky_2.285a
atyantaü na prayujyate  BVaky_3,14.583b
atyantaü bhinnadharmaõàm  BVaky_2.94d
atyantaü viùaye bhinne  BVaky_3,14.573a
atyantàdar÷ane na syàd  BVaky_3,13.11c
atyantànugamàt tatra  BVaky_3,14.467a
atyantaikatvaviùayo  BVaky_3,14.391c
atyamntam atadàtmakam  BVaky_3,2.10d
atra ca pratyayo bhavet  BVaky_3,14.522d
atra tåpapadenàyam  BVaky_3,12.27a
atra nàsti vater vidhiş  BVaky_3,14.524d
atra bàdhasamuccayau  BVaky_2.77d
atra bhede vivakùite  BVaky_3,14.553d
atràtãtaviparyàsaş  BVaky_1.17a
atràdhikaraõe vàdàş  BVaky_2.116c
atràpy artho na vidyate  BVaky_3,14.442b
atredaü nàntarãyakam  BVaky_2.81d
atraikavacanaü bhavet  BVaky_3,14.594b
atvaü saüpadyate yas tvaü  BVaky_3,7.117a
atha kàraõa pårvakàş  BVaky_3,9.20b
atha ca pràgasadbhàvaş  BVaky_3,3.78c
atha jàtimato 'rthasya  BVaky_3,14.269c
atha tair eva janitaş  BVaky_2.396a
atha tv ekavibhaktitvàd  BVaky_3,14.411a
atha pratividhàtà yo  BVaky_3,12.24a
atha yaj j¤ànam utpannaü  BVaky_2.243a
atharvaõàm aïgirasàü  BVaky_1.21a
atha ÷yàmeva ÷astrãyaü  BVaky_3,14.423a
atha svabhàvo vacanàd  BVaky_3,14.276a
athàdhàraş sa evàsya  BVaky_2.244c
athàpy avàcyam ity evaü,  BVaky_3,3.21a
athàyam àntaro j¤àtà  BVaky_1.115a
athàsaj jàyate katham  BVaky_3,3.43d
athàsaüsçùña evàrthaş  BVaky_2.248a
athàsau samudãryate  BVaky_1.116d
athàsmàn niyamàd årdhvaü  BVaky_3,9.19a
athopacàrasattaivaü  BVaky_3,3.46a
adçùñatvàt pratinidheş  BVaky_3,7.102a
adçùñam anupa÷yati  BVaky_2.91b
adçùñaviprayogàrthaş  BVaky_2.163c
adçùñavçttilàbhena  BVaky_3,3.18a
adçùñoparatiü bhedam  BVaky_3,6.16c
ade÷ànàü ghañàdãnàü  BVaky_3,1.16a
ade÷à÷ càpy abhàgà÷ ca  BVaky_3,6.14a
advaye caiva sarvasmin  BVaky_3,3.65a
adhikaü vartate teùu  BVaky_1.126c
adhikàro nivartate  BVaky_1.169b
adhigacchata ity eke  BVaky_2.107c
adhidaivam adhikratu  BVaky_2.254b
adhividyaü prakàsate  BVaky_1.14d
adhãte tulya ity evaü  BVaky_3,14.506a
adhãyate bràhmaõavat  BVaky_3,14.385a
adhãùvàdhyayanaü bahu  BVaky_3,14.528b
adhyasyate viruddhe 'rthe  BVaky_3,9.100c
adhyasya parikalpyate  BVaky_3,9.107d
adhyàtmaü vinigçhyate  BVaky_3,9.90b
adhyàdãn parikalpayet  BVaky_2.219b
adhyàropo na durlabhaş  BVaky_3,11.10b
adhyàhitakalàü yasya  BVaky_1.3a
adhyetari yadà vçttir  BVaky_3,14.492a
adhyetavyena vipràõàü  BVaky_3,14.444c
adhyetà bràhmaõa iva  BVaky_3,14.505c
adhyetrà sadç÷o 'dhyetety  BVaky_3,14.524c
adhyetror apadi÷yate  BVaky_3,14.532b
adhruveõa nimittena  BVaky_3,2.3a
adhvanàm ekatà nàsti  BVaky_3,9.61c
adhvano vartamànasya  BVaky_3,9.103a
adhvàdhikaraõaü yathà  BVaky_3,9.47b
anaïgãkçtasattvaü tu  BVaky_3,14.586a
anaïgãkçtasaüstyànàt  BVaky_3,14.172c
anantaram idaü kàryam  BVaky_2.118c
anantaraü phalaü yasyàş  BVaky_3,8.15a
ananyat pravibhajyate  BVaky_2.97d
anapekùya prayu¤jãta  BVaky_3,8.16c
anarthakànàü pàñho và  BVaky_2.259c
anarthakànàü saüghàtaş  BVaky_2.205a
anarthakàny apàyatvàt  BVaky_2.55a
anarthakena saüsçùñàş  BVaky_2.191c
anavasthà prasajyate  BVaky_3,14.219d
anavasthitakampe 'pi  BVaky_1.109a
anavasthitavçttità  BVaky_3,13.16b
anàkyeyà kathaü cana  BVaky_2.144b
anàgatatvam astitvaü  BVaky_3,9.111c
anàgatà janma÷akteş  BVaky_3,9.51a
anàgamavikalpà tu  BVaky_2.233c
anàgama÷ ca so 'bhyàsaş  BVaky_2.118a
anàdinidhanam brahma  BVaky_1.1a
anàdim avyavacchinnàü  BVaky_1.172a
anàdir arthaiş ÷abdànàü  BVaky_3,3.29c
anàdir yogyatà yathà  BVaky_3,3.29b
anàv abhyupagamyate  BVaky_3,14.623b
anàvçttàpi yà kriyà  BVaky_2.456b
anà÷ritakriyas tasmàn  BVaky_3,14.517a
anà÷rite tu vyàpàre  BVaky_3,7.24a
anityatvaü sva÷aktir và  BVaky_3,3.34c
anityadar÷inàü tv asmin  BVaky_1.182c
anityasya yathotpàde  BVaky_3,9.22a
anitye 'py à÷raye sthità  BVaky_3,1.41d
anityeùv api nityatvam  BVaky_3,3.34a
anibaddhaü nimitteùu  BVaky_2.234a
animittaü vates tulyaü  BVaky_3,14.512c
aniràkaraõàt kartus  BVaky_3,7.129a
aniråpitaråpeùu  BVaky_3,14.475c
anirjàtasya nirj¤ànaü  BVaky_3,14.360a
anirj¤àtaguõe caivaü  BVaky_3,14.9c
anirj¤àtasvaråpo hi  BVaky_3,14.375c
anirj¤àtaü prasiddhena  BVaky_3,14.361a
anirde÷yàd vi÷eùàd và  BVaky_3,14.373c
anirdhàritadharmatvàd  BVaky_3,14.145a
anirvçtte÷ ca tasya và  BVaky_3,7.99b
anuktam api råpeõa  BVaky_2.313c
anuktàpi prakà÷ate  BVaky_3,7.82d
anugçhõàti saübandha  BVaky_3,3.11c
anugrahàrthà bhoktéõàü  BVaky_2.388a
anucchinnà÷rayàj jàtir  BVaky_3,1.41c
anucchedyà÷rayàm eke  BVaky_3,1.42a
anuniùpadyate paraş  BVaky_2.476b
anuniùpàdikalpena  BVaky_3,9.67a
anuniùpàdinaş kàü÷ cic  BVaky_2.121c
anuniùpàdinaş ÷abdàş  BVaky_2.361c
anupaplutacetasàm  BVaky_1.37b
anupàttaü pratãyate  BVaky_2.307d
anupàsitavçddhànàü  BVaky_2.490c
anuprayogasiddhyarthaü  BVaky_3,14.232a
anupravçttidharmo và  BVaky_3,1.14a
anupravçttiråpà yà  BVaky_3,1.19a
anupravçtteti yathà-  BVaky_3,1.101a
anupràptaş pratãyate  BVaky_3,8.10b
anubandha÷ ca siddhe 'rthe  BVaky_3,12.12a
anubandhasvaràdibhyaş  BVaky_3,14.79c
anubhåya svatantratàm  BVaky_3,7.54b
anumànapradhànena  BVaky_1.42c
anumànaprayojanam  BVaky_3,13.12d
anumànaü tadarthasya  BVaky_2.328c
anumànaü nimittasya  BVaky_2.371c
anumànaü vivakùàyàş  BVaky_3,14.198c
anumànàt pratãyate  BVaky_3,7.85d
anuyàtãva so 'nyeùàü  BVaky_3,14.324c
anuvàdo yathà bhavet  BVaky_2.245b
anuviddham iva j¤ànaü  BVaky_1.131c
anusyåteva bhedàbhyàm  BVaky_3,14.29a
anusyåteva saüsçùñair  BVaky_3,14.93a
aneka iti pa÷càc ca  BVaky_3,14.293c
anekatãrthabhedàyàs  BVaky_1.159c
anekadharmavacanàş  BVaky_3,14.265a
anekapadasaü÷rayam  BVaky_2.42d
anekaråpà lakùyante  BVaky_3,8.14c
anekavyaktivartinãm  BVaky_3,8.21b
anekavyaktyabhivyaïgyà  BVaky_1.96a
aneka÷akter ekasya  BVaky_2.444a
aneka÷akter ekasya  BVaky_2.473c
anekasmàd asa iti  BVaky_3,14.282a
anekàkhyàtayoge 'pi  BVaky_2.350a
anekàrthatvam ekasya  BVaky_2.263a
anekà ÷aktir ekasya  BVaky_2.477a
antaràlapravçttibhiş  BVaky_3,9.82d
antaràlaü tad etayoş  BVaky_3,14.106d
antareõa kathaü bhavet  BVaky_3,3.35d
antareõa kriyà÷abdaü  BVaky_2.326c
antareõa na gamyate  BVaky_2.429d
antareõa vyavasthitam  BVaky_2.329d
antarena ca÷abdasya  BVaky_3,14.191a
antaro 'rthaş prakà÷yate  BVaky_2.31b
antarõãya prayujyate  BVaky_2.161b
antarbhavec ca saübandhaş  BVaky_3,14.222a
antarbhàvàc ca tenàsau  BVaky_3,3.47c
antarbhåtakriyàntaraiş  BVaky_3,7.67b
antarbhåtaõijarthànàü  BVaky_3,7.73a
antarbhåtavibhaktyarthe  BVaky_3,14.228a
antarbhåtaü nimittaü ca  BVaky_3,14.509a
antarbhåte tu karaõe  BVaky_3,14.457a
antarmàtràtmanas tasya  BVaky_2.32c
antaşkaraõatattvasya  BVaky_1.117a
antaşkaraõatattvasya  BVaky_3,7.41c
antaşkaraõadharmo và  BVaky_3,6.23a
antaşkaraõavçttau ca  BVaky_3,14.92a
ante yà và kriyàbhàge  BVaky_3,8.22a
antyà kaleva somasya  BVaky_1.168c
antyena dhvaninà saha  BVaky_1.86b
antye vàtmani yà sattà  BVaky_3,8.24a
