Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akarmakatve saty evaæ  BVaky_3,14.67a
akurvÃïo 'tha vÃ kiæ cit  BVaky_3,8.34c
ak­taÓ ceti saæghÃta÷  BVaky_3,14.266c
ak­te vÃ k­tÃsaÇgÃd  BVaky_3,14.267c
ak­trimo hi saæbandho  BVaky_2.369c
ak­tsnavi«ayÃbhÃsaæ  BVaky_3,3.54a
akramas tu vitatyeva  BVaky_2.19c
akramasyÃpi viÓvasya  BVaky_3,9.46c
akrama÷ kramarÆpeïa  BVaky_1.49c
akramÃs te«u bhÃvÃnÃæ  BVaky_3,9.52c
akrame kramanirbhÃse  BVaky_2.33c
akriyÃïÃæ niv­ttyarthÃ,  BVaky_3,14.497a
akriyÃrthena yogena  BVaky_3,14.556c
ak«ÃdÅnÃm iva prÃhur  BVaky_2.409c
ak«Ãde«u yathÃ bhinnÃ  BVaky_2.465a
ak«iïÃæ tantriïÃæ tantram  BVaky_2.466a
agur aÓva iti vyÃptir  BVaky_3,14.304c
ag­hÅtaviÓe«eïa  BVaky_3,14.103a
ag­hÅtÃvadhau Óabde  BVaky_2.95c
ag­hÅtÃ÷ prakÃÓakÃ÷  BVaky_1.57d
agor acitragoÓ caiva  BVaky_3,14.215a
agnidattas tu yo 'gni÷ syÃt  BVaky_2.282a
agniÓabdanibandhana÷  BVaky_1.61b
agniÓabdas tathaivÃyam  BVaky_1.61a
agniÓabdÃbhidheyayÃ  BVaky_1.61d
agniÓrutyaiti saæbandham  BVaky_1.61c
agnisomÃdaya÷ ÓabdÃ  BVaky_2.281a
agni÷ prakÃÓadÃhÃbhyÃm  BVaky_2.477c
agnyartham upapÃditam  BVaky_2.300b
agho«Ã ca pravartate  BVaky_1.164b
aÇgatvena pratÅtÃnÃæ  BVaky_3,1.59a
aÇgadÅ kuï¬alÅ ceti  BVaky_3,14.569a
aÇgavan nopalabhyate  BVaky_3,14.591d
aÇgÃnÃm aprayojakam  BVaky_2.81b
aÇgÅk­te tu ke«Ãæ cit  BVaky_2.416a
aÇgÅk­topamÃnena  BVaky_3,14.301c
aÇgopÃÇganibandhanÃ÷  BVaky_1.10b
acetane«u caitanyaæ  BVaky_3,14.326a
acver iti yathÃ liÇgam  BVaky_3,14.433c
ajanmani tathÃ nitye  BVaky_3,2.18a
ajasrav­ttir ya÷ Óabda÷  BVaky_1.120a
ajasraæ sarvabhÃvÃnÃæ  BVaky_3,13.16c
ajÃÓvÃdi«u saæbandhÃd  BVaky_3,14.26c
ajihmÃ rÃjapaddhati÷  BVaky_1.16d
aÂkupvÃÇÃdibhis tathÃ  BVaky_2.387b
a¬ÃdÅnÃæ vyavasthÃrthaæ  BVaky_2.180a
aïava÷ sarvaÓaktitvÃd  BVaky_1.113a
ata evaæ samarthyate  BVaky_3,14.337d
atattvam iti manyante  BVaky_3,2.7c
atadguïo 'taÓ chÃga÷ syÃn  BVaky_3,1.80c
ataddharmasu bhÃve«u  BVaky_3,6.12c
atadrÆpeïa saæsargÃt  BVaky_3,11.13c
atas taæ pratijÃnate  BVaky_2.46d
atas tÃæ jÃtim icchanti  BVaky_3,13.5c
atas te jÃtivÃcina÷  BVaky_3,1.12d
atas tai÷ karmabhir dhÃtur  BVaky_3,7.69a
ata÷ kriyÃntarÃbhÃve  BVaky_3,9.78c
ata÷ pÆrveïa bhidyate  BVaky_3,14.294d
ata÷ sarvasya nirdeÓe  BVaky_3,1.51c
ata÷ sarvo 'rtha i«yate  BVaky_3,1.13d
ata÷ saæyogideÓÃnÃæ  BVaky_3,1.18a
ata÷ so 'py abhidhÅyate  BVaky_3,14.575d
atiÇgrahaïam evaæ tu  BVaky_3,14.447a
atidÆre vyavasthitam  BVaky_3,14.75d
atÅtam api ke«Ãæ cit  BVaky_3,9.53c
atÅta÷ sarvalak«aïa÷  BVaky_3,3.11b
atÅtÃkhyÃ tu yÃ Óaktis  BVaky_3,9.51c
atÅtÃnÃgataj¤Ãnaæ  BVaky_1.37c
atÅndriyÃn asaævedyÃn  BVaky_1.38a
ato jÃtyabhidhÃne 'pi  BVaky_3,1.4c
ato dravyÃÓritÃæ saækhyÃm  BVaky_3,11.12a
ato na vacanÃntaram  BVaky_3,14.283d
ato 'nirj¤ÃtarÆpatvÃt  BVaky_1.58a
ato bhÃvavikÃre«u  BVaky_3,8.28c
ato bhÃ«itapuæskatvÃt  BVaky_3,6.10a
ato bhÃ«ya udÃh­ta÷  BVaky_3,14.167d
ato 'yuktataraæ vidu÷  BVaky_3,6.16d
ato 'rthÃntaravÃcitvaæ  BVaky_2.169c
ato vÃkyaæ prayujyate  BVaky_2.427d
atyajantau prapadyete  BVaky_3,9.101c
atyadbhutÃ tv iyaæ v­ttir  BVaky_3,3.81a
atyantaparatantratvÃd  BVaky_3,3.4c
atyantabhinnayor eva  BVaky_3,14.358a
atyantabhinnayor vÃ syÃt  BVaky_2.474a
atyantabheda÷ sarve«Ãæ  BVaky_2.260c
atyantabhede tattvasya  BVaky_2.21c
atyantabhede nÃnÃtvaæ  BVaky_3,14.393c
atyantam atathÃbhÆte  BVaky_1.142a
atyantam atadÃtmakam  BVaky_3,2.9d
atyantam atra vi«aye  BVaky_3,14.551a
atyantam anavasthitÃ÷  BVaky_3,6.1d
atyantayataÓaktitvÃc  BVaky_2.437c
atyantaviparÅto 'pi  BVaky_2.285a
atyantaæ na prayujyate  BVaky_3,14.583b
atyantaæ bhinnadharmaïÃm  BVaky_2.94d
atyantaæ vi«aye bhinne  BVaky_3,14.573a
atyantÃdarÓane na syÃd  BVaky_3,13.11c
atyantÃnugamÃt tatra  BVaky_3,14.467a
atyantaikatvavi«ayo  BVaky_3,14.391c
atyamntam atadÃtmakam  BVaky_3,2.10d
atra ca pratyayo bhavet  BVaky_3,14.522d
atra tÆpapadenÃyam  BVaky_3,12.27a
atra nÃsti vater vidhi÷  BVaky_3,14.524d
atra bÃdhasamuccayau  BVaky_2.77d
atra bhede vivak«ite  BVaky_3,14.553d
atrÃtÅtaviparyÃsa÷  BVaky_1.17a
atrÃdhikaraïe vÃdÃ÷  BVaky_2.116c
atrÃpy artho na vidyate  BVaky_3,14.442b
atredaæ nÃntarÅyakam  BVaky_2.81d
