Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmànmçtyuràyàto  Bca_7.8c
akàmasyàpi te sthità  Bca_9.136b
akàraõenaiva ripukùatàni  Bca_4.39a
akàle kiü kariùyasi  Bca_7.7d
akurvata÷ca ku÷alaü  Bca_4.19a
akçùñajàtàni ca ÷asyajàtàny  Bca_2.5a
akùãõe pàpasaücaye  Bca_2.32d
agaõita÷ara÷aktighàtaduþkhà  Bca_4.37c
agnirgatvà gçhàntaram  Bca_6.70b
agràhyaü kaþ kariùyati  Bca_9.52d
aïkuràdanyato j¤ànàd  Bca_9.116a
aïkuro jàyate bãjàd  Bca_9.115a
aïgacchedàrthamapyadya  Bca_2.44a
aïgàrataptopala÷astravçùñir  Bca_10.9a
acittake kçtà påjà  Bca_9.39a
acintyabauddhasaukhyena  Bca_10.48c
acintyasya ca kartçtvam  Bca_9.121c
acintyàü karmaõo gatiü  Bca_4.7b
acetana÷ca naivàham  Bca_9.69a
acetanaü svabhàvena  Bca_8.54c
acetane ca vastràdau  Bca_9.130c
acaitanyàtpañàdivat  Bca_9.69b
acchañàdi tu kartavyam  Bca_5.95c
ajaràmaralãlànàm  Bca_9.166a
ajàtamaniruddhaü ca  Bca_9.150c
ajànànaü yadi j¤ànaü  Bca_9.62a
aj¤asya niùkriyasyaivam  Bca_9.70c
aj¤o naùñaþ prasajyate  Bca_9.69d
añavãviñapàdiùu  Bca_8.76d
ataeva na me paràrthacintà  Bca_1.2c
ata eva vicàro 'yaü  Bca_9.93a
ata evàha bhagavàn  Bca_4.20a
