Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmÃnm­tyurÃyÃto  Bca_7.8c
akÃmasyÃpi te sthitÃ  Bca_9.136b
akÃraïenaiva ripuk«atÃni  Bca_4.39a
akÃle kiæ kari«yasi  Bca_7.7d
akurvataÓca kuÓalaæ  Bca_4.19a
ak­«ÂajÃtÃni ca ÓasyajÃtÃny  Bca_2.5a
ak«Åïe pÃpasaæcaye  Bca_2.32d
agaïitaÓaraÓaktighÃtadu÷khÃ  Bca_4.37c
agnirgatvÃ g­hÃntaram  Bca_6.70b
agrÃhyaæ ka÷ kari«yati  Bca_9.52d
aÇkurÃdanyato j¤ÃnÃd  Bca_9.116a
aÇkuro jÃyate bÅjÃd  Bca_9.115a
aÇgacchedÃrthamapyadya  Bca_2.44a
aÇgÃrataptopalaÓastrav­«Âir  Bca_10.9a
acittake k­tÃ pÆjÃ  Bca_9.39a
acintyabauddhasaukhyena  Bca_10.48c
acintyasya ca kart­tvam  Bca_9.121c
acintyÃæ karmaïo gatiæ  Bca_4.7b
acetanaÓca naivÃham  Bca_9.69a
acetanaæ svabhÃvena  Bca_8.54c
acetane ca vastrÃdau  Bca_9.130c
acaitanyÃtpaÂÃdivat  Bca_9.69b
acchaÂÃdi tu kartavyam  Bca_5.95c
ajarÃmaralÅlÃnÃm  Bca_9.166a
ajÃtamaniruddhaæ ca  Bca_9.150c
ajÃnÃnaæ yadi j¤Ãnaæ  Bca_9.62a
aj¤asya ni«kriyasyaivam  Bca_9.70c
aj¤o na«Âa÷ prasajyate  Bca_9.69d
aÂavÅviÂapÃdi«u  Bca_8.76d
ataeva na me parÃrthacintÃ  Bca_1.2c
ata eva vicÃro 'yaæ  Bca_9.93a
ata evÃha bhagavÃn  Bca_4.20a
ata tvadicchayÃ siddhaæ  Bca_6.88a
ata÷ paraæ prita«ÂhantÃæ  Bca_2.20a
ata÷ parÃrthaæ k­tvÃpi  Bca_8.109a
ata÷ supu«pacandreïa  Bca_8.106a
atÅtÃnÃgataæ cittaæ  Bca_9.74a
atÅtya yu«madvacanaæ  Bca_2.54a
ato mamÃrthÃya parÃrthacintÃ  Bca_2.7c
ato yadi na rak«yate  Bca_8.97b
ato 'yaæ bahudo«o 'pi  Bca_8.184c
atyani«ÂÃgamenÃpi  Bca_6.9a
atyapramattasti«ÂhÃmi  Bca_2.58a
atyayamatyayatvena  Bca_2.66a
atra kopo na yujyate  Bca_6.102b
atra grahÅ bhavi«yÃmi  Bca_4.43a
atra me cetanÃ nÃsti  Bca_4.27a
atra vÃdo v­thÃ nanu  Bca_9.72d
atha j¤aÓcetanÃyogÃd  Bca_9.69c
atha j¤eyavaÓÃjj¤Ãnaæ  Bca_9.113a
atha j¤eyÃdbhavetpaÓcÃt  Bca_9.106a
atha do«o 'yamÃgantu÷  Bca_6.40a
atha na ÓrÆyate te«Ãæ  Bca_8.11c
atha nÃsti pratÅkÃro  Bca_6.10c
atha pratyapakÃrÅ syÃæ  Bca_6.51a
atha matsamadhÃtureva paÓyed  Bca_1.3c
atha yasya mana÷ prasÃdameti  Bca_1.35a
atha sÃpyanyasaæv­tyÃ  Bca_9.107c
athÃnyonyavaÓÃtsattvam  Bca_9.113c
athÃpi hastapÃdÃdi  Bca_7.20a
athÃpyartho bhavedevam  Bca_6.88c
athÃpyavidyamÃno 'sau  Bca_9.146c
athÃvik­ta evÃtmÃ  Bca_9.70a
athÃhamacikitsyo 'sya  Bca_8.145a
athÃhamÃtmado«eïa  Bca_6.103a
athaivamucyamÃne 'pi  Bca_8.168a
athotpannamahaæ cittaæ  Bca_9.74c
adaridraæ jagatk­tvÃ  Bca_5.9a
adÃntÃ mattamÃtaÇgÃ  Bca_5.2a
adyaprabh­tyastu ca pu«pav­«Âi÷  Bca_10.9b
adya buddhakule jÃto  Bca_3.25c
adya me saphalaæ janma  Bca_3.25a
adyÃpi cettathaiva syÃæ  Bca_4.14a
adyÃpyasti mama svÃrtha  Bca_8.170a
adyaiva maraïaæ neti  Bca_2.59a
adyaiva Óaraïaæ yÃmi  Bca_2.48a
adhunÃ vada kasmÃttvaæ  Bca_5.64c
adhyati«Âhadatho nÃtha÷  Bca_8.118a
adhvÃnaæ pratipannasya  Bca_8.34a
anadhÅ«ÂopakÃriïÃm  Bca_5.74b
anantadu÷khasÃgarÃ÷  Bca_9.159b
anantaratisaætatim  Bca_7.15b
anantÃæÓairguïÃrïavai÷  Bca_6.116d
anapek«aæ ca d­Óyate  Bca_9.20b
anartha÷ kasyacinmÃ bhÆn  Bca_3.14c
anartha÷ konvata÷ para÷  Bca_6.88d
anavadye«u vastu«u  Bca_5.57b
anÃthabÃlav­ddhÃnÃæ  Bca_10.26c
anÃthÃnÃmahaæ nÃtha÷  Bca_3.17a
anÃdikÃlopacitÃt  Bca_4.21c
anÃdimati saæsÃre  Bca_2.28a
anÃdyantaæ mahÃdÅrghaæ  Bca_4.32c
anÃrambho varaæ nÃma  Bca_7.47c
anityajÅvitÃsaÇgÃd  Bca_2.43a
anitye sthaulyasÆk«mate  Bca_9.134b
anivarttÅ bhavi«yÃmi  Bca_4.42c
anivartyena cetasÃ  Bca_1.18d
ani«ÂakaraïÃjjÃtam  Bca_6.7a
ani«yamÃïamapyetac  Bca_6.23a
ani«yamÃïo 'pi balÃt  Bca_6.23c
anÅlatve na tannÅlaæ  Bca_9.20c
anÅlatve na tannÅlaæ  Bca_9.21c
anugrÃhyÃ mayÃnye 'pi  Bca_8.94c
anutpannaæ hi tannÃsti  Bca_6.28a
anunÅtaæ pratihataæ  Bca_5.48a
anubrÆyÃcca to«ata÷  Bca_5.76b
anumode ca tÃyinÃm  Bca_3.2d
anumode ca ÓÃsinÃm  Bca_3.3d
anumode pramodena  Bca_3.1c
anumode ÓarÅriïÃæ  Bca_3.2b
anuÓaæsÃæÓca bhÃvayan  Bca_7.31d
anekado«adu«Âena  Bca_2.31a
aneke Órutavanto 'pi  Bca_5.26a
anena mama puïyena  Bca_10.31a
anena ÓataÓa÷ sarve  Bca_8.154c
anena hi vihÃreïa  Bca_5.21a
andha÷ saÇkarakÆÂebhyo  Bca_3.27a
andhÃ÷ paÓyantu rÆpÃïi  Bca_10.19a
annapÃnapravar«aïai÷  Bca_3.8b
annÃdo 'medhyabhak«a÷ syÃt  Bca_9.136c
anya eva prajÃyate  Bca_8.98d
anya eva m­to yasmÃd  Bca_8.98c
anyacittena mandena  Bca_5.16c
anyacca kÃryakÃlaæ ca  Bca_7.48c
anyato nÃpi cÃyÃtaæ  Bca_9.143a
anyatra tadvidhÃtkleÓÃt  Bca_4.43c
anyatra mayi vÃ prÅtyÃ  Bca_6.95a
anyatrÃcÃrasetuta÷  Bca_5.83d
anyatrÃpi na labhyate  Bca_9.103d
anyathÃ nobhayaæ bhavet  Bca_5.44b
anyathÃ me kathaæ k«Ãntir  Bca_6.110c
anyathÃ lokabÃdhÃ syÃd  Bca_9.8c
anyathÃ vardhate vyathÃ  Bca_6.16d
anyathÃ syÃdasaæv­ta÷  Bca_5.95d
anyadÅyaÓcaro bhÆtvÃ  Bca_8.159a
anyadÅyena gandhena  Bca_8.65c
anyadÅyena gandhena  Bca_8.67c
anyadÅyai÷ karÃdibhi÷  Bca_8.138d
anyadevek«ate jagat  Bca_2.44d
anyaddu÷khaæ mayÃtmanÃ  Bca_8.93b
anyadrÆpamasatyaæ cen  Bca_9.67a
anyasaæbaddhamasmÅti  Bca_8.137a
anyÃ cennÃsti vastuta÷  Bca_9.27d
anyÃdhikayaÓovÃdair  Bca_8.163a
anyÃni vÃ pÆjyavibhÆ«aïÃni  Bca_2.5b
anyÃnubhÆte saæbandhÃt  Bca_9.24c
anyenÃpi k­taæ do«aæ  Bca_8.162a
anye ÓÆlasamarpitÃ÷  Bca_8.78b
anyai÷ stutvÃ guïorjitam  Bca_6.76b
anyo 'nyadu÷khanÃdghoraæ  Bca_8.133c
anyonyabhak«aïabhayaæ  Bca_10.17a
anyobhaye«Âasatyatve  Bca_9.43c
anyo 'sau pÆrvaka÷ kÃlas  Bca_8.169c
apakÃrÃÓayo 'syeti  Bca_6.110a
apanetuæ janasya hi  Bca_8.118d
aparÃddhaæ vimÃnayet  Bca_6.129d
aparÃn guïamÃnena  Bca_8.146c
aparai÷ kartumicchasi  Bca_6.86d
aparo 'pyenamato 'pi sÃrthako 'yaæ  Bca_1.3d
apaÓyannaratiæ yÃti  Bca_8.6a
apÃyadu÷khaviÓrÃmaæ  Bca_3.1a
apÃyadu÷khai÷ saæmÆ¬ha÷  Bca_4.18c
apÃyapÃtarak«Ãrthaæ  Bca_6.99c
api tvaneke 'nityÃÓca  Bca_9.120a
api nÃma guïÃ ye 'sya  Bca_8.148c
api sattvavyasanÃni hartukÃmai÷  Bca_1.8b
api sarvatra me loke  Bca_8.148a
apuïyavÃnasmi mahÃdaridra÷  Bca_2.7a
apuïyÃcaraïena ca  Bca_6.36d
apÆrva iva sarvatra  Bca_8.16c
apÆrveyaæ tadekatÃ  Bca_9.66d
apÆrvo jÃyate kathaæ  Bca_1.25b
apek«ate cetsÃmagrÅæ  Bca_9.125a
apyacintyaæ kimucyate  Bca_9.121d
aprakampyaæ sumeruvat  Bca_5.58d
apramÃdakathÃæ smaran  Bca_7.74b
apramÃdakathÃæ sm­tvÃ  Bca_8.185c
aprameya udÃh­ta÷  Bca_5.97b
aprameyaguïaæ sattvam  Bca_1.22c
aprameyavyathÃbhÃjye  Bca_7.34c
aprameyÃ gatÃ buddhÃ÷  Bca_4.13a
aprameyÃ gatÃ÷ kalpÃ÷  Bca_8.155a
aprameyÃ mayÃ do«Ã  Bca_7.33a
aprameyÃyu«aÓcaiva  Bca_10.33a
aprameyeïa puïyena  Bca_1.21c
aprameyopakÃriïÃm  Bca_6.119b
apraveÓe na miÓratvam  Bca_9.95c
aprasÃdi«u te k«amÃ  Bca_6.63b
aprahÅïÃ hi tatkartur  Bca_9.32a
apriyÃ na bhavi«yanti  Bca_2.37a
aprÅtidu÷khaæ dve«aistu  Bca_5.78c
abhayaæ kena me dattaæ  Bca_2.60a
abhavi«yadidaæ karma  Bca_8.157a
abhÃva÷ syÃddvayorapi  Bca_9.113d
abhinandantu vilokya nÃrakÃste  Bca_10.15d
abhinandantu surÃsurÃdaya÷  Bca_3.33d
abhilÃ«avighÃtÃÓca  Bca_7.41c
abhivandyÃnyatÅæstathÃ  Bca_2.25d
abhuktvÃpÃyikaæ du÷khaæ  Bca_10.47a
abhyarcayÃmyarcyatamÃnmunÅndrÃn  Bca_2.15c
abhyÃkhyÃsyanti mÃæ ye ca  Bca_3.16a
abhyÃsÃdanyadÅye«u  Bca_8.111a
amame«u pradeÓe«u  Bca_8.28a
amiÓratve na saægati÷  Bca_9.95d
amedhyak«etrasaæbhÆtaæ  Bca_8.59c
amedhyaghaÂitaæ yantraæ  Bca_5.61c
amedhyajamapÅcchasi  Bca_8.60d
amedhyabhavamalpatvÃn  Bca_8.60a
amedhyabhastrÃmaparÃæ  Bca_8.53c
amedhyabhÃï¬ÃnaparÃn  Bca_8.61c
amedhyaÓauï¬acittasya  Bca_8.57c
amedhyaæ nÃdhimucyase  Bca_8.63b
ayameva hi kÃyo me  Bca_8.31a
ayaÓaÓcetyanÅpsitam  Bca_6.11b
ayaÓaÓcetyayaæ gaïa÷  Bca_6.53b
ayaæ kila mahÃ/lloke  Bca_8.142c
ayaæ sustha÷ paro du÷stho  Bca_8.160a
ayuktamapi cedetad  Bca_8.100a
ayuktaæ tena nÃsti tat  Bca_9.129b
arjanarak«aïanÃÓavi«Ãdair  Bca_8.79a
arthamanarthamanantamavaihi  Bca_8.79b
alabhyamÃne mÃnu«ye  Bca_4.17c
alpamapyasya do«aæ ca  Bca_8.162c
alpamÃtre 'pi vastuni  Bca_4.5d
alpÃdapi bhayÃdbhayam  Bca_8.121b
alpÃsvÃdastu kÃminÃm  Bca_8.80b
alpaujasaÓca ye sattvÃs  Bca_10.29a
avatÃragave«aka÷  Bca_5.28b
avadhyÃyanti lÃbhinam  Bca_8.23b
avarïavÃdini dve«a÷  Bca_6.62a
avarïÃt pratighaÓceti  Bca_8.12c
avaÓyameti sÃ velÃ  Bca_2.59c
avaÓyaæ ganturalpasya  Bca_8.82a
avaÓyaæ na bhavi«yÃmi  Bca_2.60c
avicchinnÃ÷ puïyadhÃrÃ÷  Bca_1.19c
avi«ÃdabalavyÆha-  Bca_7.16a
avÅcimavagÃhante  Bca_8.107c
avÅcau kalpamÃpsyate  Bca_4.21b
avyÃpÃrasukhÃsvÃda-  Bca_7.3a
avyÃpÃritasÃdhustu  Bca_1.31c
aÓakyamicchata÷ kleÓa  Bca_8.176a
aÓÃÓvatena mitrena  Bca_8.8c
aÓucipratimÃ ghorÃ  Bca_8.178c
aÓucipratimÃmimÃæ g­hÅtvÃ  Bca_1.10a
aÓucistrÅnirÆpaïe  Bca_9.8d
aÓucyÃdi«u ÓucyÃdi-  Bca_9.6c
aÓuddhe karuïÃÓaye  Bca_5.87b
aÓubhÃnniyataæ du÷khaæ  Bca_2.63c
aÓe«ÃkÃÓaparyanta-  Bca_4.10c
aÓrameïa ca gacchantu  Bca_10.25c
aÓramopÃrjitastasmÃd  Bca_6.107a
asattvÃditi cenmatam  Bca_9.135d
asatyapi yathÃ mÃyÃ  Bca_9.28a
asatyapi hi vastuni  Bca_8.111d
