Utpaladeva:
Ajadapramatrsiddhi
Based on the edition of the Siddhitrayi by Madhusudan Kaul Shastri
Srinagar : Kashmir Pratap Steam Press 1921
(Kashmir Series of Sanskrit Texts and Studies, 34)

Input by Somadeva Vasudeva


PADA-INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



akhyàter jãvatà param  UtAjp_21d
ato 'nyo nopapadyate  UtAjp_17d
abhàvena jaóenàtha  UtAjp_09c
arthasyàtmà na yujyate  UtAjp_03b
alabdhapariniùñhitiþ  UtAjp_10b
aham ity àtmanà punaþ  UtAjp_11d
ahaübhàvanirodhataþ  UtAjp_22b
ahaübhàvo hi kãrtitaþ  UtAjp_22d
idam ity asya vicchinna-  UtAjp_15a
idam ity ucitaþ saüvit  UtAjp_11a
uktà saiva ca vi÷ràntiþ  UtAjp_23a
ubhayo 'py eùa paryanta-  UtAjp_17a
eka evànusandhànàd  UtAjp_17c
ekaiva cànusaüdhànàt  UtAjp_25a
evam apy avabhàsànu-  UtAjp_05a
evam arthakriyàbhàso-  UtAjp_07a
evam àtmany asatkalpàþ  UtAjp_13a
katham anyasya bhàvasya  UtAjp_10c
kathaü pràõena yantraõà  UtAjp_21b
kathaü syàd avi÷eùo 'tra  UtAjp_06a
kuryàn nànyas tathàpy artho  UtAjp_06c
ghañate bhàsamànatà  UtAjp_27b
cànyàprasiddhitaþ  UtAjp_24b
jagannirmàtçte÷ità  UtAjp_24d
jaóàþ prakà÷a evàsti  UtAjp_13c
jadàjaóànàm apy evaü  UtAjp_01c
jãve niruddhà tatràpi  UtAjp_20c
j¤ànàdisamavàyy api  UtAjp_19b
taj jaóasya na yujyate  UtAjp_26d
tato bhede tu bhàsasya  UtAjp_27a
tat pràõàdi prameyaü syàn  UtAjp_19c
tatràpy arthakriyà siddha-  UtAjp_08a
tadakhyàtimayaü hy etaj  UtAjp_24c
tadadvayamayaü jagat  UtAjp_27d
tadapekùàü vinà bhàvà-  UtAjp_05c
tadàtmanaiva tasya syàt  UtAjp_21a
tasyàhaübhàvabhàginaþ  UtAjp_26b
tàvatà ca prayojanam  UtAjp_04d
tulyaiva pràgvad àtmani  UtAjp_09d
