Utpaladeva: Isvarapratyabhijnakarika with vrtti.

Based on the edition by Madhusudan Kaul Shastri, Srinagar 1921.
(Kashmir Series of Texts and Studies ; 34)

Revised according to the edition by Raffaele Torella, Roma 1994
(Serie Orientale Roma ; 71)


Input by Somadeva Vasudeva

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akramÃnantacidrÆpa÷  Ipk_1,7.1c
akhaï¬ÃmarÓab­æhita÷  Ipk_4.1d
acidrÆpasya ÓÆnyÃder  Ipk_3,2.11c
aja¬ÃtmÃ ni«edhaæ vÃ  Ipk_1,1.2c
ata eva yathÃbhÅ«Âa-  Ipk_1,6.11a
ata eva yad apy uktaæ  Ipk_2,1.1a
ata eva vibhaktyartha÷  Ipk_2,4.16a
ata evÃÇkure 'pÅ«Âo  Ipk_2,4.8a
-(a)ta evotpattimÆlaja÷  Ipk_2,4.11d
atÅtatvÃt tathÃ sthiti÷  Ipk_1,8.3d
atrÃparatvam bhÃvÃnÃm  Ipk_3,1.5a
atrÃbhÃvo ghaÂÃtmana÷  Ipk_1,7.8d
athÃtadvi«ayatve 'pi  Ipk_1,3.3a
athÃnubhavavidhvaæse  Ipk_1,2.3a
athÃpi ja¬am etasya  Ipk_1,2.7c
athÃrthasya yathÃ rÆpaæ  Ipk_1,2.8a
ad­Óyo bhÆtalasyÃnta  Ipk_1,7.11c
-(a)dhyavasÃyÃdinÃmabhi÷  Ipk_1,5.18d
-(a)nantatattvaughanirbhara÷  Ipk_4.14b
anÃtmatvena bhÃsanÃt  Ipk_3,1.5b
-(a)nubhavas tatpadaiva sÃ  Ipk_1,2.4d
anumÃnam anÃbhÃta-  Ipk_1,5.8a
anusandhÃnavarjinÃm  Ipk_2,4.15b
anusaædhÃnasÃdhite  Ipk_2,3.3d
anta eva sthiti÷ sadÃ  Ipk_1,8.7b
-(a)ntarabhinne svalak«aïe  Ipk_2,3.9b
anta÷sthitavatÃm eva  Ipk_1,5.1c
andhÃndhatamasÃdi«u  Ipk_1,8.1d
anyathÃ ka÷ samanvaya÷  Ipk_1,7.3d
anye vidyeÓvarÃ yathÃ  Ipk_3,1.6d
anyonyÃnvayarÆpaikya-  Ipk_2,2.4c
