Mandanamisra: Vibhramaviveka
Based on the edition by L. Schmithausen: Maõóanami÷ra's Vibhramavivekaş : mit einer Studie zur Entwicklung der indischen Irrtumslehre.
Wien 1965 (Sitzungsberichte der ™sterreichischen Akademie der Wissenschaften, Phil.-Hist. Klasse, 247,1; Ver”ffentlichungen der Kommission fr Sprachen und Kulturen Sd- und Ostasiens, 2)


Input by Takahiro KATO
Tokyo, May 2012
tkhrkt@l.u-tokyo.ac.jp



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________




akalpayitvàntas tasmàd  MVibhr_6c
akùàõàü vyabhicàriõàm  MVibhr_108d
akhyàtir api saüvittiü  MVibhr_26a
akhyàtiş khalu tatràpi  MVibhr_9c
akhyàtiş khyàtir anyathà  MVibhr_1b
akhyàter avi÷eùeõa  MVibhr_9a
akhyàtau no tattvamithyàvibhàgas  MVibhr_164c
akhyàtau ÷ånyam eva syàt  MVibhr_32a
agrahaş kasyacid grahaş  MVibhr_50b
agrahe pràptyabhàvena  MVibhr_160c
agràhyam eva gçhõàti  MVibhr_146c
aïgabhàvo 'sya sammataş  MVibhr_104b
aïgulyagre hastiyåtham  MVibhr_137c
ata eva na yujyate  MVibhr_39b
ata eva yato bhràntiş  MVibhr_10c
atireka÷ ca kàryasyety  MVibhr_24c
ato 'tadde÷akàlatva-  MVibhr_124a
ato nàvartamànatvà-  MVibhr_53a
ato 'nirvacanãyatvaü  MVibhr_28a
ato brahmavidàü matam  MVibhr_36d
ato bhàvàntaraü muktvà  MVibhr_134c
ato 'vadhàraõàbhàsa-  MVibhr_113c
atyantànanubhåtatvam  MVibhr_140c
atyantànanubhåtànàü  MVibhr_13a
atyàsannasya saüvittir  MVibhr_77c
athavànityatàpatet  MVibhr_34d
atha sarvaprakàràõàm  MVibhr_50a
athàsti viparãtàrthà  MVibhr_63c
aduùñe 'pi tato hetau  MVibhr_116a
adçùñatvàd apravçttiş  MVibhr_64a
adçùñeùu pravarteta  MVibhr_62c
adhyàrope bhaved gauõã  MVibhr_25a
anaïge iti moghaiva  MVibhr_113a
anantakçtakarmatvàt  MVibhr_144c
anà÷vàsàc ca rajata-  MVibhr_59a
anirmokùas tathà ca syàd  MVibhr_34c
anumànaü bhavet tac ca  MVibhr_99c
anekàkàravibhràntau  MVibhr_35a
antarbhàve 'pi ca bahir-  MVibhr_8c
anyat prakà÷ate cànyad  MVibhr_39c
anyatra tu vighàtaş syàn  MVibhr_99a
anyatra bhedagrahaõàd  MVibhr_61c
