Yamuna: Samvitsiddhi

Input by Sadanori ISHITOBI


PADA INDEX

___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




acidaü÷avyapohena  YSsi_64a
acintyavibhavasya tàþ  YSsi_22b
aj¤atvasarvaveditva-  YSsi_54a
ata÷ copaniùa¤jàta-  YSsi_36a
atas tat tvam asãty àder  YSsi_64c
atas tadbhedam à÷ritya  YSsi_86a
ataþ saprathamàþ sarve  YSsi_6a
ataþ sarvaü sadà bhàyàd  YSsi_94c
ataþ svarasavispaùña-  YSsi_196a
ato de÷àdibhedena  YSsi_46a
ato na vastu nà(vastu  YSsi_121a
ato ni÷citasadbhàvaþ  YSsi_49e
atra bråmo 'dvitãyoktau  YSsi_2a
atha na sphuratãti cet  YSsi_79b
atha brahmàham asmãti  YSsi_140a
atha và tasya te, yad và  YSsi_162c
atha vàpy upalakùaõe  YSsi_54d
atha sarvaj¤atà mçùà  YSsi_110b
atha sà nityasaty api  YSsi_135b
athàrthàntarabhàvo 'pi  YSsi_101a
advitãyà svayaüprabhà  YSsi_85d
advitãye dvitãyàrtha-  YSsi_10a
advitãyo 'dya bhåtale  YSsi_19d
advaitavacasàm iti  YSsi_113d
ananyagocaratvena  YSsi_84e
ananyat kàraõàt kàryaü  YSsi_30a
anirvàcyaü tavàpatet  YSsi_189d
anumànà vilakùaõàþ  YSsi_150b
anusandhànamekatve,  YSsi_153c
anyatas te nivartate  YSsi_104d
anyatve sadç÷atve và  YSsi_4c
anyaiva na niråpyate  YSsi_102d
anyonyànàtmanà sphuñam  YSsi_202b
anyonyà÷rayaõaü punaþ  YSsi_115f
anyonyà÷rayaõaü bhavet  YSsi_107d
aparokùaü prakà÷ante  YSsi_88c
apalakùaõatà bhavet  YSsi_9d
api ca vyavahàraj¤àþ  YSsi_142a
api ceyam avidyà te  YSsi_103a
api yuktiparàhatam  YSsi_149b
api vastudvayà÷rayam  YSsi_65f
apohàþ kiü na santy eva,  YSsi_168a
abàdhitàþ pratãyante  YSsi_148c
abrahmànàtmatàbhàve  YSsi_65a
abhàvasyànavasthiteþ  YSsi_84b
abhàviny eva sà mithyà  YSsi_132a
abhàvo 'nyo viruddho và  YSsi_106a
abhàsamàne vij¤àne  YSsi_200a
abhedàbhedino 'satye  YSsi_66c
abhedo bhedamardã tu  YSsi_67a
abhyupetyaiva hi brahma  YSsi_164a
arthaþ saüvedanàt pçthak  YSsi_205d
arthànarthàntaratvàdi-  YSsi_100c
arthàntaratve siddhaü tat  YSsi_188e
arthàntaram avidyà cet  YSsi_100a
arthàntaraü và, tanmàtre  YSsi_188c
arthe ity apy asundaram  YSsi_64d
avagamyopa÷àmyati  YSsi_136d
avacchedavidhànayoþ  YSsi_177d
avastutvàd avidyàyàþ  YSsi_116a
avidyàkçtadehàtma-  YSsi_109c
avidyàtatsamà÷leùa-  YSsi_146c
avidyàpratibaddhatvàd  YSsi_135a
avidyàpratibaddhatvàd  YSsi_143c
avidyà bhavatà÷rità  YSsi_183f
avidyà sà kim ekaiva  YSsi_122c
avidyeyaü tu nesç÷ã  YSsi_102b
avidyopàdhike jãve  YSsi_60a
asakçttattvam ity àha  YSsi_73c
asataþ kàrakaiþ sattvaü  YSsi_48c
asataþ sattvam iùyate  YSsi_47d
asataþ sarvadàsattvaü  YSsi_50a
asatãveti tadvyaktir  YSsi_135c
asato 'rthàntarebhya÷ ca  YSsi_183c
asattvaü ca ghatàdiùu  YSsi_44d
asattvàn na hy asad brahma  YSsi_15c
asattve na vi÷eùo 'sti  YSsi_50c
asattve và kathaü tasminn  YSsi_37c
asatyàm api dar÷anàt  YSsi_75d
asti cet pakùapàtaþ syàn  YSsi_195c
astitvaü yady abåbudhat  YSsi_44b
asti nàstãti no dhiyaþ  YSsi_45d
astãti pratyayo bhavet  YSsi_37d
asthàne tena tadvacaþ  YSsi_145d
aspçùñasyàkhile÷ituþ  YSsi_21d
ahopalambhaniyamo  YSsi_206c
aüvedyo 'rthas tv asann iti  YSsi_205f
àgamaþ kàryaniùñhatvàd  YSsi_182a
àtmano nityamuktatvàn  YSsi_133c
àdàv ante ca yan nàsti  YSsi_49c
àdau pratãtisubhago  YSsi_96a
àdyantavàn prapa¤co 'taþ  YSsi_49a
àdye tattatpadàmnàna-  YSsi_163a
ànandasatyaj¤ànàdi-  YSsi_190a
ànandasvaprakà÷atva-  YSsi_161a
à÷rayapratiyogitve  YSsi_114a
à÷rayàsaïkaras tatra  YSsi_155c
àsaüsarasamucchedaü  YSsi_148a
iti tattulyançpati-  YSsi_20a
iti pramãyate bràmhã  YSsi_33c
iti bçddhàþ pracakùate  YSsi_198f
iti brahmavido viduþ  YSsi_86d
iti bruvan jagat sarvam  YSsi_26c
iti yatpràgudãritam  YSsi_194d
iti yàvat svasàkùikam  YSsi_173d
iti saüvidvivartatvaü  YSsi_200c
iti sàkùàccakàsti naþ  YSsi_70d
iti suvyàhçtaü vacaþ  YSsi_100f
itthambhàve nyave÷ayat  YSsi_26d
ityakaõóe 'nuyujyate  YSsi_94d
ity ato nedam uttaram  YSsi_117d
ity anyonyaviruddhokti-  YSsi_129a
ityàdikàþ samastasya  YSsi_28c
ityàdivedavacana-  YSsi_32c
ityàdi÷rutayaþ paràþ  YSsi_27f
ityuktyà na hi sàvitrà  YSsi_24c
idam àkhyàhi bho kiü nu  YSsi_95a
idànãm idam atràsti  YSsi_45a
idànãü nopajàyate  YSsi_145b
iha kiü tad yad utpattum  YSsi_143a
ãdç÷e 'rthe na tu pramà  YSsi_182b
uktau pratyakùabadhanàt  YSsi_76d
uttarasminn api tathà  YSsi_62a
utpattimaty anityeti  YSsi_141c
utpattiü na prapadyate  YSsi_143d
utpale nãladhãr hi sà  YSsi_70b
upakràntaü svahetutaþ  YSsi_143b
çte viùayanànàtvàn  YSsi_80c
ekapradhànavij¤ànàd  YSsi_32a
ekam evàdvitãyaü tad  YSsi_1a
eka÷eùe hi ciddhàtoþ  YSsi_74e
ekasminn api dharmiõi  YSsi_56b
ekàkàrà, na hi tayà  YSsi_174c
etàvàn asya mahimà  YSsi_27a
etena satyakàmatva-  YSsi_59a
evaü vyavasthitàneka-  YSsi_181a
aikàrthyaü dåravàritam  YSsi_53d
aikyàyogàc ca bhedo na  YSsi_178a
katham aikàrthyavibhramaþ  YSsi_155d
kathaü tad baübhramãti te(bhoþ)  YSsi_109b
kathaü praty ucyate tvayà  YSsi_127d
kathaü pravartayeyus tàü  YSsi_157c
kathaü vaikarasaü brahma  YSsi_114c
kathaü sà pratibadhyate  YSsi_144f
kalatràdiniùedhakam  YSsi_20d
kalàmàtram idaü jagat  YSsi_18d
kalpitasvasvadç÷yakaiþ  YSsi_156b
kalpito madavidyayà  YSsi_125b
kalpyatàü kàryabhåtayà  YSsi_176d
kasya mokùaþ phalaü bhavet  YSsi_74f
kaþ khalv aïgulibhaïgena  YSsi_23a
kà nu saüvid vivartate  YSsi_75b
kàrpaõya÷okaduþkhàrta÷  YSsi_52a
kàryaü na jàyate yena  YSsi_142c
kiï ca svayaüprakà÷atva-  YSsi_158a
ki¤ ca tatra bahuvrãhau  YSsi_13c
ki¤ca prapa¤canirvàha-  YSsi_122a
