Yamuna: Samvitsiddhi

Input by Sadanori ISHITOBI


PADA INDEX

___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





acidaæÓavyapohena  YSsi_64a
acintyavibhavasya tÃ÷  YSsi_22b
aj¤atvasarvaveditva-  YSsi_54a
ataÓ copani«a¤jÃta-  YSsi_36a
atas tat tvam asÅty Ãder  YSsi_64c
atas tadbhedam ÃÓritya  YSsi_86a
ata÷ saprathamÃ÷ sarve  YSsi_6a
ata÷ sarvaæ sadÃ bhÃyÃd  YSsi_94c
ata÷ svarasavispa«Âa-  YSsi_196a
ato deÓÃdibhedena  YSsi_46a
ato na vastu nÃ(vastu  YSsi_121a
ato niÓcitasadbhÃva÷  YSsi_49e
atra brÆmo 'dvitÅyoktau  YSsi_2a
atha na sphuratÅti cet  YSsi_79b
atha brahmÃham asmÅti  YSsi_140a
atha vÃ tasya te, yad vÃ  YSsi_162c
atha vÃpy upalak«aïe  YSsi_54d
atha sarvaj¤atÃ m­«Ã  YSsi_110b
atha sÃ nityasaty api  YSsi_135b
athÃrthÃntarabhÃvo 'pi  YSsi_101a
advitÅyÃ svayaæprabhÃ  YSsi_85d
advitÅye dvitÅyÃrtha-  YSsi_10a
advitÅyo 'dya bhÆtale  YSsi_19d
advaitavacasÃm iti  YSsi_113d
ananyagocaratvena  YSsi_84e
ananyat kÃraïÃt kÃryaæ  YSsi_30a
anirvÃcyaæ tavÃpatet  YSsi_189d
anumÃnÃ vilak«aïÃ÷  YSsi_150b
anusandhÃnamekatve,  YSsi_153c
anyatas te nivartate  YSsi_104d
anyatve sad­Óatve vÃ  YSsi_4c
anyaiva na nirÆpyate  YSsi_102d
anyonyÃnÃtmanÃ sphuÂam  YSsi_202b
anyonyÃÓrayaïaæ puna÷  YSsi_115f
anyonyÃÓrayaïaæ bhavet  YSsi_107d
aparok«aæ prakÃÓante  YSsi_88c
apalak«aïatÃ bhavet  YSsi_9d
api ca vyavahÃraj¤Ã÷  YSsi_142a
api ceyam avidyÃ te  YSsi_103a
api yuktiparÃhatam  YSsi_149b
api vastudvayÃÓrayam  YSsi_65f
apohÃ÷ kiæ na santy eva,  YSsi_168a
abÃdhitÃ÷ pratÅyante  YSsi_148c
abrahmÃnÃtmatÃbhÃve  YSsi_65a
abhÃvasyÃnavasthite÷  YSsi_84b
abhÃviny eva sÃ mithyÃ  YSsi_132a
abhÃvo 'nyo viruddho vÃ  YSsi_106a
abhÃsamÃne vij¤Ãne  YSsi_200a
abhedÃbhedino 'satye  YSsi_66c
abhedo bhedamardÅ tu  YSsi_67a
abhyupetyaiva hi brahma  YSsi_164a
artha÷ saævedanÃt p­thak  YSsi_205d
arthÃnarthÃntaratvÃdi-  YSsi_100c
arthÃntaratve siddhaæ tat  YSsi_188e
arthÃntaram avidyÃ cet  YSsi_100a
arthÃntaraæ vÃ, tanmÃtre  YSsi_188c
arthe ity apy asundaram  YSsi_64d
avagamyopaÓÃmyati  YSsi_136d
avacchedavidhÃnayo÷  YSsi_177d
avastutvÃd avidyÃyÃ÷  YSsi_116a
avidyÃk­tadehÃtma-  YSsi_109c
avidyÃtatsamÃÓle«a-  YSsi_146c
avidyÃpratibaddhatvÃd  YSsi_135a
avidyÃpratibaddhatvÃd  YSsi_143c
avidyÃ bhavatÃÓritÃ  YSsi_183f
avidyÃ sÃ kim ekaiva  YSsi_122c
avidyeyaæ tu nes­ÓÅ  YSsi_102b
avidyopÃdhike jÅve  YSsi_60a
asak­ttattvam ity Ãha  YSsi_73c
asata÷ kÃrakai÷ sattvaæ  YSsi_48c
asata÷ sattvam i«yate  YSsi_47d
asata÷ sarvadÃsattvaæ  YSsi_50a
asatÅveti tadvyaktir  YSsi_135c
asato 'rthÃntarebhyaÓ ca  YSsi_183c
asattvaæ ca ghatÃdi«u  YSsi_44d
asattvÃn na hy asad brahma  YSsi_15c
asattve na viÓe«o 'sti  YSsi_50c
asattve vÃ kathaæ tasminn  YSsi_37c
asatyÃm api darÓanÃt  YSsi_75d
asti cet pak«apÃta÷ syÃn  YSsi_195c
astitvaæ yady abÆbudhat  YSsi_44b
asti nÃstÅti no dhiya÷  YSsi_45d
astÅti pratyayo bhavet  YSsi_37d
asthÃne tena tadvaca÷  YSsi_145d
asp­«ÂasyÃkhileÓitu÷  YSsi_21d
ahopalambhaniyamo  YSsi_206c
aævedyo 'rthas tv asann iti  YSsi_205f
Ãgama÷ kÃryani«ÂhatvÃd  YSsi_182a
Ãtmano nityamuktatvÃn  YSsi_133c
ÃdÃv ante ca yan nÃsti  YSsi_49c
Ãdau pratÅtisubhago  YSsi_96a
ÃdyantavÃn prapa¤co 'ta÷  YSsi_49a
Ãdye tattatpadÃmnÃna-  YSsi_163a
Ãnandasatyaj¤ÃnÃdi-  YSsi_190a
ÃnandasvaprakÃÓatva-  YSsi_161a
ÃÓrayapratiyogitve  YSsi_114a
ÃÓrayÃsaÇkaras tatra  YSsi_155c
Ãsaæsarasamucchedaæ  YSsi_148a
iti tattulyan­pati-  YSsi_20a
iti pramÅyate brÃmhÅ  YSsi_33c
iti b­ddhÃ÷ pracak«ate  YSsi_198f
iti brahmavido vidu÷  YSsi_86d
iti bruvan jagat sarvam  YSsi_26c
iti yatprÃgudÅritam  YSsi_194d
iti yÃvat svasÃk«ikam  YSsi_173d
iti saævidvivartatvaæ  YSsi_200c
iti sÃk«ÃccakÃsti na÷  YSsi_70d
iti suvyÃh­taæ vaca÷  YSsi_100f
itthambhÃve nyaveÓayat  YSsi_26d
ityakaï¬e 'nuyujyate  YSsi_94d
ity ato nedam uttaram  YSsi_117d
ity anyonyaviruddhokti-  YSsi_129a
ityÃdikÃ÷ samastasya  YSsi_28c
ityÃdivedavacana-  YSsi_32c
ityÃdiÓrutaya÷ parÃ÷  YSsi_27f
ityuktyÃ na hi sÃvitrÃ  YSsi_24c
idam ÃkhyÃhi bho kiæ nu  YSsi_95a
idÃnÅm idam atrÃsti  YSsi_45a
idÃnÅæ nopajÃyate  YSsi_145b
iha kiæ tad yad utpattum  YSsi_143a
Åd­Óe 'rthe na tu pramÃ  YSsi_182b
uktau pratyak«abadhanÃt  YSsi_76d
uttarasminn api tathÃ  YSsi_62a
utpattimaty anityeti  YSsi_141c
utpattiæ na prapadyate  YSsi_143d
utpale nÅladhÅr hi sÃ  YSsi_70b
