Angirasasmrti
Based on the ed. by A.N. Krishna Aiyangar: âõgirasasmçti,
Madras : Adyar Library 1953 (Adyar Library Series, 84)



Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akalpà pariùadyatra  Ang_2,6.2a
akàryakaraõeùveùu  Ang_1.171a
akàlabhuktirà÷auce  Ang_1.47a
akiücanairdurbalairvà  Ang_1.633a
akçte tarpaõe bhåyaþ  Ang_1.881a
akçte pratyavàyo na  Ang_1.843a
akçtvà tu samãpe tu  Ang_1.957a
akçtvà nityakarmàõi  Ang_1.260a
akçtvà pretasaüskàraü  Ang_1.142a
akçtvaiva tadà ÷ràddhaü  Ang_1.67a
akçtvaiva nivçttiü yaþ  Ang_2,8.9a
akëpta÷cettu yo bhavet  Ang_1.636b
akëptà iti såribhiþ  Ang_1.656b
akëptànyeva kevalam  Ang_1.657b
akëpto 'nyena cedbhavet  Ang_1.635d
akrodhana÷ca sumukho  Ang_1.773c
akùayodakamityapi  Ang_1.887d
akùàralavaõaü råkùaü  Ang_2,11.1c
akùeõa ÷aùpairmantrairvà  Ang_1.630c
aguruþ kùatriyàõàü tu  Ang_2,5.9a
agnayeti ca tatparam  Ang_1.810d
agnidhàmà dharànàtho  Ang_1.518a
agnihotrasvaråpiõaþ  Ang_1.301b
agnihotrã sa eva syàd  Ang_1.625a
agnermanve 'nuvàkasya  Ang_1.767c
agnaukaraõahome 'piü  Ang_1.1075c
agnau kuryànna laukike  Ang_1.399b
agnyagàre gavàü goùñhe  Ang_2,8.15c
agnyàdibhirbhojanena  Ang_1.962c
agràhyàbhedyamårtãnàü  Ang_1.228a
agràhyàbhedyamårtãnàü  Ang_1.231c
aghamarùavidhànataþ  Ang_1.176d
aïgaviddharmapàñhakaþ  Ang_2,5.1b
aïgàni tattatkàleùu  Ang_1.103a
aïgàpakarùaõaü naiva  Ang_1.102a
