GRETIL CUMULATIVE PADA INDEX
OF METRIC DHARMA TEXTS AND TEXT PORTIONS

presently including the Smrtis of:

- Aïgiras (Ang_)
- Bçhaspati (reconstructed): Vyavahàrakàõóa (Brh_1.)
- Kàtyàyana (K_)
- Manu (Mn_)
- Nàrada (Nar_)
- Parà÷ara (Par_)
- Viùõu [metric portions] (Vi_)
- Yàj¤avalkya (Yj_)
- Yama, version with 78 verses (YS78v_)
- Yama, version with 99 verses (YS99v_)
- Yama, version with 185 verses in 5 adhyàyas (YS182v_)
- Yama, South Indian recension (YSS_)



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akatra prativàsinaş (?)  K_892b
akanyeti tu yaş kanyàü  Mn_8.225a
akanyeti tu yaş kanyàü  Nar_12.34a
akartà nityayaj¤ànàü  YSS_2.9a
akalpà pariùadyatra  Ang_2,6.2a
akasmàt kàraõaü vinà  K_843d
akàmakçtapàpasya  Par_8.1c
akàmatas tu yo bhuïkte  Par_11.25c
akàmatas tu ràjanyaü  Mn_11.127[126M]a
akàmataş kàmacàre  Yj_2.162c
akàmataş kçtaü pàpaü  Mn_11.46[45M]a
akàmataş kçte pàpe  Mn_11.45[44M]a
akàmam ananuj¤àtam  K_525a
akàmasya kriyà kà cid  Mn_2.4a
akàmaş svayam arjitam  Mn_9.209d
akàmàd uddhçtaü bhuvi  K_811b
akàraõe ca vikroùñà  Yj_2.234c
akàraõe parityaktà  Mn_3.157[147M]a
akàra÷ càsya nàmno 'nte  Mn_2.125c
akàraü càpy ukàraü ca  Mn_2.76a
akàryakaraõaü kçtam  K_482b
akàryakaraõeùveùu  Ang_1.171a
akàryakàriõàü dànaü  Yj_3.32a
akàryam anyat kuryàd và  Mn_11.96[95M]c
akàlabhuktirà÷auce  Ang_1.47a
akàle kàla eva và  Mn_7.164[165M]b
akàle krayavikrayã  Mn_8.400b
akàle 'pi bçhaspatiş  K_152d
akàle pràõasaükùayaş  Yj_3.165d
akàle vàhayen naraş  K_789b
akiücanairdurbalairvà  Ang_1.633a
akurvatas tu tad dhàni  K_541c
akurvan daõóam arhati  K_657d
akurvan vihitaü karma  Mn_11.44[43M]a
akurvaüs tat tathà daõóyas  K_673c
akåñaü kåñakaü bråte  Yj_2.241a
akåñair àyudhair yànti  Yj_1.324c
akçtaü ca kçtàt kùetràd  Mn_10.114a
akçtaü tad iti pràhuş  Nar_1.35c
akçtaü paricakùate  Nar_1.25b
akçtaş ùaóvidha÷ càpi  Nar_1.131a
akçtaş sa tu vij¤eyo  Mn_8.199c
akçtànnaü tu ÷alyakaş  Mn_12.65d
akçtàn manur abravãt  Mn_8.168d
akçtà và kçtà vàpi  Mn_9.136a
