Visnusmrti


Based on the edition by V. Krishnamacharya, 
Madras : The Adyar Library and Research Center, 1964 (in 2 parts).
(The Adyar Library Series ; vol. 93,1 + 2) 

Input by I. Shima, and collated by T. Hayashi in August 1991.



Completely revised GRETIL version, 2002.


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akàmaş svayam arjitam  Vi_18.43d
akàraü càpy ukàraü ca  Vi_55.10a
akçtvà bhaikùacaraõam  Vi_28.52a
akledyo '÷oùya eva ca  Vi_20.52b
akùayaü parikãrtitam  Vi_49.10b
akùaraü tv akùaraü j¤eyaü  Vi_55.18c
agnijihvo darbharomà  Vi_1.3c
agnituõóair bhakùyamàõà  Vi_43.34c
agninà dahyamànà÷ ca  Vi_43.35a
agnivrataü vàmadevyaü bçhac ca  Vi_56.27b
agrato vikiran bhuvi  Vi_81.22d
aghaü sa kevalaü bhuïkte  Vi_67.43a
acaraü caram eva ca  Vi_97.18b
acalo 'yaü sanàtanaş  Vi_20.52d
acchedyo 'yam adàhyo 'yam  Vi_20.52a
ajà÷vaü mukhato medhyaü  Vi_23.40a
ajihmasyà÷añhasya ca  Vi_81.24b
ata årdhvaü trayo 'py ete  Vi_27.27a
atas tv abhyeti tàn eva  Vi_20.32c
atikçcchraü nipàtane  Vi_54.30b
atikramaü vratasyàhur  Vi_28.48c
atithibhyo 'gra evaitàn  Vi_67.39c
atithir bràhmaõaş smçtaş  Vi_67.34b
atithir yasya bhagnà÷o  Vi_67.33a
atithãü÷ ca labhemahi  Vi_73.30b
atipàtakinas tv ete  Vi_34.2a
atãndriya suduùpàra  Vi_1.51a
ato na roditavyaü hi  Vi_20.30c
atyantopahatàt tathà  Vi_23.44b
atyantopahatànàü ca  Vi_23.42c
atraiva pa÷avo hiüsyà  Vi_51.64c
atha putrasya pautreõa  Vi_15.46c
adattvà yas tu etebhyaş  Vi_67.40a
aduşkhaü kurvann amçtaü saüprayacchan  Vi_30.47b
adçùñam adbhir nirõiktaü  Vi_23.47c
adbhir gàtràõi ÷udhyanti  Vi_22.92a
adharmeõa ca yaş pràha  Vi_29.7a
adhaş÷àyã jitendriyaş  Vi_46.24d
adhodçùñir naikçtikaş  Vi_93.9a
adhobhuvanavartinam  Vi_1.37d
adhyetavyaü dhàraõãyaü  Vi_100.3a
anabhyarcya pitén devàn  Vi_51.75c
anabhyasåyà ca tathà  Vi_2.17c
anavàptaü yad àpnuyàt  Vi_18.43b
anashthnàü caiva hiüsàyàü  Vi_50.47c
anàturaş saptaràtram  Vi_28.52c
anàdçtyàs tu yasyaite  Vi_31.9c
anityaü hi sthito yasmàt  Vi_67.34c
anidhàyaiva tad dravyam  Vi_23.55c
anirde÷yaparãmàõam  Vi_1.40a
anirde÷yarddhisaüyutam  Vi_1.40b
anuktaniùkçtãnàü tu  Vi_54.34a
anupaghnan pitçdravyaü  Vi_18.42a
anupàtakinas tv ete  Vi_36.8a
anubhåya suduşkhitàş  Vi_43.45b
anumantà vi÷asità  Vi_51.74a
anuvrajyàbhivàdya ca  Vi_73.32d
anekapitçkàõàü tu  Vi_17.23a
anena krãóantã÷ carata priyeõa  Vi_86.16b
anauraseùu putreùu  Vi_22.43a
antarasthena hariõà  Vi_1.36c
anta÷ carasi sàkùivat  Vi_11.11b
anta÷ carasi sàkùivat  Vi_12.7b
andhakàreùu tiùñhanti  Vi_43.40a
anna÷aucaü paraü smçtam  Vi_22.89b
annaü ca no bahu bhaved  Vi_73.30a
annaü caiva yathà÷aktyà  Vi_67.45c
annàdyajànàü sattvànàü  Vi_50.49a
anyatra gatamànasam  Vi_20.42b
anyathà vàdino yasya  Vi_8.39c
anyathà hy avi÷uddhaş syàd  Vi_12.6c
anvahaü càbhivàdanam  Vi_32.15b
aparàdheùu cànyesu  Vi_5.195a
apahçtya balàn naraş  Vi_44.44b
apaş samuddharet sarvàş  Vi_23.44c
apàtrãkaraõaü kçtvà  Vi_40.2a
api jàyeta so 'smàkaü  Vi_78.52a
api jàyeta so 'smàkaü  Vi_85.70a
api duùkçtakarmaõaş  Vi_57.11d
api sa syàt kule 'smàkaü  Vi_83.21a
apsu pràsya vinaùñàni  Vi_27.29c
abdena sa vi÷udhyati  Vi_28.50d
abmàtreõàbhiùiktasya  Vi_64.41c
abhicàram ahãnaü ca  Vi_54.25c
abhimantryàsya karayor  Vi_11.10c
amàvàsyàü na cà÷nãyàd  Vi_61.17c
amuktahastàsu sutànvitàsu  Vi_99.21c
amçtatvaü ca gacchati  Vi_15.45b
amedhyàni da÷aitàni  Vi_22.84a
ayaskàrasya dàtavyaü  Vi_86.18a
ayàjyayàjanaü kçtvà  Vi_54.25a
ayàjyasya ca yàjanam  Vi_48.22d
arciùyan pitçdevatàş  Vi_57.13b
arthe duùparihàrye 'smin  Vi_20.29c
arthe 'vi÷eùite tv eùu  Vi_6 42c
ardhikaş kulamitraü ca  Vi_57.16a
arvàk sapiõóãkaraõaü  Vi_21.23a
arvàk sapiõdãkaraõàt  Vi_20.33a
alakùmãü kàlakarõãü ca  Vi_48.19c
alaksmãş kàlakarõã ca  Vi_64.41a
alaükàro dhçto bhavet  Vi_17.22b
aliïgã liïgiveùeõa  Vi_93.13a
alisaüghàlakàü ÷ubhràü  Vi_1.22c
avakãrõivrataü caret  Vi_28.52d
avagårya caret kçcchram  Vi_54.30a
avadhåtam avakùutam  Vi_23.38b
