Yajnavalkyasmrti

PADA INDEX

Input by Muneo Tokunaga, checked by Yasuke Ikari
Based on the edition: Yajnavalkyasmrti of Yogisvara Yajnavalkya 
With the commentary Mitaksara of Vij¤anesvara, Notes, Variant readings, etc. 
Ed. by Narayan Ram Acharya Nirnayasagara Press, Bombay, 1949.



akÃmata÷ kÃmacÃre  Yj_2.162c
akÃraïe ca vikro«ÂÃ  Yj_2.234c
akÃryakÃriïÃæ dÃnaæ  Yj_3.32a
akÃle prÃïasaæk«aya÷  Yj_3.165d
akÆÂaæ kÆÂakaæ brÆte  Yj_2.241a
akÆÂair Ãyudhair yÃnti  Yj_1.324c
akravyÃdas tu vatsikÃm  Yj_3.272d
akruddho 'paritu«ÂaÓ ca  Yj_3.53c
ak«atÃ ca k«atÃ caiva  Yj_1.67a
ak«atÃyÃæ k«atÃyÃæ vÃ  Yj_2.130a
ak«atÃlÆ«ake ÓroïÅ-  Yj_3.87c
ak«ayo 'yaæ nidhÅ rÃj¤Ãæ  Yj_1.315c
ak«ayyÃ nÃtra saæÓaya÷  Yj_3.331d
ak«ayyodakam eva ca  Yj_1.243d
ak«ikarïacatu«kaæ ca  Yj_3.99a
ak«udro 'paru«as tathÃ  Yj_1.310b
ag­hÅte samaæ dÃpya÷  Yj_2.292c
ag­hÅte samaæ dÃpyo  Yj_2.193c
agnikÃryaæ tata÷ kuryÃt  Yj_1.25c
agnidÃnÃæ ca ye lokÃ  Yj_2.74a
agnir jalaæ vÃ ÓÆdrasya  Yj_2.98c
agnir mÆrdhÃ diva÷ kakut  Yj_1.300b
agnivarïaæ nyaset piï¬aæ  Yj_2.105c
agnÅn Ãropya cÃtmani  Yj_3.56d
agnÅn vÃpy ÃtmasÃtk­tvÃ  Yj_3.54a
agnÅæÓ caivÃvilambayan  Yj_1.89d
agne÷ sakÃÓÃd viprÃgnau  Yj_1.316c
agnau kari«yann ÃdÃya  Yj_1.236a
agnau suvarïam ak«Åïaæ  Yj_2.178a
agrya÷ sarve«u vede«u  Yj_1.219a
aÇgam abrÃhmaïasya tu  Yj_2.215b
aÇgahÅnÃdi janmana÷  Yj_3.163d
acÆ¬Ãn naiÓikÅ sm­tÃ  Yj_3.23b
aja÷ ÓarÅragrahaïÃt  Yj_3.69c
ajÃtau jÃtikaraïe  Yj_2.246c
ajÃÓvayor mukhaæ medhyaæ  Yj_1.194a
ajihma÷ krodhano 'ri«u  Yj_1.334b
ajihmÃm aÓaÂhÃæ tathÃ  Yj_1.123d
aj¤Ãtaæ ca sadÃ Óuci  Yj_1.191d
aj¤ÃtÃæÓ ca m­gadvijÃn  Yj_1.174d
aj¤ÃnÃt tu surÃæ pÅtvÃ  Yj_3.255a
ata Ærdhvaæ patanty ete  Yj_1.38a
ata÷ Ó­ïudhvaæ mÃæsasya  Yj_1.178c
atik­cchro nipÃtane  Yj_3.292b
atithitvena varïÃnÃæ  Yj_1.107a
atithiæ Órotriyaæ t­ptam  Yj_1.113a
atÅtÃyÃm aprajasi  Yj_2.144c
atÅtÃrthasm­ti÷ kasya  Yj_3.150c
ato na roditavyaæ hi  Yj_3.11c
ato yateta tatprÃptyai  Yj_1.352c
ato yad Ãtmano 'pathyaæ  Yj_3.65c
atrÃham amuka÷ sÃk«Å  Yj_2.87c
atharvÃÇgirasa÷ paÂhan  Yj_1.44b
atharvÃÇgirase tathÃ  Yj_1.313d
atha vÃpy abhyasan vedaæ  Yj_3.204a
adagdha÷ Óuddhim ÃpnuyÃt  Yj_2.107b
adattÃdÃnanirata÷  Yj_3.136a
adattÃny agnihÅnasya  Yj_1.160c
adadad dhi samÃpnoti  Yj_2.36c
adÅrghasÆtra÷ sm­timÃn  Yj_1.310a
adu«ÂÃæ tu tyajan daï¬yo  Yj_1.66c
adeÓakÃlasaæbhÃ«aæ  Yj_2.284c
adbhis tu prak­tisthÃbhir  Yj_1.20c
adravyo bharaïaæ striyÃ÷  Yj_1.76d
adhamottamamadhyamÃ÷  Yj_2.155d
adharmadaï¬anaæ svarga-  Yj_1.357a
adhastÃd aÓnatÃ tathÃ  Yj_1.106b
adhivinnastriyai dadyÃd  Yj_2.148a
adhivinnÃ tu bhartavyÃ  Yj_1.74a
adhÅtavedo japak­t  Yj_3.57a
adhÅtasya ca nÃÓanam  Yj_3.228d
adhyak«Ãn kuÓalÃn ÓucÅn  Yj_1.322b
adhyÃpyÃ dharmata÷ sÃdhu  Yj_1.28c
adhyÃyÃnÃm upÃkarma  Yj_1.142a
adhvanÅno 'tithir j¤eya÷  Yj_1.111a
anagnam am­taæ caiva  Yj_1.106c
anantÃ raÓmayas tasya  Yj_3.166a
anantÃÓ ca yathÃ bhÃvÃ÷  Yj_3.132a
ananyapÆrvikÃæ kÃntÃm  Yj_1.52c
ananyavi«ayaæ k­tvÃ  Yj_3.111a
anabhikhyÃtado«as tu  Yj_3.300c
anargheïoparundhatÃm  Yj_2.250b
anarcitaæ v­thÃmÃæsaæ  Yj_1.167a
anÃkhyÃya dadad do«aæ  Yj_1.66a
anÃdir ÃtmÃ kathitas  Yj_3.117a
anÃdir ÃtmÃ saæbhÆtir  Yj_3.125a
anÃdir ÃdimÃæÓ caiva  Yj_3.183a
anÃdi«Âasya caiva hi  Yj_3.305d
anÃdi«Âe«u pÃpe«u  Yj_3.326a
anÃder Ãdim icchata÷  Yj_3.74d
anÃÓakÃnalÃghÃta-  Yj_3.154c
anÃhitÃgnitÃpaïya-  Yj_3.234c
anigrahÃc cendriyÃïÃæ  Yj_3.219c
anindyÃmantraïÃd ­te  Yj_1.112b
anindye«u vivÃhe«u  Yj_1.90c
anindye«v Ãtmav­ttaye  Yj_1.29d
anibaddhapralÃpÅ ca  Yj_3.135c
aniyukto bhrÃt­jÃyÃæ  Yj_3.287a
aniveditavij¤Ãto  Yj_2.35c
anivedya n­pe daï¬ya÷  Yj_2.172c
anivedya n­pe Óudhyet  Yj_3.258a
aniÓcitya bh­tiæ yas tu  Yj_2.194c
ani«Âai÷ saæprayujyate  Yj_3.129d
anugamyÃmbhasi snÃtvÃ  Yj_3.26c
anupÃk­tamÃæsÃni  Yj_1.171c
an­te tu p­thag daï¬yÃ  Yj_2.153a
anekapit­kÃïÃæ tu  Yj_2.120c
anena pit­diÇmukhÃ÷  Yj_3.3d
anena vidhinÃ jÃta÷  Yj_1.69c
anena vidhinÃ dehaæ  Yj_1.50a
anena vidhir ÃkhyÃta  Yj_2.265c
anaurase«u putre«u  Yj_3.25a
antarÃ janmamaraïe  Yj_3.20a
antarÃ patite piï¬e  Yj_2.107c
antare ca tayor ya÷ syÃt  Yj_2.239c
antarjale viÓudhyeta  Yj_3.301c
antarjÃnu Óucau deÓa  Yj_1.18a
antardhÃnaæ sm­ti÷ kÃntir  Yj_3.202a
antaÓ carasi pÃvaka  Yj_2.104b
antevÃsÅ guruprÃpta-  Yj_2.184c
ante svÃhÃsamanvitai÷  Yj_1.285d
antyajair gardabhair u«Ârai÷  Yj_1.273c
antyapak«isthÃvaratÃæ  Yj_3.131a
antyasyÃryÃgame vadha÷  Yj_2.294d
antyÃbhigamane tv aÇkya÷  Yj_2.294a
andho 'cikitsyarogÃdyÃ  Yj_2.140c
annam adyÃd anÃpadi  Yj_1.32b
annam ÃdÃya t­ptÃ÷ stha  Yj_1.241a
annam i«taæ havi«yaæ ca  Yj_1.240a
annahartÃmayÃvÅ syÃn  Yj_3.210c
annaæ paryu«itaæ bhojyaæ  Yj_1.169a
annaæ pit­manu«yebhyo  Yj_1.104a
annaæ bhÆmau ÓvacÃï¬Ãla-  Yj_1.103c
annaæ vÃsa÷ sarak«aïam  Yj_3.296d
anyatra kulaÂÃ«aï¬ha-  Yj_1.215c
anyathÃ tat prakopayet  Yj_1.356d
anyathÃ vÃdino yasya  Yj_2.79c
anyahaste ca vikrÅya  Yj_2.257a
anyÃyena n­po rÃ«ÂrÃt  Yj_1.340a
anye 'pi ÓaÇkayÃ grÃhyÃ  Yj_2.267a
anyodaryas tu saæs­«ÂÅ  Yj_2.139a
anyonyÃpah­taæ dravyaæ  Yj_2.126a
anvak«aæ cÃtmaghÃtinÃm  Yj_3.21b
anvahaæ Óaktito dvija÷  Yj_1.44d
anvÃdheyakam eva ca  Yj_2.144b
anvitÃ yÃnty acarita-  Yj_3.225c
apakÃrasya kÃraka÷  Yj_2.233b
apatyaæ garbham aÇganÃ  Yj_1.275d
apa na÷ ÓoÓucad agham  Yj_3.3c
aparÃdhavaÓÃd ime  Yj_1.367d
aparÃntakam ullopyaæ  Yj_3.113a
