Yamasmrti 
Based on the edition by Haridatta Sastri (ed.): The Smriti Sandarbha (6 Vols.),
Calcutta 1952-1957, pp. 2083-90 (repr. Delhi: 1988)


Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.



NOTE:
This is the shortest version of the Yamasmçti, containing 78 verses.



PADA INDEX



STRUCTURE OF REFERENCES:
YS78v_nn = Yamasmçti, 78-verse version_verse number



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





agre màhiùikaü dçùñvà  YS78v_35a
aj¤ànàt tu dvija÷reùñha  YS78v_78a
ato bàlatarasyàpi  YS78v_16a
athàto hy asya dharmasya  YS78v_1a
anàhitàgnir varteta  YS78v_48c
anucchiùñena saüspçùñe  YS78v_42a
ante vàrdhuùikaü dçùñvà  YS78v_35c
annaü ÷ådrasya bhojyaü và  YS78v_21a
anyathàhàradoùeõa  YS78v_9c
aparàs te na ca spç÷yàs  YS78v_13c
apaþ karanakhaspçùñàþ  YS78v_65a
abhakùyàõàm apeyànàm  YS78v_46a
abhojyà÷ càpratigràhyà  YS78v_14a
amàvàsyàü na bhu¤jãta  YS78v_10c
amedhyaliptaü tu bhavec charãram  YS78v_44b
ayàjyànà¤ ca yàjakaþ  YS78v_30d
arddhakçcchran tu khàte syàt  YS78v_69c
alehyànà¤ ca bhakùaõe  YS78v_46b
avçùeõa bçhaspatiþ  YS78v_27b
a÷ãtãryasya varùàõi  YS78v_17a
a÷nanti pitaras tàvad  YS78v_38c
asadàlàpakas tathà  YS78v_31d
asaüpàñhyà vivàhinaþ  YS78v_14b
asaübhàùyo hy apàïkteyaþ  YS78v_24c
astaü gato yadà sårya÷  YS78v_18a
àcaret trãõi kçcchràõi  YS78v_49a
àture snànasampràpte  YS78v_53a
àhàraü maithunaü nidràü  YS78v_76c
àhàràj jàyate vyàdhiþ  YS78v_77a
indudvayena ÷uddhyanti  YS78v_4c
iha loke paratra ca  YS78v_12d
ucchiùñocchiùtasaüspçùñaþ  YS78v_41a
udakyà patitena ca  YS78v_63b
upapattim avasthà¤ ca  YS78v_51c
upoùya rajamãm ekàü  YS78v_41c
ubhayàvasitàþ pàpà  YS78v_4a
ubhayoþ såtakaü bhavet  YS78v_75b
ånaikàda÷avarùasya  YS78v_15a
årdhvaü nàbheþ karau muktvà  YS78v_45a
