Laghuyamasmrti (AAL)
Based on the edition by Vinayaka Ganesa Apte: Smçtãnàü Samuccayaş, Pune 1905 (2nd ed. 1929), pp. 112-116.
(ânandà÷ramasaüskçtagranthàvaliş / Anandasrama Sanskrit Series, 48)

This is another version of the Yamasmçti, termed Laghuyamasmçti in the editions (but not in mss.),
containing 99 verses.



Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.




PADA INDEX

STRUCTURE OF REFERENCES:
YS99v_nn = Yamasmçti, 99-verse version_verse number



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________




akçtvà vapanaü teùàü  YS99v_56c
agamyàgamane vipro  YS99v_30a
agniü pravi÷ya ÷udhyanti  YS99v_31c
aghamarùaõasåktaü và  YS99v_32c
aïgapratyaïgasaüpårõe  YS99v_44a
aïguùñhamàtrasthålas tu  YS99v_41a
aj¤ànàd avicakùaõaş  YS99v_65b
aj¤ànàd aindavadvayam  YS99v_28d
aj¤ànàd aindavadvayam  YS99v_29d
aj¤ànàd aindavadvayam  YS99v_34d
aj¤ànàd bràhmaõo bhuktvà  YS99v_26a
atha vased yadà ràtràv  YS99v_65a
adaivaü bhojayec chràddhaü  YS99v_81c
anucchiùñena saüspçùñe  YS99v_15a
anåóhà na pçthak kanyà  YS99v_84a
ançtau tu striyaü gatvà  YS99v_16c
anyàsu pitçgotràsu  YS99v_37a
anyonyaü spç÷ate(taş) kvacit  YS99v_13b
amedhyena sadà ÷uci  YS99v_97b
a÷itvà caiva tat sarvaü  YS99v_8c
a÷ucir bràhmaõaş kvacit  YS99v_7b
a÷nata÷ ced virekaş syàd  YS99v_9a
a÷rautasmàrtavihitaü  YS99v_59a
asaüskçtapramãtànàü  YS99v_98c
asthi saücayanaü kàryaü  YS99v_87c
asthisaücayanaü proktaü  YS99v_88c
asvasthas tri÷ataü japet  YS99v_9b
ahoràtroùito bhåtvà  YS99v_5c
ahoràtroùito bhåtvà  YS99v_6c
àkà÷e ca kùiped vàri  YS99v_94a
àgacchantu me pitaro  YS99v_92c
àtmànaü ghàtayed yas tu  YS99v_20a
àpaş pitçgaõàs tathà  YS99v_95b
àpo devagaõàş proktà  YS99v_95a
àràma÷ ca vi÷eùeõa  YS99v_69c
àhçtya praõavenaiva hy  YS99v_73a
iti dharmo vyavasthitaş  YS99v_99d
iti ÷àtàtapo 'bravãt  YS99v_11d
iùñàpårtaü tu kartavyaü  YS99v_68a
iùñena labhate svargaü  YS99v_68c
ucchiùñatve '÷ucitve ca  YS99v_4c
ucchiùñena ca saüspçùñà  YS99v_14a
utthàpya praõavena ca  YS99v_73b
utthàya ùañpadaü gacchet  YS99v_46c
udake snànam àcaret  YS99v_66d
udakyàü såtikàü vàpi  YS99v_11a
udgacchanti hi nakùatràõy  YS99v_66a
upariùñàc ca ye grahàş  YS99v_66b
upavàsena ÷udhyati  YS99v_8b
ubhayàvasitaş pàpaş  YS99v_24a
ubhàbhyàü tarpaõe dadyàd  YS99v_99c
ubhàv apy a÷ucã syàtàü  YS99v_17a
çtau tu garbha÷aïkitvàt  YS99v_16a
ekatvaü sà vrajed bhartuş  YS99v_86c
ekam eva mçte 'hani  YS99v_83d
ekàda÷àhe pretasya  YS99v_89a
ekaika÷a÷ caret kçcchram  YS99v_44c
ekaika÷a÷ caret kçcchraü  YS99v_42c
evam eva hi nàrãõàü  YS99v_54c
evaü dàtà na muhyati  YS99v_79d
eùà goghnasya niùkçtiş  YS99v_44d
auùadhaü sneham àhàraü  YS99v_50a
katha¤cit kàmamohitaş  YS99v_60b
kadàcit strã rajasvalà  YS99v_14b
kadàcit sravate gudam  YS99v_4b
kapilàyà ghçtaü gràhyaü  YS99v_72a
kàpàlikànnabhoktéõàü  YS99v_29a
kàlasnànena ÷udhyati  YS99v_12d
kàùñhaloùñà÷mabhir gàvaş  YS99v_48a
kàùñhe sàütapanaü kuryàt  YS99v_49a
kuóyàntarjalavalmãka-  YS99v_67a
kuryàd bràhmaõabhojanam  YS99v_61b
ku÷air dravyaü pçthak pçthak  YS99v_72d
kçcchradvayaü prakurvãta  YS99v_36c
kçcchram ekaü cared dvijaş  YS99v_27d
kçcchraü sàütapanaü caret  YS99v_37d
kçcchràbdam àcarej j¤ànàd  YS99v_28c
kçcchràbdam àcarej j¤ànàd  YS99v_29c
kçcchràbdam àcarej j¤ànàd  YS99v_34c
kçcchràrdhaü saüprakurvãta  YS99v_62c
kçcchreõa ÷uddhim àpnoti  YS99v_14c
kçmibhir vraõasaübhåtair  YS99v_62a
kçùõàyà goş ÷akçt tathà  YS99v_71b
kecic caivàvakãrõinaş  YS99v_39d
kecid brahmahaõo vratam  YS99v_39b
ke÷ànàü rakùaõàrthaü ca  YS99v_57a
ke÷àü÷ ca parirakùayet  YS99v_58b
kaivartamedabhillà÷ ca  YS99v_33c
kriyayà bheùajena tu  YS99v_52b
krodhàd aj¤ànato vàpi  YS99v_2c
gaïgàtoyeùu tiùñhati  YS99v_91b
gaïgà toyeùu yasyàsthi  YS99v_90a
gatvaitàş pravi÷ed agniü  YS99v_35c
garbhasaüsravaõe màse  YS99v_76c
garbhasràve vi÷udhyati  YS99v_77b
