Laghuyamasmrti (AAL)
Based on the edition by Vinayaka Ganesa Apte: Sm­tÅnÃæ Samuccaya÷, Pune 1905 (2nd ed. 1929), pp. 112-116.
(ùnandÃÓramasaæsk­tagranthÃvali÷ / Anandasrama Sanskrit Series, 48)

This is another version of the Yamasm­ti, termed Laghuyamasm­ti in the editions (but not in mss.),
containing 99 verses.



Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.




PADA INDEX

STRUCTURE OF REFERENCES:
YS99v_nn = Yamasm­ti, 99-verse version_verse number


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





ak­tvÃ vapanaæ te«Ãæ  YS99v_56c
agamyÃgamane vipro  YS99v_30a
agniæ praviÓya Óudhyanti  YS99v_31c
aghamar«aïasÆktaæ vÃ  YS99v_32c
aÇgapratyaÇgasaæpÆrïe  YS99v_44a
aÇgu«ÂhamÃtrasthÆlas tu  YS99v_41a
aj¤ÃnÃd avicak«aïa÷  YS99v_65b
aj¤ÃnÃd aindavadvayam  YS99v_28d
aj¤ÃnÃd aindavadvayam  YS99v_29d
aj¤ÃnÃd aindavadvayam  YS99v_34d
aj¤ÃnÃd brÃhmaïo bhuktvÃ  YS99v_26a
atha vased yadÃ rÃtrÃv  YS99v_65a
adaivaæ bhojayec chrÃddhaæ  YS99v_81c
anucchi«Âena saæsp­«Âe  YS99v_15a
anÆ¬hÃ na p­thak kanyÃ  YS99v_84a
an­tau tu striyaæ gatvÃ  YS99v_16c
anyÃsu pit­gotrÃsu  YS99v_37a
anyonyaæ sp­Óate(ta÷) kvacit  YS99v_13b
amedhyena sadÃ Óuci  YS99v_97b
aÓitvÃ caiva tat sarvaæ  YS99v_8c
aÓucir brÃhmaïa÷ kvacit  YS99v_7b
aÓnataÓ ced vireka÷ syÃd  YS99v_9a
aÓrautasmÃrtavihitaæ  YS99v_59a
asaæsk­tapramÅtÃnÃæ  YS99v_98c
asthi saæcayanaæ kÃryaæ  YS99v_87c
asthisaæcayanaæ proktaæ  YS99v_88c
asvasthas triÓataæ japet  YS99v_9b
ahorÃtro«ito bhÆtvÃ  YS99v_5c
ahorÃtro«ito bhÆtvÃ  YS99v_6c
ÃkÃÓe ca k«iped vÃri  YS99v_94a
Ãgacchantu me pitaro  YS99v_92c
ÃtmÃnaæ ghÃtayed yas tu  YS99v_20a
Ãpa÷ pit­gaïÃs tathÃ  YS99v_95b
Ãpo devagaïÃ÷ proktÃ  YS99v_95a
ÃrÃmaÓ ca viÓe«eïa  YS99v_69c
Ãh­tya praïavenaiva hy  YS99v_73a
iti dharmo vyavasthita÷  YS99v_99d
iti ÓÃtÃtapo 'bravÅt  YS99v_11d
i«ÂÃpÆrtaæ tu kartavyaæ  YS99v_68a
i«Âena labhate svargaæ  YS99v_68c
ucchi«Âatve 'Óucitve ca  YS99v_4c
ucchi«Âena ca saæsp­«ÂÃ  YS99v_14a
utthÃpya praïavena ca  YS99v_73b
utthÃya «aÂpadaæ gacchet  YS99v_46c
udake snÃnam Ãcaret  YS99v_66d
udakyÃæ sÆtikÃæ vÃpi  YS99v_11a
udgacchanti hi nak«atrÃïy  YS99v_66a
upari«ÂÃc ca ye grahÃ÷  YS99v_66b
upavÃsena Óudhyati  YS99v_8b
ubhayÃvasita÷ pÃpa÷  YS99v_24a
ubhÃbhyÃæ tarpaïe dadyÃd  YS99v_99c
ubhÃv apy aÓucÅ syÃtÃæ  YS99v_17a
­tau tu garbhaÓaÇkitvÃt  YS99v_16a
ekatvaæ sÃ vrajed bhartu÷  YS99v_86c
ekam eva m­te 'hani  YS99v_83d
ekÃdaÓÃhe pretasya  YS99v_89a
ekaikaÓaÓ caret k­cchram  YS99v_44c
ekaikaÓaÓ caret k­cchraæ  YS99v_42c
evam eva hi nÃrÅïÃæ  YS99v_54c
evaæ dÃtÃ na muhyati  YS99v_79d
e«Ã goghnasya ni«k­ti÷  YS99v_44d
au«adhaæ sneham ÃhÃraæ  YS99v_50a
katha¤cit kÃmamohita÷  YS99v_60b
kadÃcit strÅ rajasvalÃ  YS99v_14b
kadÃcit sravate gudam  YS99v_4b
kapilÃyÃ gh­taæ grÃhyaæ  YS99v_72a
kÃpÃlikÃnnabhoktÌïÃæ  YS99v_29a
kÃlasnÃnena Óudhyati  YS99v_12d
kÃ«Âhalo«ÂÃÓmabhir gÃva÷  YS99v_48a
kÃ«Âhe sÃætapanaæ kuryÃt  YS99v_49a
ku¬yÃntarjalavalmÅka-  YS99v_67a
kuryÃd brÃhmaïabhojanam  YS99v_61b
kuÓair dravyaæ p­thak p­thak  YS99v_72d
k­cchradvayaæ prakurvÅta  YS99v_36c
