Brhadyamasmrti
Based on the edition by V.G. Apte: Smçtãnàü Samuccayaþ, Pune 1905 (2nd ed. 1929), pp. 99-107.
(ânandà÷ramasaüskçtagranthàvaliþ / Anandasrama Sanskrit Series, 48) 

This is another version of the Yamasmçti, termed Bçhadyamasmçti in the editions (but not in mss.),
containing 182 verses in 5 adhyàyas.




Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.



PADA INDEX


STRUCTURE OF REFERENCES:
YS182v_n.nn = Yamasmçti, 182-verse version_adhyàya.verse




___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________




agre màhiùakaü dçùñvà  YS182v_3.16a
aïgulyàü yaþ pavitràõi  YS182v_3.32a
ajàviko màhiùa÷ ca  YS182v_3.26a
aj¤àtena kçtaü yadà  YS182v_5.10b
aj¤àtvà dharma÷àstràõi  YS182v_4.29a
aj¤ànàc ca kçtaü sarvaü  YS182v_5.12a
aj¤ànàt kçcchram uddiùñaü  YS182v_2.2c
ata årdhvaü rajasvalà  YS182v_3.21d
ataþ paraü pravakùyàmi  YS182v_5.1a
ato bàlatarasyàpi  YS182v_3.2a
atha cen matra[ntra]vidyukto  YS182v_3.39a
athàto yamadharmasya  YS182v_1.1a
adåùyaü caiva viprendraü  YS182v_3.40c
adhikasya ca bhàgau dvau  YS182v_5.23a
anantaü nàtra saü÷ayaþ  YS182v_3.43f
anarcayitvà yo bhuïkte  YS182v_3.25c
anutàparatasya ca  YS182v_4.40b
anutàpàdya[po ya]dà puüsàü[so]  YS182v_4.28a
aneke yasya ye putràþ  YS182v_5.14a
ante vàrdhuùikaü dçùñvà  YS182v_3.16c
annadànahiraõyakaiþ  YS182v_3.59d
anyathàbhàvadoùeõa  YS182v_2.5c
apàïktàs te ca vij¤eyàþ  YS182v_4.62c
aputrasya ca putràþ syuþ  YS182v_5.16c
aputrasya ca vij¤eyà  YS182v_5.19a
aputrebhyo na saü÷ayaþ  YS182v_5.21d
apra÷astà na te spç÷yàs  YS182v_2.8c
abhakùyàõàm apeyànàm  YS182v_3.62a
abhiùikto yadà bhavet  YS182v_4.46b
abhojyà÷ càpratigràhyà  YS182v_2.9a
amàyàü tu na bhu¤jãta  YS182v_2.6c
ayàjyànàü ca yàjakaþ  YS182v_3.35d
ayàjyànàü ca yàjakàþ  YS182v_4.62b
ardhakçcchraü caret pårvà  YS182v_3.66c
alubdho veda tat paraþ  YS182v_3.43b
alubhdàhlàdaniùpàpà  YS182v_4.54a
alehyànàü ca bhakùaõe  YS182v_3.62b
a÷ãtyadhikavarùàõi  YS182v_3.3a
a÷ubhaü kàritàþ karma  YS182v_5.6a
aùñavarùà bhaved gaurã  YS182v_3.21a
aùña÷àlyàü mçtà ye ca  YS182v_4.30c
