Brhadyamasmrti
Based on the edition by V.G. Apte: Sm­tÅnÃæ Samuccaya÷, Pune 1905 (2nd ed. 1929), pp. 99-107.
(ùnandÃÓramasaæsk­tagranthÃvali÷ / Anandasrama Sanskrit Series, 48) 

This is another version of the Yamasm­ti, termed B­hadyamasm­ti in the editions (but not in mss.),
containing 182 verses in 5 adhyÃyas.




Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.



PADA INDEX


STRUCTURE OF REFERENCES:
YS182v_n.nn = Yamasm­ti, 182-verse version_adhyÃya.verse



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





agre mÃhi«akaæ d­«ÂvÃ  YS182v_3.16a
aÇgulyÃæ ya÷ pavitrÃïi  YS182v_3.32a
ajÃviko mÃhi«aÓ ca  YS182v_3.26a
aj¤Ãtena k­taæ yadÃ  YS182v_5.10b
aj¤ÃtvÃ dharmaÓÃstrÃïi  YS182v_4.29a
aj¤ÃnÃc ca k­taæ sarvaæ  YS182v_5.12a
aj¤ÃnÃt k­cchram uddi«Âaæ  YS182v_2.2c
ata Ærdhvaæ rajasvalÃ  YS182v_3.21d
ata÷ paraæ pravak«yÃmi  YS182v_5.1a
ato bÃlatarasyÃpi  YS182v_3.2a
atha cen matra[ntra]vidyukto  YS182v_3.39a
athÃto yamadharmasya  YS182v_1.1a
adÆ«yaæ caiva viprendraæ  YS182v_3.40c
adhikasya ca bhÃgau dvau  YS182v_5.23a
anantaæ nÃtra saæÓaya÷  YS182v_3.43f
anarcayitvÃ yo bhuÇkte  YS182v_3.25c
anutÃparatasya ca  YS182v_4.40b
anutÃpÃdya[po ya]dÃ puæsÃæ[so]  YS182v_4.28a
aneke yasya ye putrÃ÷  YS182v_5.14a
ante vÃrdhu«ikaæ d­«ÂvÃ  YS182v_3.16c
annadÃnahiraïyakai÷  YS182v_3.59d
anyathÃbhÃvado«eïa  YS182v_2.5c
apÃÇktÃs te ca vij¤eyÃ÷  YS182v_4.62c
aputrasya ca putrÃ÷ syu÷  YS182v_5.16c
aputrasya ca vij¤eyÃ  YS182v_5.19a
aputrebhyo na saæÓaya÷  YS182v_5.21d
apraÓastÃ na te sp­ÓyÃs  YS182v_2.8c
abhak«yÃïÃm apeyÃnÃm  YS182v_3.62a
abhi«ikto yadÃ bhavet  YS182v_4.46b
abhojyÃÓ cÃpratigrÃhyÃ  YS182v_2.9a
amÃyÃæ tu na bhu¤jÅta  YS182v_2.6c
ayÃjyÃnÃæ ca yÃjaka÷  YS182v_3.35d
ayÃjyÃnÃæ ca yÃjakÃ÷  YS182v_4.62b
ardhak­cchraæ caret pÆrvÃ  YS182v_3.66c
alubdho veda tat para÷  YS182v_3.43b
alubhdÃhlÃdani«pÃpÃ  YS182v_4.54a
alehyÃnÃæ ca bhak«aïe  YS182v_3.62b
aÓÅtyadhikavar«Ãïi  YS182v_3.3a
aÓubhaæ kÃritÃ÷ karma  YS182v_5.6a
a«Âavar«Ã bhaved gaurÅ  YS182v_3.21a
a«ÂaÓÃlyÃæ m­tÃ ye ca  YS182v_4.30c
a«ÂaÓÃlyÃæ m­to vipra÷  YS182v_4.31c
asak­c ca yadÃ j¤ÃtvÃ  YS182v_4.43c
asak­d gamanÃc caiva  YS182v_4.44a
asac chÆdre«u annÃdyaæ  YS182v_3.11a
asadÃlÃpakas tathÃ  YS182v_3.36d
asaæpaÇktyÃvivÃhikÃ÷  YS182v_2.9b
asaæbha«yo hy apÃÇkteya÷  YS182v_3.19c
asÃk«ivyavahÃre«u  YS182v_5.26c
asevyÃsevino viprÃ  YS182v_4.62a
astaæ gate yadÃ sÆrye  YS182v_3.8a
ahorÃtreïa Óudhyati  YS182v_3.49b
Ãdhau pratigrahe krÃnte  YS182v_5.23c
Ãpo hi«Â÷ety ­gabhi«iktÃ  YS182v_3.58a
Ãbdikaæ caiva ÓÆdrasya  YS182v_4.13c
ÃÓÃ[Óai]vÃlaku¬e[ï¬e] vÃ 'pi  YS182v_4.3c
ÃÓaucaæ na bhavaty eva  YS182v_5.9a
Ãsane pÃdam ÃrÆ¬ho  YS182v_3.31a
ÃsaneÓv Ãsanaæ dadyÃn  YS182v_3.30a
itarebhya÷(?) samÃsata÷  YS182v_5.23b
iti prÃha svayaæ yama÷  YS182v_3.39d
iti prÃha svayaæ yama÷  YS182v_4.21b
