YAMASMRTI: CUMULATIVE PADA INDEX OF FOUR VERSIONS (78 / 99 / 182 verses, and South Indian recension)


Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.





STRUCTURE OF REFERENCES:
YS78v_nn = Yamasmçti, 78-verse version_verse
YS99v_nn = Yamasmçti, 99-verse version_verse
YS182v_n.nn = Yamasmçti, 182-verse version_adhyàya.verse
YSS_nn = Yamasmçti, South Indian recension

[For details of the e-texts see the separate files of the respective version.]



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________




akartà nityayaj¤ànàü  YSS_2.9a
akçtvà vapanaü teùàü  YS99v_56c
agamyàgamane vipro  YS99v_30a
agniü pravi÷ya ÷udhyanti  YSS_1.25c
agniü pravi÷ya ÷udhyanti  YS99v_31c
agre màhiùakaü dçùñvà  YS182v_3.16a
agre màhiùikaü dçùñvà  YS78v_35a
aghamarùaõasåktaü và  YS99v_32c
aïgapratyaïgasaüpårõe  YS99v_44a
aïgulyàü yaþ pavitràõi  YS182v_3.32a
aïguùñhamàtrasthålas tu  YS99v_41a
aïgeùu vyaktade÷eùu  YSS_2.55a
acodito hanti narastriyaü và  YSS_1.50c
ajadantaü su÷obhanaü  YSS_2.66b
ajàviko màhiùa÷ ca  YS182v_3.26a
aj¤àtena kçtaü yadà  YS182v_5.10b
aj¤àtvà dharma÷àstràõi  YS182v_4.29a
aj¤ànàc ca kçtaü sarvaü  YS182v_5.12a
aj¤ànàt kçcchram uddiùñaü  YS182v_2.2c
aj¤ànàt tu dvija÷reùñha  YS78v_78a
aj¤ànàd avicakùaõaþ  YS99v_65b
aj¤ànàd aindavadvayam  YSS_1.14d
aj¤ànàd aindavadvayam  YS99v_28d
aj¤ànàd aindavadvayam  YS99v_29d
aj¤ànàd aindavadvayam  YS99v_34d
aj¤ànàd aindavaü smçtaü  YSS_1.33d
aj¤ànàd bràhmaõo bhuktvà  YS99v_26a
ata årdhvaü rajasvalà  YS182v_3.21d
ataþ paraü pravakùyàmi  YS182v_5.1a
ato bàlatarasyàpi  YS182v_3.2a
ato bàlatarasyàpi  YS78v_16a
ato bàlatarasyàsya  YSS_1.21a
atyarthaü vedayaü÷ caiva  YSS_2.57a
atha cen matra[ntra]vidyukto  YS182v_3.39a
atha bhavaty eva pàpam  YSS_2.74c
atha vased yadà ràtràv  YS99v_65a
athàto yamadharmasya  YS182v_1.1a
athàto hy asya dharmasya  YS78v_1a
adåùyaü caiva viprendraü  YS182v_3.40c
adaivaü bhojayec chràddhaü  YS99v_81c
adharmadaõóasàhasaü  YSS_2.14b
adhikasya ca bhàgau dvau  YS182v_5.23a
adhãta¤ ca dvijàdibhiþ  YSS_2.28b
anantaü nàtra saü÷ayaþ  YS182v_3.43f
anarcayitvà yo bhuïkte  YS182v_3.25c
anàhitàgnir varteta  YS78v_48c
aniùñvà ca hutà÷anaü  YSS_2.33b
anucchiùñena saüspçùñe  YS78v_42a
anucchiùñena saüspçùñe  YS99v_15a
anutàparatasya ca  YS182v_4.40b
anutàpàdya[po ya]dà puüsàü[so]  YS182v_4.28a
anutsçùñà hi lokasya  YSS_2.19c
anåóhà na pçthak kanyà  YS99v_84a
ançtau tu striyaü gatvà  YS99v_16c
aneke yasya ye putràþ  YS182v_5.14a
ante vàrdhuùikaü dçùñvà  YS182v_3.16c
ante vàrdhuùikaü dçùñvà  YS78v_35c
antyàd aj¤ànato bhuktvà  YSS_1.6a
annadànahiraõyakaiþ  YS182v_3.59d
annaü ÷ådrasya bhojyaü và  YS78v_21a
anyathàbhàvadoùeõa  YS182v_2.5c
anyathàhàradoùeõa  YS78v_9c
anyapràõilayaü kurvan  YSS_1.24a
anyàsu pitçgotràsu  YS99v_37a
anyonyaü spç÷ate(taþ) kvacit  YS99v_13b
anvaùñakàm aùñakàü và  YSS_2.50a
apatyaü tanmayo dvijaþ  YSS_2.63b
aparàs te na ca spç÷yàs  YS78v_13c
apasnàto divàsnàtaþ  YSS_2.12a
apaþ karanakhaspçùñàþ  YS78v_65a
apàïktàs te ca vij¤eyàþ  YS182v_4.62c
apàïktyànàü tv akalyàõàü  YSS_2.69a
aputrasya ca putràþ syuþ  YS182v_5.16c
aputrasya ca vij¤eyà  YS182v_5.19a
aputrebhyo na saü÷ayaþ  YS182v_5.21d
apåpam annaü màüsa¤ ca  YSS_2.45a
apårõaùoóa÷àbdasya  YSS_1.20a
apçcchann çùayo gatvà  YSS_1.1c
apra÷astà na te spç÷yàs  YS182v_2.8c
apra÷astàs tu taü spçùñvà  YSS_1.17c
abhakùyàõàm apeyànàm  YS182v_3.62a
abhakùyàõàm apeyànàm  YS78v_46a
abhiùikto yadà bhavet  YS182v_4.46b
abhojyà÷ càpratigràhyà  YS182v_2.9a
abhojyà÷ càpratigràhyà  YS78v_14a
amàyàü tu na bhu¤jãta  YS182v_2.6c
amàvàsyàü na bhu¤jãta  YS78v_10c
amedhyaliptaü tu bhavec charãram  YS78v_44b
amedhyena tu saüspçùño  YSS_1.4Aa
amedhyena sadà ÷uci  YSS_1.4b
amedhyena sadà ÷uci  YS99v_97b
ayàjyànà¤ ca yàjakaþ  YS78v_30d
ayàjyànàü ca yàjakaþ  YS182v_3.35d
ayàjyànàü ca yàjakàþ  YS182v_4.62b
arddhakçcchran tu khàte syàt  YS78v_69c
ardhakçcchraü caret pårvà  YS182v_3.66c
alubdho veda tat paraþ  YS182v_3.43b
alubhdàhlàdaniùpàpà  YS182v_4.54a
alehyànà¤ ca bhakùaõe  YS78v_46b
alehyànàü ca bhakùaõe  YS182v_3.62b
avivàhyàþ sutà÷ caiva  YSS_1.38c
avçùeõa bçhaspatiþ  YS78v_27b
a÷itvà caiva tat sarvaü  YS99v_8c
a÷ãtir yasya varùàõi  YSS_1.19a
a÷ãtãryasya varùàõi  YS78v_17a
a÷ãtyadhikavarùàõi  YS182v_3.3a
a÷ucir bràhmaõaþ kvacit  YS99v_7b
a÷ubhaü kàritàþ karma  YS182v_5.6a
a÷nata÷ ced virekaþ syàd  YS99v_9a
a÷nanti pitaras tàvad  YS78v_38c
a÷rautasmàrtavihitaü  YS99v_59a
a÷vasya hantà puruùasya hantà  YSS_1.40a
