Rasarnava, Patalas 1-12
Based on the ed. by Praphulla Chandra Ray
Calcutta : Asiatic Society 1908-1910
(Bibliotheca Indica, 175)


Input by Oliver Hellwig


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



akathyamapi deve÷i  Ras_1.13c
akampa÷ca vikampa÷ca  Ras_10.18c
akùayaü kañhinaü ÷vetaü  Ras_11.207c
akùayaü ca varàrohe  Ras_12.75c
akùayo hy ajara÷caiva  Ras_12.353c
akùãõaü tu rasaü dçùñvà  Ras_10.25a
akùãõaü sàva÷eùitam  Ras_8.52b
akhilàni ca sattvàni  Ras_7.119a
agastyapuùpatoyena  Ras_6.10c
agastyapuùpatoyena  Ras_6.22a
agastyarasasaüyutam  Ras_6.26d
agniko yavaci¤cà ca  Ras_11.86a
agnijàraü nave kumbhe  Ras_6.19a
agnimadhye yadà tiùñhet  Ras_11.204c
agnivarõaü tu dç÷yate  Ras_6.121b
agnisthaü dhàrayet priye  Ras_7.129f
agnistho grasate rasaş  Ras_11.124d
agnistho jàyate såtaş  Ras_11.149a
agnistho jàrayellohàn  Ras_11.145c
agniü praviùñaü nàgaü tu  Ras_6.5c
agniü praviùñaü vajraü tu  Ras_6.6a
agnau tiùñhati niùkampo  Ras_11.76c
aghoramantrasaüyuktam  Ras_2.76a
aghoraü vajravãrakam  Ras_2.97b
aghoraü hçdayaü tasya  Ras_2.111a
aghoràstraü japettadà  Ras_12.208b
aghoràstràbhidhànena  Ras_4.61a
aghoràstreõa tatkùetra-  Ras_12.292a
aghoràstreõa yojitàm  Ras_12.209d
aghoreõa baliü dattvà  Ras_2.106c
aghoreõa baliü dadyàt  Ras_2.75a
aghore÷e màsikaü tu  Ras_12.284c
aïku÷aü càkùamàlàü ca  Ras_2.70c
aïkolastu viùaü hanti  Ras_10.43a
aïkolasya tu målàni  Ras_7.129c
aïganàbhi÷ca yoùite  Ras_7.58b
aïganyàsamanantaram  Ras_2.93d
aïgavyàdhikaraü param  Ras_12.225d
aïgulyà mardayecchanaiş  Ras_11.114d
aciràjjàyate devi  Ras_1.21a
ajamàrã koñaràkùã  Ras_5.12c
ajaràmaradehasya  Ras_1.8a
ajàkùãreõa gandhakam  Ras_7.148b
ajàkùãreõa piùñvà tu  Ras_12.217a
ajàmåtreõa saübhàvya  Ras_6.133c
ajà÷ca vçùabhà÷caiva  Ras_1.10c
ajà÷vànàü malaü dagdhaü  Ras_4.32c
ajãrõe pàcayet piùñãü  Ras_11.66a
a¤jalitritayaü pibet  Ras_12.252b
aõimàdiguõapradaş  Ras_6.75b
ata årdhvaü na vidyate  Ras_12.70f
ataş paraü tu saüskàraü  Ras_11.181a
ataş paraü pravakùyàmi  Ras_8.16a
ataş paraü pravakùyàmi  Ras_8.24a
ataş paraü pravakùyàmi  Ras_11.113a
ataş paraü pravakùyàmi  Ras_12.183a
ataş paraü pravakùyàmi  Ras_12.277a
ataş paraü pravakùyàmi  Ras_12.358a
atha tenodakenaiva  Ras_12.307a
atha pakùe site devi  Ras_2.47c
atha pra÷nàvatàràya  Ras_2.92a
atha raktasnuhãkalpaü  Ras_12.117a
athavà kçùõapa¤camyàm  Ras_12.180c
athavà goghçtenàpi  Ras_7.21c
athavà chedane snigdhaü  Ras_11.207a
athavà taü rasaü divyaü  Ras_12.250a
athavà taü rasaü hemnà  Ras_12.304a
athavà dvàda÷aguõaü  Ras_11.83c
athavàpyabhrakaü svinnaü  Ras_6.120a
athavà bhàvayettattu  Ras_12.224a
athavàbhrakapatraü tu  Ras_6.37a
athavà rasakarùaikaü  Ras_12.313a
athavà råpahãnàyà  Ras_2.29c
athavà lavaõakùàra-  Ras_6.132a
athavà ùoóa÷aguõaü  Ras_11.45c
athavàùñapalaü kùãraü  Ras_12.295a
athavà såtakaü devi  Ras_12.302a
athavodakamàdàya  Ras_12.255a
athàtastilatailena  Ras_12.119:1a
athàtaş sampravakùyàmi  Ras_12.129a
athàtaş sampravakùyàmi  Ras_12.201a
athàtaş sampravakùyàmi  Ras_12.212a
athàtaş sthalapadminyà  Ras_12.122a
athàsurã sindhuviùaü  Ras_11.189c
athàstraü vinyasedbudhaş  Ras_12.208d
athoccañãü pravakùyàmi  Ras_12.112a
adivyàstu tçõauùadhyo  Ras_12.74a
adç÷yà pa¤camã gatiş  Ras_10.16d
adç÷yo devadànavaiş  Ras_12.343d
adç÷yo bhavati dhruvam  Ras_12.381d
adhamaş khagavàdastu  Ras_1.44a
adhikaü màrayellohaü  Ras_8.14c
adhikaü ÷asyate teùu  Ras_8.54c
adho niùpãóitaü devi  Ras_12.4c
adhovàtena dhàmayet  Ras_11.129d
anaïku÷aü samàruhya  Ras_2.90a
anantabalavãryavàn  Ras_12.335d
anantà kàkajaïghà ca  Ras_5.3c
anayà vajrapiõóyà tu  Ras_7.94a
analasya tu vinyaset  Ras_3.26b
anale dhàmayettat tu  Ras_12.54c
anàhate brahmarandhre  Ras_2.93a
aniyamya yadà såtaü  Ras_10.23a
anivàritagocaraş  Ras_12.32d
anugrahakaraü dhyànaü  Ras_1.33c
anuj¤àta÷ca guruõà  Ras_1.59a
anulomavilomena  Ras_12.209a
anekarasa÷àstraj¤o  Ras_2.4a
anekavarõabhedena  Ras_6.8c
anena kramayogena  Ras_3.12a
anena kramayogena  Ras_4.14c
anena kramayogena  Ras_6.54c
anena kramayogena  Ras_7.84a
anena kramayogena  Ras_11.81c
anena kramayogena  Ras_11.133a
anena kramayogena  Ras_11.141a
anena kramayogena  Ras_11.147c
anena ghàtayet såtaü  Ras_12.34c
anena manunà proktà  Ras_12.186a
anena màrjayet kùetraü  Ras_3.12c
anena vidhinà devi  Ras_12.218a
anena vidhinà yatra  Ras_2.129a
anena veùñitaü vajraü  Ras_6.107c
anena sakalaü devi  Ras_11.22a
anena siddhakalkena  Ras_6.88a
anena siddhakalkena  Ras_6.100a
anena svedavidhinà  Ras_6.138c
anenaiva tu kà¤canam  Ras_12.85b
anenaiva prakàreõa  Ras_12.121a
anenaiva vidhànena  Ras_8.26a
antardhànaü kùaõàdgacchet  Ras_12.257a
andhanàle dhamitvà tu  Ras_6.133e
andhamåùàgataü dhamet  Ras_12.56d
andhamåùàgataü dhmàtaü  Ras_6.88c
andhamåùàgataü dhmàtaü  Ras_6.95c
andhamåùàgataü dhmàtaü  Ras_8.27e
andhamåùàgataü dhmàtaü  Ras_8.38c
andhamåùàgataü dhmàtaü  Ras_12.228:2c
