Vahata:
Astanganighantu
Based on the edition by Priya Vat Sharma,
Madras: The Kuppuswamy Sastri Research Institute, 1973


Input by Oliver Hellwig


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



Vàhaña: Aùñàïganighaõñu

akçùñapacyo nãvàraþ  VAnigh_334a
akùaþ kaliþ karùaphalo  VAnigh_51a
akùàhvaü kçùõasaüj¤akam  VAnigh_293b
akùoóaþ parvatãya÷ ca  VAnigh_249c
agadaü ca bhiùagjitam  VAnigh_343b
agadaü ca bhiùagjitam  VAnigh_405b
agastiko muninàmà  VAnigh_250c
aïkolo girikola÷ ca  VAnigh_243c
aïgàrakaþ kujo bhaumo  VAnigh_388a
ajañà bahupattrà ca  VAnigh_208c
ajamodà kharàhvà ca  VAnigh_40c
ajàkùã lomaparõã ca  VAnigh_234a
ajàkùã vraõanà÷inã  VAnigh_214a
ajàjã jãrakaü màtà  VAnigh_33c
ajo harir vàsudevo  VAnigh_397c
a¤janaü phalinã màüsã  VAnigh_56a
a¤janaü yàmunaü tathà  VAnigh_57b
aññahàsaþ ÷aïkha÷uklà  VAnigh_321c
adhicchattrà kumbhayoniþ  VAnigh_251a
adhicchattrà gautamasthà  VAnigh_252a
adhomukhà tv avàkpuùpã  VAnigh_226c
adhyaõóekùurakaþ sthåla-  VAnigh_238a
anantà dãrghamålà ca  VAnigh_159c
anilo màruto vàyuþ  VAnigh_377a
annasàro raso rakta-  VAnigh_373a
anyat karparikà tutthaü  VAnigh_291c
anyà tu sumahàkandà  VAnigh_205c
anyeùàü tu tathà bràhmã  VAnigh_196c
apàmàrgaþ ÷aikharikaþ  VAnigh_125c
abjo jaivàtçkaþ somo  VAnigh_387a
abhrakaü pàrvatãbãjaü  VAnigh_290c
ambaùñhàdau smçtàmbaùñhà  VAnigh_164a
ambaùñhà madhukaü namaskarã  VAnigh_155a
ambaùñhà sthàpanã vãrà  VAnigh_35c
ayam arkàdiko vargaþ  VAnigh_122a
ayorajo loharajas  VAnigh_309c
aravindaü ku÷e÷ayam  VAnigh_59b
arkàdau tu sadàpuùpà  VAnigh_123a
arkàlakau nàgadantã vi÷alyà  VAnigh_121a
ar÷oghna÷ càkhukanda÷ ca  VAnigh_280a
alaktà màlya÷ephàlã  VAnigh_318a
avanã bhåtadhàtrã ca  VAnigh_382a
avantisomo dhànyàmlam  VAnigh_331a
a÷oko vigata÷okaþ  VAnigh_119a
a÷mantako 'mlayoni÷ ca  VAnigh_215a
a÷mabhedã ÷ilàbhedã  VAnigh_107a
a÷marã÷arkaràmåtra-  VAnigh_104c
a÷vatthaþ pippalo bodhi÷  VAnigh_171c
aùñàïgasaügrahoktànàü  VAnigh_1c
asanatini÷abhårja÷vetavàhaprakãryà  VAnigh_79a
asanàdir vijayate  VAnigh_80a
asanàdau pãtasàraþ  VAnigh_81a
asthisàrastathà majjà  VAnigh_375c
ahimàro 'rimedas tu  VAnigh_230c
aü÷umàlã trayãtanuþ  VAnigh_385b
àkhåndurur måùaka÷ ca  VAnigh_364a
àghoñako brahmaphalo  VAnigh_233c
àóhakã tuvarã proktà  VAnigh_340a
àóhyavàtaü ÷iraþ÷ålaü  VAnigh_91c
àmaõóo vàtanà÷anaþ  VAnigh_6d
àmaü ÷alàñusaüj¤aü tu  VAnigh_404a
àmàtãsàranà÷anau  VAnigh_150b
àmra÷ cåta÷ càvatalaþ  VAnigh_174a
àmlàyano ràjasairyaþ  VAnigh_319a
àyur vedã gadàntakaþ  VAnigh_406d
àragvadhàdir jayati  VAnigh_69a
àragvadhendrayavapàñalikàkatiktà-  VAnigh_68a
àragvadho ràjavçkùaþ  VAnigh_70a
àranàlaü ca kà¤jikam  VAnigh_331b
