Yasodhara: Rasaprakasasudhakara 
Based on the ed. by Jivram Kalidas Sastri
Gondal : Rasasala Ausadhasram, 1940


Input by Oliver Hellwig



PADA INDEX


The transliteration emulates Devanagari script.
Therefore, word boundaries are usually not marked by blanks


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akùarà kuñajà tathà  YRps_9.7b
akhilakuùñhaharaþ kathito mayà  YRps_3.9f
akhila÷odhavareõa ca vai yathà  YRps_3.5a
agnimàüdyaü pra÷amayet  YRps_6.21e
agnivarõaprabhaü yàvat  YRps_4.68c
agnivarõasamaü yàvat  YRps_5.31c
agnisaüdhukùaõaü kuryàt  YRps_6.67c
agnisàdakùayakçtàn  YRps_4.54c
agniü kuryàtprayatnena  YRps_11.65c
agniü dadyàllàvakàkhye puñe ca  YRps_11.34a
agniü prajvàlayedadhaþ  YRps_5.86d
agnau yajjàyate kùiptaü  YRps_5.108a
ajà÷akçt varà tulyà  YRps_4.85a
a¤janànàü ca pàtayet  YRps_6.27f
atasãtilatailena  YRps_11.102c
ataþparaü pravakùyàmi  YRps_1.42a
ataþparaü pravakùyàmi  YRps_1.65a
ataþ paraü rasauùadhyaþ  YRps_9.12a
atiku÷àgniyute dravati svayaü  YRps_3.15a
atikç÷àgnikçte dravati svayam  YRps_3.39d
atisthålàtidãrghà ca  YRps_10.26a
ato hi jalayaütrasya  YRps_1.80a
atyanta÷oõitaü snigdhaü  YRps_6.80a
atyaütabuddhipravibodhanaü ca  YRps_7.48d
atha kràmaõakaü karma  YRps_1.133a
atha khalvapramàõaü hi  YRps_1.37c
atha garbhadruteþ karma  YRps_1.93a
atha jàraõakaü karma  YRps_1.101a
atha mayà rasabhasma nigadyate  YRps_3.1a
atha mardanakaü karma  YRps_1.36a
atha måùà÷ca kathyante  YRps_10.9a
atha yantràõi vakùyante  YRps_10.1a
atha vedhavidhànaü hi  YRps_1.139a
atha sevanakaü karma  YRps_1.158a
athàtaþ sampravakùyàmi  YRps_11.1a
athàtãsàra÷amanàn  YRps_8.26a
athàparaprakàreõa  YRps_4.99a
athàparaþ prakàro'tra  YRps_4.75a
athàparaþ prakàro hi  YRps_2.12a
athàparaþ prakàro hi  YRps_4.84a
athàbhrasattvaravakàn  YRps_5.44a
athedànãü pravakùyàmi  YRps_1.66a
athedànãü pravakùyàmi  YRps_1.78a
athedànãü pravakùyàmi  YRps_1.120a
